,PRCP,ET,AET,Supply
1990-01-01,48.7647675581,61.3992554421,30.5478656015,18356.1618116
1990-02-01,94.2332556525,66.0631674833,43.918371622,50699.5184116
1990-03-01,4.2226744078,97.0869824609,4.32709204165,102.342912637
1990-04-01,16.0934883966,119.926739804,14.4940909785,1611.62407539
1990-05-01,24.2358140835,146.938266665,22.1262291531,2125.71173637
1990-06-01,0.0252325578571,178.407910813,0.216743964329,0.257990498064
1990-07-01,0.00302325574638,189.59602285,0.129999890924,0.000106982400214
1990-08-01,2.6947674345,161.854632888,3.0021086891,47.5944854945
1990-09-01,0.00313953477023,139.063544961,0.134781873319,0.219789241365
1990-10-01,0.00406976735089,117.017457297,0.116665882679,0.000787352927887
1990-11-01,10.5717441869,72.9330110328,9.69353441582,884.923280691
1990-12-01,0.812325576883,54.660423057,0.859056338354,14.3021607709
1991-01-01,43.3351164529,57.0757745255,28.2544855739,15195.9153626
1991-02-01,31.315581477,78.4487419128,24.7893507425,6576.12076527
1991-03-01,243.776976829,83.6052168026,68.4468808285,176670.413234
1991-04-01,0.518023258682,122.181777156,0.72301100909,7.37279786237
1991-05-01,0.0134883720514,143.336533657,0.193021934479,0.313778754198
1991-06-01,0.047441860466,143.672128544,0.239572835484,0.430429997045
1991-07-01,2.47744186292,162.026480564,2.45564447447,21.9640194498
1991-08-01,0.376976741846,158.633758013,0.675270512991,0.147266728589
1991-09-01,0.703488368389,135.364602466,1.27641751801,10.8992050625
1991-10-01,11.3081395404,110.332559364,10.5441556282,769.824217697
1991-11-01,0.257325580733,74.8918657968,0.50939752547,5.2937976263
1991-12-01,101.084767186,52.061234452,38.3964564301,63167.5340674
1992-01-01,64.9675580845,60.9963682751,36.0758284857,29112.5936437
1992-02-01,273.611163827,65.1088804644,56.0161099545,219258.467617
1992-03-01,190.549883465,83.1885434971,64.6640849003,126848.136718
1992-04-01,7.82883724501,131.805175781,7.54497401382,286.033234972
1992-05-01,3.16534883832,139.232826765,3.52285571299,207.76157659
1992-06-01,0.0610465106316,157.07190864,0.434346965281,3.17713102349
1992-07-01,7.41093024819,172.717631939,7.16132850425,251.509834417
1992-08-01,0.0,178.999641241,0.0,0.0
1992-09-01,0.0,145.687587561,0.0,0.0
1992-10-01,21.9155814565,103.283540681,18.9084410044,3030.12865706
1992-11-01,8.31802323608,70.7198178491,8.46095837851,1085.27508626
1992-12-01,139.771744129,49.982103126,40.5203734553,100010.101641
1993-01-01,342.159419925,49.7479450315,45.7145978351,298711.005268
1993-02-01,239.570696986,58.9844574152,51.0248471637,189987.195188
1993-03-01,79.6426746457,103.331214993,51.7426905965,28113.2665887
