,PRCP,ET,AET
1990-01-01,48.7647675581,117.064307383,39.5942136529
1990-02-01,94.2332556525,139.577663401,66.5414330839
1990-03-01,4.2226744078,184.870953134,4.18183426882
1990-04-01,16.0934883966,235.387954694,15.6183258992
1990-05-01,24.2358140835,278.943990723,23.3202312572
1990-06-01,0.0252325578571,348.556882357,0.0252317931952
1990-07-01,0.00302325574638,357.625100594,0.00302324504776
1990-08-01,2.6947674345,305.706135473,2.68477850429
1990-09-01,0.00313953477023,271.455341945,0.00313951957039
1990-10-01,0.00406976735089,221.422433776,0.00406973603781
1990-11-01,10.5717441869,143.238444467,10.2340980416
1990-12-01,0.812325576883,104.331210075,0.80966730433
1991-01-01,43.3351164529,108.839756098,35.5376547397
1991-02-01,31.315581477,165.175393649,28.6631277605
1991-03-01,243.776976829,159.603053812,114.469798298
1991-04-01,0.518023258682,240.060007341,0.517554798007
1991-05-01,0.0134883720514,272.350866493,0.0134880924073
1991-06-01,0.047441860466,281.632496181,0.0474385147957
1991-07-01,2.47744186292,306.463988689,2.46902312794
1991-08-01,0.376976741846,299.794183712,0.376778179802
1991-09-01,0.703488368389,264.304549624,0.70270346264
1991-10-01,11.3081395404,208.757002275,11.0451167021
1991-11-01,0.257325580733,147.007895047,0.257136856606
1991-12-01,101.084767186,99.2358631102,59.8341447816
1992-01-01,64.9675580845,116.275293106,48.8370791988
1992-02-01,273.611163827,137.215897542,107.089700352
1992-03-01,190.549883465,158.472023889,103.300118979
1992-04-01,7.82883724501,258.301430534,7.72801092803
1992-05-01,3.16534883832,263.859634431,3.14935521781
1992-06-01,0.0610465106316,307.353373414,0.0610414344977
1992-07-01,7.41093024819,326.091426754,7.33961819172
1992-08-01,0.0,337.326554113,
1992-09-01,0.0,284.307345253,
1992-10-01,21.9155814565,195.602171707,20.8390369728
1992-11-01,8.31802323608,138.899033601,8.10363077507
1992-12-01,139.771744129,95.4529117979,67.411456243
1993-01-01,342.159419925,94.9602752977,83.6388569095
1993-02-01,239.570696986,124.577209869,96.2374527619
1993-03-01,79.6426746457,196.488899271,65.0595111774
1993-04-01,0.001162790715,263.197663653,0.00116278856457
1993-05-01,0.0603488367267,288.219014564,0.0603435465888
1993-06-01,23.3454649947,316.447840496,22.6001740766
1993-07-01,0.00220930231952,288.466693279,0.00220929523647
1993-08-01,0.0,304.407011177,
1993-09-01,0.0255813954268,271.557808185,0.0255803866114
1993-10-01,7.27488372614,199.301527235,7.1617283153
1993-11-01,11.0841860494,134.729489952,10.688337086
1993-12-01,37.9755814131,105.830690198,31.8093661542
1994-01-01,11.2231395078,125.981402169,10.7880719182
1994-02-01,111.229069732,133.695235901,72.3340999792
1994-03-01,50.3536047159,191.479221261,44.3802821511
1994-04-01,19.8883721108,233.759387786,19.1530943051
1994-05-01,8.50174416775,245.730961798,8.37651192518
1994-06-01,0.175930232026,341.402422768,0.175892271179
1994-07-01,0.0,323.07235471,
1994-08-01,0.0,338.047605026,
1994-09-01,0.0113953487774,268.67011961,0.0113951464524
1994-10-01,15.1177906824,189.506824723,14.5947414762
1994-11-01,19.5483721356,120.43987256,18.1386849689
1994-12-01,34.5177905726,101.287572618,29.194155282
1995-01-01,415.5975576,86.7574285816,79.1226967766
1995-02-01,48.7132558157,152.555677724,41.6754866741
1995-03-01,197.771976471,171.168337613,109.601761693
1995-04-01,22.2033720682,238.854036696,21.3040410179
1995-05-01,11.0626744281,233.501323248,10.8382658725
1995-06-01,16.3808139369,299.070786838,15.9954618187
1995-07-01,0.387441862158,350.098486942,0.387262273492
1995-08-01,0.0,341.602597944,
1995-09-01,0.0566279072271,276.247291531,0.0566230474784
1995-10-01,0.00406976745919,204.414783369,0.00406973354078
1995-11-01,1.6358139657,141.087152206,1.62782722653
1995-12-01,41.5776743556,101.968387109,33.9200515936
1996-01-01,31.6268605964,111.834739283,27.5862943568
1996-02-01,174.845698068,132.372883349,89.797052374
1996-03-01,59.4430232381,185.132930395,50.8072000903
1996-04-01,17.9555813102,268.477006546,17.4372992812
1996-05-01,1.24999999744,291.880621049,1.24775411049
1996-06-01,0.00174418605084,323.414510751,0.00174418211325
1996-07-01,0.00174418611582,345.91127379,0.00174418243431
1996-08-01,0.0,342.012374872,
1996-09-01,0.0,259.409906745,
1996-10-01,29.7030233228,191.081307309,27.6548202151
1996-11-01,57.2634883703,131.88507521,46.0529078751
1996-12-01,148.13337193,98.1375131618,70.0860855845
1997-01-01,153.476511844,94.3107882856,69.1527426853
1997-02-01,5.71767438602,149.53409553,5.62444125245
1997-03-01,0.0205813953436,213.745961823,0.0205805657265
1997-04-01,0.00546511626521,244.620964646,0.00546506515422
1997-05-01,0.0,307.325481353,
1997-06-01,0.243720932106,280.162185494,0.243632139173
1997-07-01,0.00488372082107,312.823071448,0.00488368890492
1997-08-01,0.0560465120862,318.171482455,0.0560423789457
1997-09-01,10.3653488388,275.755228946,10.1992410721
1997-10-01,0.0663953491941,191.824146928,0.0663857274227
1997-11-01,53.206046304,132.078553145,43.5222342343
1997-12-01,123.470116194,96.4069424133,64.570009383
1998-01-01,87.8973255601,103.84750084,56.7370949189
1998-02-01,414.312093336,115.7454088,101.849014086
1998-03-01,101.443255757,178.85084496,75.9085614786
1998-04-01,51.9215115836,213.888345303,46.2469745473
1998-05-01,87.4273253596,227.174067671,72.2130837745
1998-06-01,3.20116278412,260.762625305,3.18460860915
1998-07-01,0.0,326.759252097,
1998-08-01,0.026162790806,330.766774793,0.0261619245059
1998-09-01,3.21593023841,230.916067909,3.19704799613
1998-10-01,0.692093027691,187.692639418,0.691022689181
1998-11-01,35.4213953905,128.479445004,31.0117720789
1998-12-01,15.2712790633,102.242236784,14.2609133842
1999-01-01,36.1482558805,112.025777048,30.8704170831
1999-02-01,27.6729070087,133.211782755,25.0967505828
1999-03-01,49.0494185825,162.176034254,42.3409795763
1999-04-01,62.4447675749,209.034906397,54.0105312985
1999-05-01,0.917790695094,243.031426936,0.916336963158
1999-06-01,16.1541860436,291.758911671,15.7699361539
1999-07-01,1.14523255091,324.276200037,1.14353635228
1999-08-01,0.0,307.49270081,
1999-09-01,0.336976743975,240.815549016,0.336779211791
1999-10-01,0.0,224.962943751,
1999-11-01,10.55558142,135.279611575,10.1986012562
1999-12-01,0.0230232563173,112.151236408,0.0230212776157
2000-01-01,27.2058139845,105.504159626,24.0425506985
2000-02-01,187.050116251,123.134424342,88.1404310646
2000-03-01,64.7110464407,175.541066573,53.9187409686
2000-04-01,55.3006977481,240.516876569,49.5848415993
2000-05-01,0.957906984248,280.038968774,0.956532918114
2000-06-01,0.0024418604322,311.343606026,0.00244185241527
2000-07-01,0.0,319.831540781,
2000-08-01,1.45034883994,312.536794079,1.44752462873
2000-09-01,4.21732557652,260.802588307,4.18854242649
2000-10-01,33.2559302574,163.388293404,30.2246066586
2000-11-01,4.7965116346,127.556074476,4.71961656844
2000-12-01,0.030465115988,110.304321916,0.0304615932512
2001-01-01,144.35790643,101.745343292,71.0027033188
2001-02-01,208.919535615,118.05218126,88.9542500617
2001-03-01,62.9761627552,166.849710282,52.2250116643
2001-04-01,37.8073255628,207.634212336,34.7360875236
2001-05-01,0.14674418725,277.381585101,0.146711680851
2001-06-01,0.00860465138198,311.300741783,0.00860455181925
2001-07-01,0.330000001331,306.535570661,0.329851203625
2001-08-01,0.0213953483373,305.579587289,0.0213947212408
2001-09-01,0.0,256.468110511,
2001-10-01,1.04244186621,187.829108194,1.04001303403
2001-11-01,51.6802327134,121.005000178,41.7228962841
2001-12-01,37.5766279088,91.9002932729,30.6371061898
2002-01-01,33.5791859738,104.939197185,28.7175982355
2002-02-01,6.82290696543,159.625707393,6.69829116903
2002-03-01,8.82895348238,180.914620478,8.6443595522
2002-04-01,2.06686046442,214.445036002,2.05848000422
2002-05-01,3.58709302438,258.377372459,3.56609802511
2002-06-01,0.261627905807,295.436777033,0.261530875058
2002-07-01,0.0,318.554415602,
2002-08-01,0.0720930231172,286.049880779,0.0720854162428
2002-09-01,1.78372093615,270.688864676,1.77878383897
2002-10-01,1.44395348224,160.003716927,1.43847319874
2002-11-01,57.7683722696,137.694680769,46.8291395266
2002-12-01,93.8249999202,93.9192004976,56.0767881152
2003-01-01,0.103023255439,124.748306498,0.102987624431
2003-02-01,151.609186483,134.384624309,85.1108830519
2003-03-01,89.0141861494,185.943746095,69.8796688652
2003-04-01,36.0762791966,211.242304017,33.3338684407
2003-05-01,37.2625580056,264.335794282,34.9407161137
2003-06-01,1.36430231202,253.744698637,1.36122308094
2003-07-01,0.54162790871,332.428537126,0.541258184001
2003-08-01,0.00127906976051,324.271503253,0.00127906764856
2003-09-01,0.0,262.640688901,
2003-10-01,0.100348838042,209.421016356,0.100328704613
2003-11-01,22.1558138714,118.677519776,20.3088986535
2003-12-01,46.2818604181,96.1749553927,36.2836442298
2004-01-01,14.5211628426,106.656345147,13.6483687273
2004-02-01,151.31976691,123.581252892,81.1993084468
2004-03-01,20.6011627663,204.286568639,19.6935467186
2004-04-01,3.83593025804,236.828776351,3.80970688509
2004-05-01,0.00127906976051,285.589887829,0.0012790673625
2004-06-01,0.00267441858819,279.732578616,0.00267440788479
2004-07-01,0.0,324.828008502,
2004-08-01,0.0,289.271488179,
2004-09-01,0.000116279067168,267.483852674,0.000116279046009
2004-10-01,145.725464932,165.787306372,92.5074975837
2004-11-01,11.1081395426,117.674862702,10.6510243129
2004-12-01,159.655348489,98.0578184566,71.9125903821
2005-01-01,322.216626722,96.2346002677,83.8332194126
2005-02-01,300.561047221,120.901205651,99.6405047192
2005-03-01,56.3326744035,165.214455266,47.64004301
2005-04-01,25.9074418711,230.251221725,24.6292082771
2005-05-01,7.03139536187,268.227820207,6.95322266509
2005-06-01,0.0017441860725,279.634421907,0.00174418151842
2005-07-01,0.0,323.129913618,
2005-08-01,0.0909302327999,303.69824062,0.0909188343268
2005-09-01,4.91767441793,246.382516096,4.87617056586
2005-10-01,36.8756974686,179.877064632,33.4894217028
2005-11-01,10.1004651314,138.619368602,9.7820947995
2005-12-01,5.46802325789,101.166220199,5.34112492369
2006-01-01,84.995000307,106.993250503,56.3606997861
2006-02-01,39.7003489428,153.097340624,35.0577708121
2006-03-01,123.963023164,151.285726053,81.1404783787
2006-04-01,68.2144185887,194.984833132,57.4145644463
2006-05-01,20.4696511113,249.968047765,19.7421039156
2006-06-01,0.131627907283,327.929431641,0.131605785958
2006-07-01,0.0,355.181294111,
2006-08-01,0.148139535948,298.416221062,0.148108744027
2006-09-01,0.0903488356447,263.351172875,0.0903358581111
2006-10-01,1.66279069111,187.62486726,1.65659377288
2006-11-01,2.47906976869,142.975127741,2.46091703909
2006-12-01,18.9909302024,108.772005833,17.5139023079
2007-01-01,15.1287209655,107.253514279,14.1854289953
2007-02-01,39.7129068375,141.256978593,34.6696042877
2007-03-01,2.67337206927,196.604910302,2.65804892394
2007-04-01,15.9454651101,225.357914864,15.4577944509
2007-05-01,0.0061627906249,264.880993722,0.0061627306025
2007-06-01,0.0,299.875032281,
2007-07-01,0.0980232551174,323.724077052,0.0980108284019
2007-08-01,0.00581395346671,311.082658256,0.00581390798094
2007-09-01,20.1337207528,247.314177443,19.4224279411
2007-10-01,12.1810465167,192.878770709,11.8495172372
2007-11-01,0.391046508778,130.546997607,0.390555404671
2007-12-01,61.9725580881,93.4318016805,44.0383366856
2008-01-01,221.035231834,96.7825834249,78.2264367738
2008-02-01,48.6340696645,137.168357961,40.8308447299
2008-03-01,1.22895348007,196.184868187,1.22572036408
2008-04-01,0.903720929179,251.156462213,0.902357151054
2008-05-01,6.03976743623,262.573541491,5.98093679516
2008-06-01,0.0,330.674045091,
2008-07-01,0.000116279067168,323.420330139,0.000116279049668
