,PRCP,ET,AET,Supply
1990,201.664302412,1404.94741475,129.566540451,73842.6575487
1991,435.214767531,1321.63067325,176.503665013,262426.228942
1992,717.600117041,1358.79402582,243.309301375,480093.18514
1993,741.142210065,1342.12545856,213.521526177,532332.603139
1994,270.567209206,1355.191479,174.41225762,97627.0940996
1995,755.391278178,1345.99630205,219.777728843,540266.06687
1996,520.224535205,1391.82907872,236.764370821,285961.898671
1997,346.632790593,1357.87636584,132.193494016,218019.416595
1998,800.829534891,1248.91904467,290.761266546,516019.891194
1999,204.448139756,1294.05770967,156.195489879,49868.3536928
2000,378.978604693,1312.51561671,193.96806341,187266.351275
2001,544.86697704,1271.82775249,222.597288334,326347.402537
2002,210.039767447,1283.93408367,119.678384224,91810.5652022
2003,384.510465508,1307.40714255,213.412044823,173847.637839
2004,506.771045508,1296.90146158,195.230742743,314060.532129
2005,769.503720274,1272.28001568,214.459496003,559684.196676
2006,360.845349054,1317.17936205,208.507512155,155268.212648
2007,168.248836848,1314.26655707,120.690328228,49174.5868719
2008,392.375231899,1363.60803795,149.763706344,245708.394386
2009,283.538139664,1313.78317962,143.147554535,142458.51479
2010,662.105232604,1250.07719532,242.829079233,427365.969539
2011,350.936628354,1281.07664006,205.938779898,147130.647531
2012,251.554767382,1340.60410748,172.576519797,80548.7966272
2013,116.398023353,1335.85323378,98.646108931,18461.7913459
2014,237.445000007,1380.391595,137.378525254,102651.555343
2015,177.054267469,1354.63893606,152.908214582,24484.4162894
