15620,PST,'RESERVOIR ELEVATION (feet)'
20070430,0000,1502.69
20070528,0000,1507.86
20070529,0000,1507.58
20070530,0000,1508.49
20070531,0000,1508.30
20070601,0000,1508.13
20070602,0000,1508.18
20070603,0000,1506.94
20070604,0000,1505.62
20070605,0000,1505.21
20070606,0000,1505.69
20070607,0000,1506.34
20070608,0000,1505.14
20070609,0000,1504.10
20070610,0000,1502.97
20070611,0000,1501.77
20070612,0000,1501.97
20070613,0000,1502.73
20070614,0000,1502.70
20070615,0000,1501.42
20070616,0000,1500.10
20070617,0000,1498.86
20070618,0000,1497.62
20070619,0000,1496.26
20070620,0000,1496.01
20070621,0000,1496.98
20070622,0000,1495.98
20070623,0000,1494.58
20070624,0000,1493.18
20070625,0000,1491.82
20070702,0000,1488.89
20070703,0000,1489.50
20070704,0000,1487.98
20070705,0000,1488.97
20070706,0000,1489.02
20070707,0000,1488.02
20070708,0000,1486.70
20070709,0000,1486.93
20070710,0000,1487.26
20070711,0000,1487.29
20070712,0000,1488.25
20070713,0000,1488.41
20070714,0000,1488.06
20070715,0000,1486.58
20070716,0000,1486.29
20070717,0000,1486.81
20070718,0000,1486.76
20070719,0000,1487.37
20070720,0000,1488.09
20070721,0000,1487.38
20070722,0000,1485.94
20070801,0000,1488.33
20070802,0000,1489.49
20070803,0000,1490.61
20070804,0000,1491.06
20070805,0000,1489.74
20070806,0000,1489.53
20070807,0000,1490.53
20070808,0000,1491.13
20070809,0000,1491.69
20070810,0000,1492.25
20070811,0000,1493.38
20070812,0000,1492.22
20070813,0000,1492.30
20070814,0000,1493.17
20070815,0000,1494.13
20070816,0000,1495.05
20070817,0000,1495.99
20070818,0000,1497.50
20070819,0000,1496.50
20070820,0000,1496.73
20070821,0000,1497.81
20070822,0000,1498.69
20070823,0000,1499.61
20070824,0000,1500.61
20070825,0000,1500.42
20070826,0000,1499.42
20070827,0000,1499.25
20070828,0000,1500.25
20070829,0000,1501.05
20070830,0000,1501.93
20070831,0000,1502.37
20070901,0000,1502.18
20070902,0000,1501.06
20070903,0000,1500.85
20070904,0000,1501.21
20070905,0000,1501.65
20070906,0000,1502.29
20070907,0000,1503.13
20070908,0000,1503.14
20070909,0000,1502.14
20070910,0000,1501.89
20070911,0000,1502.37
20070912,0000,1502.65
20070913,0000,1502.97
20070914,0000,1503.53
20070915,0000,1504.25
20070916,0000,1504.18
20070917,0000,1503.98
20070918,0000,1504.57
20070919,0000,1504.93
20070920,0000,1505.53
20070921,0000,1506.34
20070922,0000,1507.50
20070923,0000,1506.78
20070924,0000,1506.14
20070925,0000,1506.61
20070926,0000,1507.45
20070927,0000,1508.25
20070928,0000,1509.05
20070929,0000,1509.81
20070930,0000,1510.21
20071001,0000,1510.13
20071002,0000,1510.41
20071003,0000,1510.89
20071004,0000,1511.21
20071005,0000,1511.46
20071006,0000,1510.62
20071007,0000,1509.66
20071008,0000,1509.45
20071009,0000,1509.65
20071010,0000,1509.85
20071011,0000,1509.46
20071012,0000,1509.18
20071013,0000,1508.34
20071014,0000,1507.05
20071015,0000,1506.62
20071016,0000,1506.90
20071017,0000,1507.50
20071018,0000,1507.77
20071019,0000,1508.29
20071020,0000,1507.50
20071021,0000,1506.66
20071022,0000,1505.66
20071023,0000,1505.86
20071024,0000,1505.53
20071025,0000,1505.81
20071026,0000,1506.14
20071027,0000,1505.10
20071028,0000,1504.13
20071029,0000,1503.10
20071030,0000,1503.01
20071031,0000,1502.70
20071101,0000,1502.93
20071102,0000,1502.74
20071103,0000,1501.82
20071104,0000,1500.66
20071105,0000,1500.86
20071106,0000,1499.90
20071107,0000,1498.90
20071108,0000,1497.94
20071109,0000,1497.02
20071110,0000,1496.10
20071111,0000,1495.18
20071112,0000,1494.18
20071113,0000,1493.18
20071114,0000,1492.22
20071115,0000,1491.26
20071116,0000,1490.30
20071117,0000,1489.30
20071118,0000,1488.30
20071119,0000,1487.33
20071120,0000,1487.58
20071121,0000,1487.73
20071122,0000,1487.86
20071123,0000,1487.82
20071124,0000,1486.82
20071125,0000,1485.86
20071126,0000,1486.62
20071127,0000,1485.58
20071128,0000,1486.54
20071129,0000,1486.61
20071130,0000,1486.77
20071201,0000,1485.81
20071202,0000,1484.90
20071203,0000,1484.10
20071204,0000,1483.29
20071205,0000,1482.42
20071206,0000,1482.61
20071207,0000,1482.98
20071208,0000,1482.26
20071209,0000,1481.50
20071210,0000,1480.74
20071211,0000,1479.98
20071212,0000,1479.26
20071213,0000,1479.53
20071214,0000,1479.54
20071215,0000,1478.78
20071216,0000,1478.02
20071217,0000,1477.22
20071218,0000,1477.77
20071219,0000,1479.69
20071220,0000,1481.25
20071221,0000,1481.90
20071222,0000,1481.34
20071223,0000,1480.82
20071224,0000,1481.41
20071225,0000,1482.57
20071226,0000,1483.30
20071227,0000,1484.81
20071228,0000,1484.86
20071229,0000,1484.10
20071230,0000,1483.30
20071231,0000,1484.34
20080101,0000,1485.69
20080102,0000,1486.93
20080103,0000,1488.21
20080104,0000,1489.98
20080105,0000,1491.21
20080106,0000,1490.86
20080107,0000,1491.93
20080108,0000,1493.61
20080109,0000,1495.17
20080110,0000,1496.57
20080111,0000,1497.97
20080112,0000,1498.86
20080113,0000,1498.26
20080114,0000,1498.89
20080115,0000,1499.93
20080116,0000,1500.93
20080117,0000,1501.97
20080118,0000,1503.29
20080119,0000,1503.58
20080120,0000,1502.94
20080121,0000,1502.26
20080122,0000,1503.13
20080123,0000,1504.05
