Date,Storage (af),
Oct-74,119640,
Nov-74,114840,
Dec-74,114370,
Jan-75,160310,
Feb-75,194720,
Mar-75,222410,
Apr-75,202760,
May-75,169460,
Jun-75,164000,
Jul-75,169930,
Aug-75,185710,
Sep-75,189200,
Oct-75,208330,
Nov-75,222790,
Dec-75,236250,
Jan-76,257120,
Feb-76,263040,
Mar-76,285750,
Apr-76,283270,
May-76,267020,
Jun-76,236620,
Jul-76,237370,
Aug-76,227910,
Sep-76,237180,
Oct-76,211680,
Nov-76,196070,
Dec-76,160920,
Jan-77,136800,
Feb-77,120690,
Mar-77,108490,
Apr-77,93720,
May-77,86490,
Jun-77,77170,
Jul-77,64450,
Aug-77,60720,
Sep-77,58460,
Oct-77,55880,
Nov-77,53040,
Dec-77,51040,
Jan-78,87710,
Feb-78,185380,
Mar-78,303090,
Apr-78,318590,
May-78,314170,
Jun-78,309360,
Jul-78,294130,
Aug-78,277110,
Sep-78,--,
Oct-78,246660,
Nov-78,273860,
Dec-78,293710,
Jan-79,292450,
Feb-79,306110,
Mar-79,318360,
Apr-79,318360,
May-79,317920,
Jun-79,297530,
Jul-79,278750,
Aug-79,260040,
Sep-79,270430,
Oct-79,266620,
Nov-79,269830,
Dec-79,283680,
Jan-80,299020,
Feb-80,319910,
Mar-80,318800,
Apr-80,317920,
May-80,313510,
Jun-80,296890,
Jul-80,305240,
Aug-80,292030,
Sep-80,262040,
Oct-80,236430,
Nov-80,226070,
Dec-80,214700,
Jan-81,210970,
Feb-81,238740,
Mar-81,287570,
Apr-81,278730,
May-81,278730,
Jun-81,247890,
Jul-81,212440,
Aug-81,171000,
Sep-81,160470,
Oct-81,180950,
Nov-81,211890,
Dec-81,252170,
Jan-82,279930,
Feb-82,304940,
Mar-82,307190,
Apr-82,308230,
May-82,317760,
Jun-82,317940,
Jul-82,303600,
Aug-82,285490,
Sep-82,284680,
Oct-82,291040,
Nov-82,301950,
Dec-82,313160,
Jan-83,315870,
Feb-83,320220,
Mar-83,319850,
Apr-83,322090,
May-83,313450,
Jun-83,297490,
Jul-83,293080,
Aug-83,272900,
Sep-83,283190,
Oct-83,276970,
Nov-83,276110,
Dec-83,270730,
Jan-84,262180,
Feb-84,255130,
Mar-84,228940,
Apr-84,214520,
May-84,189930,
Jun-84,164720,
Jul-84,150010,
Aug-84,113660,
Sep-84,84290,
Oct-84,67310,
Nov-84,115640,
Dec-84,133380,
Jan-85,196490,
Feb-85,255280,
Mar-85,273150,
Apr-85,280610,
May-85,262560,
Jun-85,244650,
Jul-85,226750,
Aug-85,200460,
Sep-85,199590,
Oct-85,208680,
Nov-85,232820,
Dec-85,270610,
Jan-86,291710,
Feb-86,321250,
Mar-86,318250,
Apr-86,313120,
May-86,291080,
Jun-86,269160,
Jul-86,245550,
Aug-86,240120,
Sep-86,255710,
Oct-86,254910,
Nov-86,266660,
Dec-86,299170,
Jan-87,305910,
Feb-87,304470,
Mar-87,317590,
Apr-87,315400,
May-87,299040,
Jun-87,266279,
Jul-87,260009,
Aug-87,242049,
Sep-87,247945,
Oct-87,218871,
Nov-87,238781,
Dec-87,286608,
Jan-88,307840,
Feb-88,294009,
Mar-88,298038,
Apr-88,312702,
May-88,292080,
Jun-88,264008,
Jul-88,244406,
Aug-88,225161,
Sep-88,205133,
Oct-88,154490,
Nov-88,180267,
Dec-88,258435,
Jan-89,300343,
Feb-89,302851,
Mar-89,308057,
Apr-89,312002,
May-89,292332,
Jun-89,253180,
Jul-89,212404,
Aug-89,169610,
Sep-89,184128,
Oct-89,183980,
Nov-89,194380,
Dec-89,216770,
Jan-90,260680,
Feb-90,302851,
