Date,Elevation
1/1/90,1527.51
1/2/90,1528.29
1/3/90,1528.08
1/4/90,1524.98
1/5/90,1514.11
1/6/90,1515.88
1/7/90,1517.7
1/8/90,1516.55
1/9/90,1509.64
1/10/90,1507.68
1/11/90,1505.53
1/12/90,1519.17
1/13/90,1519.3
1/14/90,1513.76
1/15/90,1511.82
1/16/90,1506.37
1/17/90,1509.01
1/18/90,1502.18
1/19/90,1518.89
1/20/90,1520.38
1/21/90,1521.18
1/22/90,1520.25
1/23/90,1519.09
1/24/90,1517.84
1/25/90,1511.63
1/26/90,1514.17
1/27/90,1514.2
1/28/90,1509.87
1/29/90,1517.33
1/30/90,1522.69
1/31/90,1504.45
2/1/90,1517.75
2/2/90,1510.87
2/3/90,1514.39
2/4/90,1512.25
2/5/90,1510.57
2/6/90,1510.6
2/7/90,1512.96
2/8/90,1509.82
2/9/90,1519.04
2/10/90,1517.77
2/11/90,1510.95
2/12/90,1517.6
2/13/90,1515.83
2/14/90,1514.13
2/15/90,1514.4
2/16/90,1511.14
2/17/90,1513.75
2/18/90,1510.41
2/19/90,1512.27
2/20/90,1514.26
2/21/90,1512.4
2/22/90,1510.2
2/23/90,1510.33
2/24/90,1511.65
2/25/90,1512.23
2/26/90,1512.67
2/27/90,1513.54
2/28/90,1516.46
3/1/90,1513.18
3/2/90,1513.35
3/3/90,1517.01
3/4/90,1519.84
3/5/90,1521.85
3/6/90,1518.74
3/7/90,1518.23
3/8/90,1518.95
3/9/90,1515.2
3/10/90,1522.02
3/11/90,1522.93
3/12/90,1521.02
3/13/90,1521.18
3/14/90,1521.33
3/15/90,1519.64
3/16/90,1516.38
3/17/90,1518.05
3/18/90,1518.05
3/19/90,1521.35
3/20/90,1519.95
3/21/90,1515.12
3/22/90,1516.49
3/23/90,1512.52
3/24/90,1519.4
3/25/90,1519.88
3/26/90,1525.25
3/27/90,1521.06
3/28/90,1519.9
3/29/90,1522.2
3/30/90,1522.55
3/31/90,1524.94
4/1/90,1527.09
4/2/90,1517.92
4/3/90,1518.18
4/4/90,1518.53
4/5/90,1515.77
4/6/90,1516.04
4/7/90,1518.07
4/8/90,1518.09
4/9/90,1523.67
4/10/90,1521.06
4/11/90,1522.38
4/12/90,1523.02
4/13/90,1512.99
4/14/90,1518.91
4/15/90,1518.9
4/16/90,1522.19
4/17/90,1523
4/18/90,1525.42
4/19/90,1525.61
4/20/90,1529.39
4/21/90,1526.07
4/22/90,1522.9
4/23/90,1522.77
4/24/90,1528.27
4/25/90,1527.34
4/26/90,1530.91
4/27/90,1534.32
4/28/90,1534.32
4/29/90,1529.35
4/30/90,1530.96
5/1/90,1533.3
5/2/90,1528.37
5/3/90,1524.14
5/4/90,1520.12
5/5/90,1515.43
5/6/90,1514.06
5/7/90,1519.85
5/8/90,1512.7
5/9/90,1511.24
5/10/90,1510.74
5/11/90,1510.77
5/12/90,1510.65
5/13/90,1508.7
5/14/90,1514.16
5/15/90,1514.45
5/16/90,1513.74
5/17/90,1512.05
5/18/90,1517.88
5/19/90,1516.28
5/20/90,1512.23
5/21/90,1515.82
5/22/90,1517.87
5/23/90,1523.23
5/24/90,1523.9
5/25/90,1530.29
5/26/90,1519.98
5/27/90,1512.81
5/28/90,1515.22
5/29/90,1517.59
5/30/90,1518.4
5/31/90,1519.5
6/1/90,1525.64
6/2/90,1521.89
6/3/90,1521.18
6/4/90,1526.88
6/5/90,1519.8
6/6/90,1521.7
6/7/90,1535.5
6/8/90,1536.7
6/9/90,1529.8
6/10/90,1521.1
6/11/90,1524.65
6/12/90,1517.6
6/13/90,1512.47
6/14/90,1518
6/15/90,1529.02
6/16/90,1523.71
6/17/90,1517.01
6/18/90,1525.5
6/19/90,1528.9
6/20/90,1530.1
6/21/90,1529
6/22/90,1535.6
6/23/90,1535.4
6/24/90,1518.65
6/25/90,1523.8
6/26/90,1522
6/27/90,1524.4
6/28/90,1517.71
6/29/90,1530.85
6/30/90,1529.8
7/1/90,1519.5
7/2/90,1527.14
7/3/90,1526.73
7/4/90,1517.18
7/5/90,1518.3
7/6/90,1522.6
7/7/90,1522.3
7/8/90,1512.4
7/9/90,1508.3
7/10/90,1523.1
7/11/90,1532.6
7/12/90,1523.7
7/13/90,1526.6
7/14/90,1527.1
7/15/90,1514.4
7/16/90,1519.5
7/17/90,1519.9
7/18/90,1525.5
7/19/90,1532.45
7/20/90,1539.65
7/21/90,1529.31
7/22/90,1514.1
7/23/90,1518.3
7/24/90,1514.8
7/25/90,1511.84
7/26/90,1517.6
7/27/90,1522.2
7/28/90,1516.8
7/29/90,1508.8
7/30/90,1512.3
7/31/90,1511.7
8/1/90,1507.6
8/2/90,1510
8/3/90,1518.6
8/4/90,1515
8/5/90,1507.3
8/6/90,1520.3
8/7/90,1523.7
8/8/90,1521.67
8/9/90,1518.48
8/10/90,1523.05
8/11/90,1525.6
8/12/90,1519.1
8/13/90,1513.4
8/14/90,1508.24
8/15/90,1503.84
8/16/90,1507.81
8/17/90,1515.1
8/18/90,1515.1
8/19/90,1515.1
8/20/90,1515.2
8/21/90,1516
8/22/90,1517.3
8/23/90,1517.2
8/24/90,1515.6
8/25/90,1515.6
8/26/90,1516.8
8/27/90,1515.9
8/28/90,1512
8/29/90,1508.6
8/30/90,1512.56
8/31/90,1519.38
9/1/90,1519.35
9/2/90,1519.35
9/3/90,1512.35
9/4/90,1517.65
9/5/90,1521.86
9/6/90,1521.35
9/7/90,1530.1
9/8/90,1532.6
9/9/90,1525
9/10/90,1520.6
9/11/90,1514.5
9/12/90,1519.2
9/13/90,1528.1
9/14/90,1525
9/15/90,1518.9
9/16/90,1516.6
9/17/90,1519.6
9/18/90,1517.3
9/19/90,1523.6
9/20/90,1521.91
9/21/90,1518.56
9/22/90,1519.16
9/23/90,1507
9/24/90,1529.4
9/25/90,1518.5
9/26/90,1517.1
9/27/90,1522.1
9/28/90,1525.1
9/29/90,1525.7
9/30/90,1518.8
10/1/90,1507.4
