30783,PST,'RESERVOIR ELEVATION (feet)'
20160915,0000,699.19
20160916,0000,699.17
20160917,0000,699.16
20160918,0000,699.15
20160919,0000,699.14
20160920,0000,699.11
20160921,0000,699.08
20160922,0000,699.02
20160923,0000,699.02
20160924,0000,699.01
20160925,0000,699.00
20160926,0000,699.00
20160927,0000,698.98
20160928,0000,698.97
20160929,0000,698.96
20160930,0000,698.94
20161001,0000,698.92
20161002,0000,698.90
20161003,0000,698.84
20161004,0000,698.83
20161005,0000,698.82
20161006,0000,698.80
20161007,0000,698.79
20161008,0000,698.79
20161009,0000,698.76
20161010,0000,698.74
20161011,0000,698.72
20161012,0000,698.71
20161013,0000,698.69
20161014,0000,698.68
20161015,0000,698.68
20161016,0000,698.80
20161017,0000,698.81
20161018,0000,698.80
20161019,0000,698.65
20161020,0000,698.58
20161021,0000,698.49
20161022,0000,698.37
20161023,0000,698.27
20161024,0000,698.18
20161025,0000,698.09
20161026,0000,698.00
20161027,0000,697.87
20161028,0000,697.89
20161029,0000,697.80
20161030,0000,697.70
20161031,0000,697.60
20161101,0000,697.41
20161102,0000,697.25
20161103,0000,697.12
20161104,0000,696.96
20161105,0000,696.81
20161106,0000,696.66
20161107,0000,696.50
20161108,0000,696.37
20161109,0000,696.22
20161110,0000,696.06
20161111,0000,695.89
20161112,0000,695.71
20161113,0000,695.55
20161114,0000,695.37
20161115,0000,695.17
20161116,0000,695.05
20161117,0000,694.90
20161118,0000,694.72
20161119,0000,694.60
20161120,0000,694.39
20161121,0000,694.31
20161122,0000,694.18
20161123,0000,694.03
20161124,0000,693.88
20161125,0000,693.76
20161126,0000,693.64
20161127,0000,693.55
20161128,0000,693.40
20161129,0000,693.25
20161130,0000,693.12
20161201,0000,692.96
20161202,0000,692.81
20161203,0000,692.66
20161204,0000,692.51
20161205,0000,692.34
20161206,0000,692.21
20161207,0000,692.05
20161208,0000,691.93
20161209,0000,691.81
20161210,0000,691.68
20161211,0000,691.73
20161212,0000,691.69
20161213,0000,691.57
20161214,0000,691.49
20161215,0000,691.41
20161216,0000,691.49
20161217,0000,691.57
20161218,0000,691.52
20161219,0000,691.40
20161220,0000,691.31
20161221,0000,691.25
20161222,0000,691.11
20161223,0000,691.05
20161224,0000,690.97
20161225,0000,690.99
20161226,0000,690.94
20161227,0000,690.84
20161228,0000,690.76
20161229,0000,690.71
20161230,0000,690.63
20161231,0000,690.59
20170101,0000,690.51
20170102,0000,690.46
20170103,0000,690.41
20170104,0000,690.36
20170105,0000,690.81
20170106,0000,691.13
20170107,0000,691.43
20170108,0000,691.71
20170109,0000,699.15
20170110,0000,702.28
20170111,0000,710.03
20170112,0000,713.51
20170113,0000,713.30
20170114,0000,711.75
20170115,0000,710.04
20170116,0000,708.12
20170117,0000,706.40
20170118,0000,703.95
20170119,0000,703.37
20170120,0000,706.80
20170121,0000,708.79
20170122,0000,712.27
20170123,0000,714.56
20170124,0000,715.52
20170125,0000,714.70
20170126,0000,712.90
20170127,0000,711.11
20170128,0000,709.80
20170129,0000,707.67
20170130,0000,705.54
20170131,0000,703.35
20170201,0000,702.44
20170202,0000,699.42
20170203,0000,698.97
20170204,0000,699.17
20170205,0000,699.40
20170206,0000,699.70
20170207,0000,706.00
20170208,0000,707.90
20170209,0000,708.33
20170210,0000,711.12
20170211,0000,710.28
20170212,0000,708.36
20170213,0000,706.57
20170214,0000,704.37
20170215,0000,701.95
20170216,0000,699.47
20170217,0000,698.50
