Date,Storage (af),
Oct-69,13230,
Nov-69,13170,
Dec-69,13380,
Jan-70,27220,
Feb-70,29010,
Mar-70,34870,
Apr-70,37910,
May-70,40410,
Jun-70,41610,
Jul-70,41090,
Aug-70,40600,
Sep-70,36490,
Oct-70,29650,
Nov-70,23860,
Dec-70,27820,
Jan-71,29160,
Feb-71,29500,
Mar-71,30200,
Apr-71,36920,
May-71,40060,
Jun-71,39730,
Jul-71,39300,
Aug-71,38810,
Sep-71,34340,
Oct-71,27870,
Nov-71,25010,
Dec-71,25520,
Jan-72,25770,
Feb-72,26340,
Mar-72,30110,
Apr-72,35160,
May-72,38970,
Jun-72,39650,
Jul-72,33850,
Aug-72,33380,
Sep-72,30180,
Oct-72,24980,
Nov-72,26750,
Dec-72,27710,
Jan-73,37080,
Feb-73,40150,
Mar-73,39930,
Apr-73,40130,
May-73,39960,
Jun-73,39650,
Jul-73,39230,
Aug-73,38730,
Sep-73,32420,
Oct-73,25670,
Nov-73,26430,
Dec-73,33000,
Jan-74,38930,
Feb-74,38670,
Mar-74,40810,
Apr-74,40290,
May-74,40230,
Jun-74,39860,
Jul-74,39490,
Aug-74,32880,
Sep-74,26600,
Oct-74,21470,
Nov-74,20340,
Dec-74,20580,
Jan-75,20970,
Feb-75,33750,
Mar-75,39590,
Apr-75,40060,
May-75,40060,
Jun-75,39790,
Jul-75,39440,
Aug-75,39000,
Sep-75,35400,
Oct-75,28320,
Nov-75,25000,
Dec-75,25030,
Jan-76,25020,
Feb-76,27370,
Mar-76,33350,
Apr-76,33940,
May-76,33580,
Jun-76,33220,
Jul-76,32780,
Aug-76,32190,
Sep-76,31900,
Oct-76,27450,
Nov-76,25000,
Dec-76,24900,
Jan-77,24930,
Feb-77,28390,
Mar-77,35370,
Apr-77,36390,
May-77,39600,
Jun-77,39180,
Jul-77,38690,
Aug-77,37030,
Sep-77,32130,
Oct-77,28350,
Nov-77,26650,
Dec-77,26870,
Jan-78,37190,
Feb-78,38760,
Mar-78,39810,
Apr-78,39890,
May-78,39490,
Jun-78,39100,
Jul-78,38580,
Aug-78,38000,
Sep-78,33360,
Oct-78,26880,
Nov-78,24810,
Dec-78,24710,
Jan-79,25940,
Feb-79,32670,
Mar-79,34590,
Apr-79,38900,
May-79,39950,
Jun-79,38620,
Jul-79,38140,
Aug-79,36870,
Sep-79,31400,
Oct-79,26170,
Nov-79,24210,
Dec-79,24580,
Jan-80,33730,
Feb-80,38470,
Mar-80,39950,
Apr-80,39990,
May-80,40060,
Jun-80,38550,
Jul-80,36930,
Aug-80,35800,
Sep-80,31020,
Oct-80,25020,
Nov-80,24530,
Dec-80,24520,
Jan-81,26440,
Feb-81,29790,
Mar-81,39490,
Apr-81,38980,
May-81,38980,
Jun-81,37750,
Jul-81,35620,
Aug-81,33670,
Sep-81,31420,
Oct-81,31320,
Nov-81,31810,
Dec-81,33940,
Jan-82,38000,
Feb-82,39140,
Mar-82,48510,
Apr-82,42930,
May-82,42040,
Jun-82,41090,
Jul-82,40820,
Aug-82,40390,
Sep-82,36040,
Oct-82,28750,
Nov-82,24950,
Dec-82,37534,
Jan-83,43544,
Feb-83,40450,
Mar-83,39717,
Apr-83,41620,
May-83,40476,
Jun-83,40500,
Jul-83,39999,
Aug-83,39822,
Sep-83,35810,
Oct-83,29520,
Nov-83,27990,
Dec-83,36127,
Jan-84,33463,
Feb-84,36140,
Mar-84,37561,
Apr-84,38480,
May-84,39943,
Jun-84,39350,
Jul-84,37099,
Aug-84,36194,
Sep-84,30190,
Oct-84,27556,
Nov-84,25450,
Dec-84,26438,
Jan-85,26845,
Feb-85,29860,
Mar-85,36641,
Apr-85,40180,
May-85,41490,
Jun-85,41160,
Jul-85,40640,
Aug-85,38640,
Sep-85,33320,
Oct-85,31080,
Nov-85,27020,
Dec-85,24860,
Jan-86,25350,
Feb-86,41610,
Mar-86,40700,
Apr-86,41780,
May-86,41200,
Jun-86,40770,
Jul-86,40410,
Aug-86,39910,
Sep-86,35110,
Oct-86,31080,
Nov-86,26410,
Dec-86,25180,
Jan-87,25430,
Feb-87,26780,
Mar-87,33290,
Apr-87,39140,
May-87,41060,
Jun-87,40626,
Jul-87,40155,
Aug-87,37896,
Sep-87,31381,
Oct-87,24926,
Nov-87,24435,
Dec-87,24532,
Jan-88,25275,
Feb-88,25225,
Mar-88,30485,
Apr-88,36474,
May-88,40483,
Jun-88,40912,
Jul-88,40411,
Aug-88,38654,
Sep-88,32321,
