Date,Elevation
1/1/90,685.03
1/2/90,685.03
1/3/90,685.07
1/4/90,685.05
1/5/90,685.04
1/6/90,685.04
1/7/90,685.04
1/8/90,685.04
1/9/90,685.02
1/10/90,685.02
1/11/90,685.02
1/12/90,685.02
1/13/90,685.05
1/14/90,685.07
1/15/90,685.07
1/16/90,685.12
1/17/90,685.15
1/18/90,685.15
1/19/90,685.14
1/20/90,685.13
1/21/90,685.12
1/22/90,685.13
1/23/90,685.13
1/24/90,685.11
1/25/90,685.11
1/26/90,684.86
1/27/90,684.7
1/28/90,684.88
1/29/90,685.05
1/30/90,685.25
1/31/90,685.55
2/1/90,685.82
2/2/90,686.1
2/3/90,686.38
2/4/90,686.83
2/5/90,687.2
2/6/90,687.48
2/7/90,687.76
2/8/90,687.95
2/9/90,688.2
2/10/90,688.48
2/11/90,688.7
2/12/90,688.92
2/13/90,689.14
2/14/90,689.39
2/15/90,689.75
2/16/90,689.87
2/17/90,690.37
2/18/90,690.94
2/19/90,691.37
2/20/90,691.71
2/21/90,692.13
2/22/90,692.38
2/23/90,692.55
2/24/90,692.8
2/25/90,693.1
2/26/90,693.32
2/27/90,693.53
2/28/90,693.74
3/1/90,694
3/2/90,694.22
3/3/90,694.6
3/4/90,694.89
3/5/90,695.15
3/6/90,695.42
3/7/90,695.58
3/8/90,695.75
3/9/90,696.11
3/10/90,696.1
3/11/90,696.28
3/12/90,696.44
3/13/90,696.58
3/14/90,696.67
3/15/90,696.8
3/16/90,697.02
3/17/90,697.15
3/18/90,697.26
3/19/90,697.35
3/20/90,697.35
3/21/90,697.45
3/22/90,697.48
3/23/90,697.49
3/24/90,697.5
3/25/90,697.53
3/26/90,697.58
3/27/90,697.57
3/28/90,697.57
3/29/90,697.57
3/30/90,697.56
3/31/90,697.55
4/1/90,697.55
4/2/90,697.54
4/3/90,697.54
4/4/90,697.54
4/5/90,697.54
4/6/90,697.52
4/7/90,697.57
4/8/90,697.66
4/9/90,697.75
4/10/90,697.77
4/11/90,697.75
4/12/90,697.73
4/13/90,697.73
4/14/90,697.72
4/15/90,697.81
4/16/90,697.98
4/17/90,698.05
4/18/90,698.1
4/19/90,698.12
4/20/90,698.15
4/21/90,698.2
4/22/90,698.21
4/23/90,698.21
4/24/90,698.32
4/25/90,698.45
4/26/90,698.48
4/27/90,698.5
4/28/90,698.58
4/29/90,698.67
4/30/90,698.75
5/1/90,698.8
5/2/90,698.88
5/3/90,698.93
5/4/90,698.99
5/5/90,699.02
5/6/90,699.01
5/7/90,699.01
5/8/90,699.04
5/9/90,699.03
5/10/90,699.03
5/11/90,699.03
5/12/90,699.04
5/13/90,699.07
5/14/90,699.08
5/15/90,699.1
5/16/90,699.13
5/17/90,699.15
5/18/90,699.15
5/19/90,699.17
5/20/90,699.2
5/21/90,699.2
5/22/90,699.38
5/23/90,699.48
5/24/90,699.58
5/25/90,699.64
5/26/90,699.75
5/27/90,699.83
5/28/90,700.06
5/29/90,700.28
5/30/90,700.5
5/31/90,700.73
6/1/90,700.93
6/2/90,701.1
6/3/90,701.25
6/4/90,701.41
6/5/90,701.55
6/6/90,701.63
6/7/90,701.77
6/8/90,701.87
6/9/90,701.91
6/10/90,701.97
6/11/90,702.03
6/12/90,701.95
6/13/90,701.98
6/14/90,701.92
6/15/90,701.89
6/16/90,701.9
6/17/90,701.88
6/18/90,701.8
6/19/90,701.79
6/20/90,701.75
6/21/90,701.75
6/22/90,701.7
6/23/90,701.7
6/24/90,701.69
6/25/90,701.66
6/26/90,701.64
6/27/90,701.6
6/28/90,701.58
6/29/90,701.55
6/30/90,701.53
7/1/90,701.5
7/2/90,701.5
7/3/90,701.45
7/4/90,701.45
7/5/90,701.4
7/6/90,701.39
7/7/90,701.37
7/8/90,701.34
7/9/90,701.4
7/10/90,701.3
7/11/90,701.27
7/12/90,701.24
7/13/90,701.23
7/14/90,701.18
7/15/90,701.18
7/16/90,701.14
7/17/90,701.14
7/18/90,701.13
7/19/90,701.09
7/20/90,701.06
7/21/90,701.04
7/22/90,701.02
7/23/90,700.98
7/24/90,700.97
7/25/90,700.92
7/26/90,700.92
7/27/90,700.88
7/28/90,700.85
7/29/90,700.82
7/30/90,700.82
7/31/90,700.8
8/1/90,700.77
8/2/90,700.77
8/3/90,700.77
8/4/90,700.73
8/5/90,700.72
8/6/90,700.7
8/7/90,700.61
8/8/90,700.7
8/9/90,700.59
8/10/90,700.58
8/11/90,700.56
8/12/90,700.55
8/13/90,700.52
8/14/90,700.48
8/15/90,700.43
8/16/90,700.43
8/17/90,700.38
8/18/90,700.36
8/19/90,700.36
8/20/90,700.35
8/21/90,700.33
8/22/90,700.33
8/23/90,700.27
8/24/90,700.24
8/25/90,700.2
8/26/90,700.2
8/27/90,700.17
8/28/90,700.15
8/29/90,700.14
8/30/90,700.11
8/31/90,700.09
9/1/90,700.08
9/2/90,700.06
9/3/90,700.03
9/4/90,700.03
9/5/90,699.98
9/6/90,699.97
9/7/90,699.95
9/8/90,699.93
9/9/90,699.91
9/10/90,699.9
9/11/90,699.88
9/12/90,699.85
9/13/90,699.83
9/14/90,699.78
9/15/90,699.71
9/16/90,699.66
9/17/90,699.6
9/18/90,699.14
9/19/90,699.1
9/20/90,698.42
9/21/90,698.05
9/22/90,698
9/23/90,697.65
9/24/90,697.27
9/25/90,696.91
9/26/90,696.55
9/27/90,696.2
9/28/90,696.07
9/29/90,696.04
9/30/90,696.02
10/1/90,695.93
10/2/90,695.85
10/3/90,695.78
10/4/90,695.78
10/5/90,695.77
10/6/90,695.76
10/7/90,695.75
10/8/90,695.75
10/9/90,695.65
10/10/90,695.54
10/11/90,695.45
10/12/90,695.33
10/13/90,695.23
10/14/90,695.15
10/15/90,695.03
10/16/90,694.95
10/17/90,694.83
10/18/90,694.72
10/19/90,694.64
10/20/90,694.46
10/21/90,694.33
10/22/90,694.27
10/23/90,694.14
10/24/90,694.06
10/25/90,693.93
10/26/90,693.76
10/27/90,693.69
10/28/90,693.12
10/29/90,692.76
10/30/90,692.74
10/31/90,692.76
11/1/90,692.71
11/2/90,692.59
11/3/90,692.4
11/4/90,692.24
11/5/90,692.09
11/6/90,691.93
11/7/90,691.77
11/8/90,691.63
11/9/90,691.46
11/10/90,691.31
11/11/90,691.14
11/12/90,690.98
11/13/90,690.85
11/14/90,690.73
11/15/90,690.55
11/16/90,690.37
11/17/90,690.19
11/18/90,690.01
