# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-07-26 16:19:05 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11176400 ARROYO VALLE BL LANG CYN NR LIVERMORE CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11176400
#            TS   parameter     statistic     Description
#          8984       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	8984_00060_00003	8984_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11176400	1963-10-01	0.00	A
USGS	11176400	1963-10-02	0.00	A
USGS	11176400	1963-10-03	0.00	A
USGS	11176400	1963-10-04	0.00	A
USGS	11176400	1963-10-05	0.00	A
USGS	11176400	1963-10-06	0.00	A
USGS	11176400	1963-10-07	0.00	A
USGS	11176400	1963-10-08	0.00	A
USGS	11176400	1963-10-09	0.00	A
USGS	11176400	1963-10-10	0.00	A
USGS	11176400	1963-10-11	0.00	A
USGS	11176400	1963-10-12	0.00	A
USGS	11176400	1963-10-13	0.00	A
USGS	11176400	1963-10-14	0.00	A
USGS	11176400	1963-10-15	0.00	A
USGS	11176400	1963-10-16	0.00	A
USGS	11176400	1963-10-17	0.00	A
USGS	11176400	1963-10-18	0.00	A
USGS	11176400	1963-10-19	0.00	A
USGS	11176400	1963-10-20	0.00	A
USGS	11176400	1963-10-21	0.00	A
USGS	11176400	1963-10-22	0.10	A
USGS	11176400	1963-10-23	0.10	A
USGS	11176400	1963-10-24	0.10	A
USGS	11176400	1963-10-25	0.10	A
USGS	11176400	1963-10-26	0.10	A
USGS	11176400	1963-10-27	0.10	A
USGS	11176400	1963-10-28	0.10	A
USGS	11176400	1963-10-29	0.10	A
USGS	11176400	1963-10-30	0.10	A
USGS	11176400	1963-10-31	0.10	A
USGS	11176400	1963-11-01	0.10	A
USGS	11176400	1963-11-02	0.10	A
USGS	11176400	1963-11-03	0.10	A
USGS	11176400	1963-11-04	0.10	A
USGS	11176400	1963-11-05	1.30	A
USGS	11176400	1963-11-06	3.80	A
USGS	11176400	1963-11-07	3.40	A
USGS	11176400	1963-11-08	1.90	A
USGS	11176400	1963-11-09	1.50	A
USGS	11176400	1963-11-10	1.40	A
USGS	11176400	1963-11-11	1.30	A
USGS	11176400	1963-11-12	1.20	A
USGS	11176400	1963-11-13	1.10	A
USGS	11176400	1963-11-14	1.20	A
USGS	11176400	1963-11-15	1.50	A
USGS	11176400	1963-11-16	1.50	A
USGS	11176400	1963-11-17	1.50	A
USGS	11176400	1963-11-18	1.30	A
USGS	11176400	1963-11-19	2.70	A
USGS	11176400	1963-11-20	9.40	A
USGS	11176400	1963-11-21	5.30	A
USGS	11176400	1963-11-22	2.40	A
USGS	11176400	1963-11-23	7.10	A
USGS	11176400	1963-11-24	15.0	A
USGS	11176400	1963-11-25	6.20	A
