Date,Storage (af),
Sep-66,18480,
Oct-66,17660,
Nov-66,17970,
Dec-66,18580,
Jan-67,19940,
Feb-67,21570,
Mar-67,23190,
Apr-67,23060,
May-67,24150,
Jun-67,23120,
Jul-67,22650,
Aug-67,22150,
Sep-67,21570,
Oct-67,21350,
Nov-67,21460,
Dec-67,21770,
Jan-68,22710,
Feb-68,23320,
Mar-68,23240,
Apr-68,23180,
May-68,22660,
Jun-68,21900,
Jul-68,20970,
Aug-68,20220,
Sep-68,19410,
Oct-68,18990,
Nov-68,19220,
Dec-68,19650,
Jan-69,23200,
Feb-69,22970,
Mar-69,23830,
Apr-69,24170,
May-69,23500,
Jun-69,22930,
Jul-69,22560,
Aug-69,21860,
Sep-69,21170,
Oct-69,21060,
Nov-69,21030,
Dec-69,22520,
Jan-70,23450,
Feb-70,23170,
Mar-70,23320,
Apr-70,23240,
May-70,23200,
Jun-70,22870,
Jul-70,22240,
Aug-70,21390,
Sep-70,20660,
Oct-70,20250,
Nov-70,21430,
Dec-70,22790,
Jan-71,23080,
Feb-71,23000,
Mar-71,23560,
Apr-71,23810,
May-71,24160,
Jun-71,23260,
Jul-71,17370,
Aug-71,9260,
Sep-71,2130,
Oct-71,910,
Nov-71,2010,
Dec-71,3320,
Jan-72,4340,
Feb-72,7250,
Mar-72,16370,
Apr-72,22210,
May-72,22950,
Jun-72,22430,
Jul-72,21760,
Aug-72,21070,
Sep-72,20730,
Oct-72,20680,
Nov-72,20870,
Dec-72,21640,
Jan-73,22750,
Feb-73,22890,
Mar-73,23060,
Apr-73,23630,
May-73,23080,
Jun-73,21990,
Jul-73,21120,
Aug-73,20120,
Sep-73,19360,
Oct-73,18950,
Nov-73,21380,
Dec-73,23210,
Jan-74,23180,
Feb-74,23100,
Mar-74,24060,
Apr-74,23710,
May-74,23640,
Jun-74,22030,
Jul-74,22120,
Aug-74,21480,
Sep-74,20620,
Oct-74,20090,
Nov-74,19970,
Dec-74,20040,
Jan-75,14300,
Feb-75,14390,
Mar-75,16840,
Apr-75,20910,
May-75,24100,
Jun-75,22950,
Jul-75,22530,
Aug-75,21140,
Sep-75,20060,
Oct-75,20190,
Nov-75,20360,
Dec-75,20510,
Jan-76,20560,
Feb-76,21000,
Mar-76,22040,
Apr-76,22960,
May-76,22120,
Jun-76,20800,
Jul-76,15000,
Aug-76,10850,
Sep-76,2120,
Oct-76,400,
Nov-76,1250,
Dec-76,1310,
Jan-77,1340,
Feb-77,1960,
