2576,PST,'RESERVOIR STORAGE (af)'
19880806,0000,47134
19880807,0000,47134
19880808,0000,47000
19880809,0000,46873
19880810,0000,46782
19880811,0000,46726
19880812,0000,46647
19880813,0000,46647
19880814,0000,46444
19880815,0000,46387
19880816,0000,46320
19880817,0000,46185
19880818,0000,46151
19880819,0000,46095
19880820,0000,46006
19880821,0000,45950
19880822,0000,45860
19880823,0000,45804
19880824,0000,45726
19880825,0000,45637
19880826,0000,45637
19880827,0000,45526
19880828,0000,45437
19880829,0000,45292
19880830,0000,45292
19880831,0000,45237
19880901,0000,45148
19880902,0000,9938
19880903,0000,9633
19880904,0000,9633
19880905,0000,9271
19880906,0000,44728
19880907,0000,44673
19880908,0000,44618
19880909,0000,44618
19880910,0000,44465
19880911,0000,44311
19880912,0000,44223
19880913,0000,44169
19880914,0000,44169
19880915,0000,44027
19880916,0000,43885
19880917,0000,43885
19880918,0000,43776
19880919,0000,43744
19880920,0000,43744
19880921,0000,43613
19880922,0000,43559
19880923,0000,43559
19880924,0000,43440
19880925,0000,43440
19880926,0000,43385
19880927,0000,43332
19880928,0000,43245
19880929,0000,43191
19880930,0000,43137
19881001,0000,43083
19881002,0000,43051
19881003,0000,42997
19881004,0000,42922
19881005,0000,42922
19881006,0000,42890
19881007,0000,42836
19881008,0000,42782
19881009,0000,42729
19881010,0000,42697
19881011,0000,42643
19881012,0000,42590
19881013,0000,42400
19881014,0000,42500
19881015,0000,42397
19881016,0000,42344
19881017,0000,42312
19881018,0000,42300
19881019,0000,42200
19881020,0000,42184
19881021,0000,42120
19881022,0000,42100
19881023,0000,42100
19881024,0000,42014
19881025,0000,41961
19881026,0000,41908
19881027,0000,41855
19881028,0000,41855
19881029,0000,41823
19881030,0000,41749
19881031,0000,41686
19881101,0000,41612
19881102,0000,41583
19881103,0000,41600
19881104,0000,41528
19881105,0000,41444
19881106,0000,41400
19881107,0000,41400
19881108,0000,41500
19881109,0000,44136
19881110,0000,44169
19881111,0000,41370
19881112,0000,44114
19881113,0000,44475
19881114,0000,44500
19881115,0000,44421
19881116,0000,44530
19881117,0000,44530
19881118,0000,44508
19881119,0000,44421
19881120,0000,44421
19881121,0000,44366
19881122,0000,44982
19881123,0000,45894
19881124,0000,45894
19881125,0000,45927
19881126,0000,45927
19881127,0000,45860
19881128,0000,45927
19881129,0000,45894
19881130,0000,45838
19881201,0000,45838
19881202,0000,42976
19881203,0000,42976
19881204,0000,42944
19881205,0000,42922
19881206,0000,42922
19881207,0000,42890
19881208,0000,42804
19881209,0000,42782
19881210,0000,42782
19881211,0000,42750
19881212,0000,42750
19881213,0000,42729
19881214,0000,42600
19881215,0000,42558
19881216,0000,42558
19881217,0000,42536
19881218,0000,42536
19881219,0000,42504
19881220,0000,42729
19881221,0000,42675
19881222,0000,42836
19881223,0000,42836
19881224,0000,42922
19881225,0000,43051
19881226,0000,43000
19881227,0000,43000
19881228,0000,43000
19881229,0000,42976
19881230,0000,43030
19881231,0000,43000
19890101,0000,43030
19890102,0000,42976
19890103,0000,42976
19890104,0000,42890
19890105,0000,43170
19890106,0000,43116
19890107,0000,43137
19890108,0000,43137
19890109,0000,43083
19890110,0000,43137
19890111,0000,43116
19890112,0000,43083
19890113,0000,43083
19890114,0000,43051
19890115,0000,43030
19890116,0000,43000
19890117,0000,43000
19890118,0000,42976
19890119,0000,42976
19890120,0000,42944
19890121,0000,42922
19890122,0000,43083
19890123,0000,43116
19890124,0000,43116
19890125,0000,43083
19890126,0000,43116
19890127,0000,43051
19890128,0000,43030
19890129,0000,42997
19890130,0000,42974
19890131,0000,43000
19890201,0000,43000
19890202,0000,43224
19890203,0000,43418
19890204,0000,43472
19890205,0000,43440
19890206,0000,43418
19890207,0000,43386
19890208,0000,43386
19890209,0000,43418
19890210,0000,43364
19890211,0000,43364
19890212,0000,43364
19890213,0000,43332
19890214,0000,43278
19890215,0000,43278
19890216,0000,43245
19890217,0000,43224
19890218,0000,43224
19890219,0000,43245
19890220,0000,43245
19890221,0000,43191
19890222,0000,43494
19890223,0000,43581
19890224,0000,43635
19890225,0000,43776
19890226,0000,43863
19890227,0000,44005
19890228,0000,44100
19890301,0000,44256
19890302,0000,44640
19890303,0000,44640
19890304,0000,44706
19890305,0000,44817
19890306,0000,45068
19890307,0000,45492
19890308,0000,46556
19890309,0000,48071
19890310,0000,49251
19890311,0000,50730
19890312,0000,51431
19890313,0000,51861
19890314,0000,52101
19890315,0000,52318
19890316,0000,52692
19890317,0000,52813
19890318,0000,53056
19890319,0000,53373
19890320,0000,53470
19890321,0000,53690
19890322,0000,53874
19890323,0000,54034
19890324,0000,54848
19890325,0000,55645
19890326,0000,55908
19890327,0000,56222
19890328,0000,56587
19890329,0000,56878
19890330,0000,57030
19890331,0000,57500
19890401,0000,57756
19890402,0000,58050
19890403,0000,58345
19890404,0000,58538
19890405,0000,58809
19890406,0000,59003
19890407,0000,59301
19890408,0000,59470
19890409,0000,59665
19890410,0000,59868
19890411,0000,60108
19890412,0000,60174
19890413,0000,60266
19890414,0000,60370
19890415,0000,60410
19890416,0000,60502
19890417,0000,60672
19890418,0000,60567
19890419,0000,60712
19890420,0000,60738
19890421,0000,60738
19890422,0000,60804
19890423,0000,60909
19890424,0000,60975
19890425,0000,61015
19890426,0000,61041
19890427,0000,61041
19890428,0000,61081
19890429,0000,61041
19890430,0000,61000
19890501,0000,60975
19890502,0000,61015
19890503,0000,60975
19890504,0000,60975
19890505,0000,60975
19890506,0000,60909
19890507,0000,60870
19890508,0000,60843
19890509,0000,60804
19890510,0000,60870
19890511,0000,60804
19890512,0000,60949
19890513,0000,61041
19890514,0000,61107
19890515,0000,61107
19890516,0000,61081
19890517,0000,60909
19890518,0000,60949
19890519,0000,60843
19890520,0000,60800
19890521,0000,60672
19890522,0000,60541
19890523,0000,60567
19890524,0000,60541
19890525,0000,60502
19890526,0000,60370
19890527,0000,60305
19890528,0000,60239
19890529,0000,60266
19890530,0000,60266
19890531,0000,60200
19890601,0000,60174
19890602,0000,60108
19890603,0000,60069
19890604,0000,60135
19890605,0000,60135
19890606,0000,60069
19890607,0000,60239
19890608,0000,60239
19890609,0000,60200
19890610,0000,60108
19890611,0000,60030
19890612,0000,59965
19890613,0000,59939
19890614,0000,59795
19890615,0000,59665
19890616,0000,59600
19890617,0000,59500
19890618,0000,59366
19890619,0000,59236
19890620,0000,59132
19890621,0000,59003
19890622,0000,58938
19890623,0000,58809
19890624,0000,58700
19890625,0000,58641
19890626,0000,58577
19890627,0000,58300
19890628,0000,58281
19890629,0000,58178
19890630,0000,58100
19890701,0000,57986
19890702,0000,57948
19890703,0000,57820
19890704,0000,57718
19890705,0000,57628
19890706,0000,57590
19890707,0000,57500
19890708,0000,57400
19890709,0000,57297
19890710,0000,57198
19890711,0000,57200
19890712,0000,57100
19890713,0000,56940
19890714,0000,56870
19890715,0000,56739
19890716,0000,56640
19890717,0000,56615
19890718,0000,56600
19890719,0000,56500
19890720,0000,56300
19890721,0000,56260
19890722,0000,56134
19890723,0000,56071
19890724,0000,55938
19890725,0000,55845
19890726,0000,55745
19890727,0000,55645
19890728,0000,55557
19890729,0000,55458
19890730,0000,55300
19890731,0000,55139
19890801,0000,55047
19890802,0000,54947
19890803,0000,54848
19890804,0000,54761
19890805,0000,54700
19890806,0000,54625
19890807,0000,54601
19890808,0000,54700
19890809,0000,54700
19890810,0000,54600
19890811,0000,54477
19890812,0000,54378
19890813,0000,54317
19890814,0000,54218
19890815,0000,54120
19890816,0000,54058
19890817,0000,53972
19890818,0000,53874
19890819,0000,53800
19890820,0000,53800
19890821,0000,53717
19890822,0000,53556
19890823,0000,53556
19890824,0000,53531
19890825,0000,53470
19890826,0000,53373
19890827,0000,53312
19890828,0000,53251
19890829,0000,53129
19890830,0000,53056
19890831,0000,52995
19890901,0000,52935
19890902,0000,52850
19890903,0000,52777
19890904,0000,52535
19890905,0000,52439
19890906,0000,52282
19890907,0000,52282
19890908,0000,52258
19890909,0000,52198
19890910,0000,52162
19890911,0000,52101
19890912,0000,52005
19890913,0000,51945
19890914,0000,51861
19890915,0000,51800
19890916,0000,51800
19890917,0000,51900
19890918,0000,51945
19890919,0000,51945
19890920,0000,51945
19890921,0000,51861
19890922,0000,51825
19890923,0000,51800
19890924,0000,51730
19890925,0000,51610
19890926,0000,51500
19890927,0000,51491
19890928,0000,51500
19890929,0000,51400
19890930,0000,51400
19891001,0000,51336
19891002,0000,51337
19891003,0000,51371
19891004,0000,51371
19891005,0000,51312
19891006,0000,51300
19891007,0000,51181
19891008,0000,51157
19891009,0000,51154
19891010,0000,51200
19891011,0000,51062
19891012,0000,50967
19891013,0000,50943
19891014,0000,50900
19891015,0000,50849
19891016,0000,50825
19891017,0000,50695
19891018,0000,50671
19891019,0000,50636
19891020,0000,50577
19891021,0000,50600
19891022,0000,50612
19891023,0000,51240
19891024,0000,51300
19891025,0000,51300
19891026,0000,51336
19891027,0000,51312
19891028,0000,51312
19891029,0000,51217
19891030,0000,51181
19891031,0000,51000
19891101,0000,51100
19891102,0000,51121
19891103,0000,51098
19891104,0000,51062
19891105,0000,51062
19891106,0000,51003
19891107,0000,50943
19891108,0000,50908
19891109,0000,50884
19891110,0000,50849
19891111,0000,50825
19891112,0000,50789
19891113,0000,50754
19891114,0000,50695
19891115,0000,50671
19891116,0000,50671
19891117,0000,50612
19891118,0000,50577
