2575,PST,'RESERVOIR ELEVATION (feet)'
19880806,0000,5764.27
19880807,0000,5764.27
19880808,0000,m
19880809,0000,5764.18
19880810,0000,5764.15
19880811,0000,5764.13
19880812,0000,5764.10
19880813,0000,5764.10
19880814,0000,5764.03
19880815,0000,5764.01
19880816,0000,5763.99
19880817,0000,5763.94
19880818,0000,5763.93
19880819,0000,5763.91
19880820,0000,5763.88
19880821,0000,5763.86
19880822,0000,5763.83
19880823,0000,5763.81
19880824,0000,5763.78
19880825,0000,5763.75
19880826,0000,5763.75
19880827,0000,5763.71
19880828,0000,5763.68
19880829,0000,5763.63
19880830,0000,5763.63
19880831,0000,5763.61
19880901,0000,5763.58
19880902,0000,5744.67
19880903,0000,5744.35
19880904,0000,5744.35
19880905,0000,5743.96
19880906,0000,5763.43
19880907,0000,5763.41
19880908,0000,5763.39
19880909,0000,5763.39
19880910,0000,m
19880911,0000,5763.28
19880912,0000,5763.25
19880913,0000,5763.23
19880914,0000,5763.23
19880915,0000,5763.18
19880916,0000,5763.13
19880917,0000,5763.13
19880918,0000,5763.09
19880919,0000,5763.08
19880920,0000,5763.08
19880921,0000,5763.03
19880922,0000,5763.01
19880923,0000,5763.01
19880924,0000,5762.97
19880925,0000,5762.97
19880926,0000,m
19880927,0000,5762.93
19880928,0000,5762.90
19880929,0000,5762.88
19880930,0000,5762.86
19881001,0000,5762.84
19881002,0000,5762.83
19881003,0000,5762.81
19881004,0000,5762.78
19881005,0000,5762.78
19881006,0000,5762.77
19881007,0000,5762.75
19881008,0000,5762.73
19881009,0000,5762.71
19881010,0000,5762.70
19881011,0000,5762.68
19881012,0000,5762.66
19881013,0000,5762.66
19881014,0000,m
19881015,0000,5762.59
19881016,0000,5762.57
19881017,0000,5762.56
19881018,0000,5762.56
19881019,0000,m
19881020,0000,5762.51
19881021,0000,5762.49
19881022,0000,5762.49
19881023,0000,m
19881024,0000,5762.45
19881025,0000,5762.43
19881026,0000,5762.41
19881027,0000,5762.39
19881028,0000,5762.39
19881029,0000,5762.38
19881030,0000,5762.35
19881031,0000,5762.33
19881101,0000,5762.30
19881102,0000,5762.29
19881103,0000,5762.29
19881104,0000,5762.27
19881105,0000,5762.24
19881106,0000,5762.24
19881107,0000,m
19881108,0000,m
19881109,0000,5763.22
19881110,0000,5763.23
19881111,0000,5762.21
19881112,0000,5763.21
19881113,0000,5763.34
19881114,0000,5763.34
19881115,0000,5763.32
19881116,0000,5763.36
19881117,0000,5763.36
19881118,0000,5763.35
19881119,0000,5763.32
19881120,0000,5763.32
19881121,0000,5763.30
19881122,0000,5763.52
19881123,0000,5763.84
19881124,0000,5763.84
19881125,0000,5763.85
19881126,0000,5763.85
19881127,0000,5763.83
19881128,0000,5763.85
19881129,0000,5763.84
19881130,0000,5763.82
19881201,0000,5763.82
19881202,0000,5762.80
19881203,0000,5762.80
19881204,0000,5762.79
19881205,0000,5762.78
19881206,0000,5762.78
19881207,0000,5762.77
19881208,0000,5762.74
19881209,0000,5762.73
19881210,0000,5762.73
19881211,0000,5762.72
19881212,0000,5762.72
19881213,0000,5762.71
19881214,0000,5762.71
19881215,0000,5762.65
19881216,0000,5762.65
19881217,0000,5762.64
19881218,0000,5762.64
19881219,0000,5762.63
19881220,0000,5762.71
19881221,0000,5762.69
19881222,0000,5762.75
19881223,0000,5762.75
19881224,0000,5762.78
19881225,0000,5762.83
19881226,0000,5762.83
19881227,0000,m
19881228,0000,m
19881229,0000,5762.80
19881230,0000,5762.82
19881231,0000,5762.82
19890101,0000,5762.82
19890102,0000,5762.80
19890103,0000,5762.80
19890104,0000,5762.77
19890105,0000,5762.87
19890106,0000,5762.85
19890107,0000,5762.86
19890108,0000,5762.86
19890109,0000,5762.84
19890110,0000,5762.86
19890111,0000,5762.85
19890112,0000,5762.84
19890113,0000,5762.84
