Date,Storage (af),
Oct-67,48370,
Nov-67,48180,
Dec-67,49240,
Jan-68,51230,
Feb-68,56830,
Mar-68,61770,
Apr-68,64860,
May-68,64220,
Jun-68,62070,
Jul-68,59620,
Aug-68,57670,
Sep-68,56050,
Oct-68,55330,
Nov-68,56010,
Dec-68,57920,
Jan-69,68760,
Feb-69,72870,
Mar-69,75950,
Apr-69,90100,
May-69,89930,
Jun-69,86440,
Jul-69,81660,
Aug-69,78330,
Sep-69,76750,
Oct-69,75270,
Nov-69,74700,
Dec-69,77640,
Jan-70,91180,
Feb-70,88910,
Mar-70,82170,
Apr-70,81220,
May-70,81740,
Jun-70,80400,
Jul-70,77640,
Aug-70,74670,
Sep-70,72830,
Oct-70,71760,
Nov-70,73880,
Dec-70,76950,
Jan-71,71980,
Feb-71,72120,
Mar-71,77830,
Apr-71,81220,
May-71,84250,
Jun-71,83610,
Jul-71,82210,
Aug-71,78910,
Sep-71,76720,
Oct-71,75380,
Nov-71,75650,
Dec-71,77910,
Jan-72,77830,
Feb-72,78140,
Mar-72,81760,
Apr-72,83450,
May-72,82970,
Jun-72,80160,
Jul-72,76640,
Aug-72,73430,
Sep-72,--,
Oct-72,70690,
Nov-72,69160,
Dec-72,70320,
Jan-73,72090,
Feb-73,74480,
Mar-73,74020,
Apr-73,81460,
May-73,82930,
Jun-73,80360,
Jul-73,77100,
Aug-73,73990,
Sep-73,71640,
Oct-73,70320,
Nov-73,74630,
Dec-73,77680,
Jan-74,81970,
Feb-74,82370,
Mar-74,85580,
Apr-74,84770,
May-74,83450,
Jun-74,81580,
Jul-74,79620,
Aug-74,79620,
Sep-74,70910,
Oct-74,68730,
Nov-74,68190,
Dec-74,68660,
Jan-75,60640,
Feb-75,63090,
Mar-75,65880,
Apr-75,65350,
May-75,79070,
Jun-75,79730,
Jul-75,76910,
Aug-75,74550,
Sep-75,72570,
Oct-75,72240,
Nov-75,71640,
Dec-75,70950,
Jan-76,70650,
Feb-76,71460,
Mar-76,72270,
Apr-76,71500,
May-76,69090,
Jun-76,66580,
Jul-76,63710,
Aug-76,61790,
Sep-76,60540,
Oct-76,59470,
Nov-76,58840,
Dec-76,58350,
Jan-77,58710,
Feb-77,59410,
Mar-77,59300,
Apr-77,58710,
May-77,57860,
Jun-77,51340,
Jul-77,41750,
Aug-77,35970,
Sep-77,34600,
Oct-77,33690,
Nov-77,33600,
Dec-77,35480,
Jan-78,39410,
Feb-78,41720,
Mar-78,52290,
Apr-78,61110,
May-78,64680,
Jun-78,63260,
Jul-78,63160,
Aug-78,58120,
Sep-78,57010,
Oct-78,55810,
Nov-78,55850,
Dec-78,55720,
Jan-79,57430,
Feb-79,59170,
Mar-79,61010,
Apr-79,65310,
May-79,66520,
Jun-79,63880,
Jul-79,58870,
Aug-79,49920,
Sep-79,47540,
Oct-79,47340,
Nov-79,47080,
Dec-79,48010,
Jan-80,56740,
Feb-80,64470,
Mar-80,67470,
Apr-80,74780,
May-80,77760,
Jun-80,76680,
Jul-80,73920,
Aug-80,71090,
Sep-80,68550,
Oct-80,67190,
Nov-80,66330,
Dec-80,66690,
Jan-81,68550,
Feb-81,70650,
Mar-81,72570,
Apr-81,73580,
May-81,72420,
Jun-81,69450,
Jul-81,66620,
Aug-81,63780,
Sep-81,62030,
Oct-81,67990,
Nov-81,75880,
Dec-81,80010,
Jan-82,77680,
Feb-82,81940,
Mar-82,78880,
Apr-82,81360,
May-82,84690,
Jun-82,83490,
Jul-82,80600,
Aug-82,--,
Sep-82,75620,
Oct-82,75810,
Nov-82,77410,
Dec-82,77680,
Jan-83,73060,
Feb-83,71720,
Mar-83,71350,
Apr-83,68620,
May-83,81700,
Jun-83,84100,
Jul-83,81380,
Aug-83,78880,
Sep-83,76720,
Oct-83,76000,
Nov-83,81230,
Dec-83,81980,
Jan-84,75100,
Feb-84,78340,
Mar-84,80400,
Apr-84,81880,
May-84,82770,
Jun-84,80910,
Jul-84,77800,
Aug-84,74440,
Sep-84,71980,
Oct-84,70800,
Nov-84,71870,
Dec-84,71430,
Jan-85,70730,
Feb-85,71390,
Mar-85,73880,
Apr-85,79460,
May-85,77800,
Jun-85,75050,
Jul-85,72200,
Aug-85,69050,
Sep-85,67360,
Oct-85,65800,
Nov-85,65800,
Dec-85,65630,
Jan-86,68120,
Feb-86,84210,
Mar-86,84210,
Apr-86,83890,
May-86,83810,
Jun-86,80480,
Jul-86,77140,
Aug-86,73540,
Sep-86,71980,
Oct-86,70140,
Nov-86,68480,
Dec-86,67260,
Jan-87,66760,
Feb-87,67610,
Mar-87,69740,
Apr-87,69710,
May-87,68040,
Jun-87,65699,
Jul-87,62642,
Aug-87,59668,
Sep-87,57491,
Oct-87,55713,
Nov-87,54504,
Dec-87,54884,
Jan-88,55043,
Feb-88,54315,
Mar-88,54536,
Apr-88,53811,
May-88,52041,
Jun-88,50246,
Jul-88,47719,
Aug-88,45239,
Sep-88,43084,
Oct-88,41691,
Nov-88,45837,
Dec-88,43029,
Jan-89,42974,
Feb-89,44111,
Mar-89,57491,
Apr-89,61010,
May-89,60203,
Jun-89,58080,
Jul-89,55139,
Aug-89,52999,
Sep-89,51398,
Oct-89,51184,
Nov-89,51154,
Dec-89,50276,
Jan-90,50729,
Feb-90,51489,
Mar-90,54726,
Apr-90,55713,
May-90,54948,
Jun-90,53062,
Jul-90,50608,
Aug-90,48307,
Sep-90,46613,
Oct-90,45040,
Nov-90,44251,
Dec-90,43749,
Jan-91,43139,
Feb-91,42864,
Mar-91,46555,
Apr-91,48899,
May-91,48840,
Jun-91,46866,
