Date,Storage (af),
Oct-62,9520,
Nov-62,9900,
Dec-62,10690,
Jan-63,15200,
Feb-63,23920,
Mar-63,25910,
Apr-63,33000,
May-63,38990,
Jun-63,37080,
Jul-63,36150,
Aug-63,30860,
Sep-63,30580,
Oct-63,33800,
Nov-63,33120,
Dec-63,31430,
Jan-64,35560,
Feb-64,36000,
Mar-64,37720,
Apr-64,41670,
May-64,41380,
Jun-64,39160,
Jul-64,36970,
Aug-64,32770,
Sep-64,31780,
Oct-64,31380,
Nov-64,31460,
Dec-64,38680,
Jan-65,43490,
Feb-65,44940,
Mar-65,51620,
Apr-65,58160,
May-65,56190,
Jun-65,53820,
Jul-65,51600,
Aug-65,48770,
Sep-65,46510,
Oct-65,45920,
Nov-65,46400,
Dec-65,47010,
Jan-66,47480,
Feb-66,47970,
Mar-66,50430,
Apr-66,50600,
May-66,47210,
Jun-66,43640,
Jul-66,39800,
Aug-66,37750,
Sep-66,37160,
Oct-66,36620,
Nov-66,37290,
Dec-66,38570,
Jan-67,40300,
Feb-67,42940,
Mar-67,51900,
Apr-67,56320,
May-67,57660,
Jun-67,56050,
Jul-67,54210,
Aug-67,47800,
Sep-67,45920,
Oct-67,45860,
Nov-67,46040,
Dec-67,46600,
Jan-68,47480,
Feb-68,51560,
Mar-68,54720,
Apr-68,54490,
May-68,51890,
Jun-68,48000,
Jul-68,45150,
Aug-68,41490,
Sep-68,40580,
Oct-68,40220,
Nov-68,40440,
Dec-68,41020,
Jan-69,46750,
Feb-69,49190,
Mar-69,52460,
Apr-69,57860,
May-69,56560,
Jun-69,55480,
Jul-69,53150,
Aug-69,47020,
Sep-69,45640,
Oct-69,45510,
Nov-69,45530,
Dec-69,46640,
Jan-70,56990,
Feb-70,56430,
Mar-70,56370,
Apr-70,56140,
May-70,55870,
Jun-70,51340,
Jul-70,48640,
Aug-70,42850,
Sep-70,41050,
Oct-70,40590,
Nov-70,41940,
Dec-70,43130,
Jan-71,45620,
Feb-71,48160,
Mar-71,52680,
Apr-71,56980,
May-71,57460,
Jun-71,55520,
Jul-71,53180,
Aug-71,47600,
Sep-71,45810,
Oct-71,45460,
Nov-71,45690,
Dec-71,46710,
Jan-72,47570,
Feb-72,48860,
Mar-72,53430,
Apr-72,55180,
May-72,53690,
Jun-72,49740,
Jul-72,47910,
Aug-72,40990,
Sep-72,40200,
Oct-72,40040,
Nov-72,40350,
Dec-72,40990,
Jan-73,42120,
Feb-73,43160,
Mar-73,45650,
Apr-73,50570,
May-73,48380,
Jun-73,46220,
Jul-73,42060,
Aug-73,39220,
Sep-73,38460,
Oct-73,38210,
Nov-73,38590,
Dec-73,40520,
Jan-74,45370,
Feb-74,46500,
Mar-74,53760,
Apr-74,56430,
May-74,55750,
Jun-74,51010,
Jul-74,49090,
Aug-74,49090,
Sep-74,37960,
Oct-74,37710,
Nov-74,37590,
Dec-74,37960,
Jan-75,38440,
Feb-75,39290,
Mar-75,39330,
Apr-75,41170,
May-75,50220,
Jun-75,45120,
Jul-75,41590,
Aug-75,35080,
Sep-75,29120,
Oct-75,25160,
Nov-75,25440,
Dec-75,25750,
Jan-76,25980,
Feb-76,26860,
Mar-76,27410,
Apr-76,26230,
May-76,22360,
Jun-76,18990,
Jul-76,16970,
Aug-76,15270,
Sep-76,14530,
Oct-76,14310,
Nov-76,14280,
Dec-76,14270,
Jan-77,14480,
Feb-77,14770,
Mar-77,15000,
Apr-77,14940,
May-77,14430,
Jun-77,11610,
Jul-77,9740,
Aug-77,8040,
Sep-77,7650,
Oct-77,7770,
Nov-77,7770,
Dec-77,8180,
Jan-78,9340,
Feb-78,10700,
Mar-78,21190,
Apr-78,27530,
May-78,28260,
Jun-78,24940,
Jul-78,22470,
Aug-78,20080,
Sep-78,19440,
Oct-78,19030,
Nov-78,19080,
Dec-78,19240,
Jan-79,19560,
Feb-79,20170,
Mar-79,21690,
Apr-79,22610,
May-79,20560,
Jun-79,17450,
Jul-79,14980,
Aug-79,13900,
Sep-79,13270,
Oct-79,13150,
Nov-79,13110,
Dec-79,13260,
Jan-80,19160,
Feb-80,24220,
Mar-80,28470,
Apr-80,34890,
May-80,38450,
Jun-80,37950,
Jul-80,34760,
Aug-80,30890,
Sep-80,28500,
Oct-80,27800,
Nov-80,27630,
Dec-80,27210,
Jan-81,28560,
Feb-81,29610,
Mar-81,30500,
Apr-81,30700,
May-81,27870,
Jun-81,23980,
Jul-81,19740,
Aug-81,17580,
Sep-81,17060,
Oct-81,17060,
Nov-81,23070,
Dec-81,30890,
Jan-82,34220,
Feb-82,44580,
Mar-82,50670,
Apr-82,57590,
May-82,56270,
Jun-82,53900,
Jul-82,49970,
Aug-82,45770,
Sep-82,44360,
Oct-82,44910,
Nov-82,45880,
Dec-82,47770,
Jan-83,50030,
Feb-83,54220,
Mar-83,55860,
Apr-83,56940,
May-83,59090,
Jun-83,56010,
Jul-83,53120,
Aug-83,49650,
Sep-83,47440,
Oct-83,47610,
Nov-83,51560,
Dec-83,56910,
Jan-84,52950,
Feb-84,52570,
Mar-84,53430,
Apr-84,55670,
May-84,55240,
Jun-84,51510,
Jul-84,47510,
Aug-84,43070,
Sep-84,41310,
Oct-84,40880,
Nov-84,41440,
Dec-84,41880,
Jan-85,43260,
Feb-85,43220,
Mar-85,45780,
Apr-85,52860,
May-85,50600,
Jun-85,46510,
Jul-85,43720,
Aug-85,39650,
Sep-85,38650,
Oct-85,38070,
Nov-85,38260,
Dec-85,38680,
Jan-86,39890,
Feb-86,56460,
Mar-86,57340,
Apr-86,55940,
May-86,54990,
Jun-86,50730,
Jul-86,47410,
Aug-86,42400,
Sep-86,40498,
Oct-86,39930,
Nov-86,39620,
Dec-86,39660,
Jan-87,40130,
Feb-87,40980,
Mar-87,41680,
Apr-87,41910,
May-87,39850,
Jun-87,36711,
Jul-87,34106,
