Date,Storage (af),
Oct-67,1000,
Nov-67,39850,
Dec-67,165530,
Jan-68,390150,
Feb-68,1065600,
Mar-68,1485700,
Apr-68,1699400,
May-68,1715300,
Jun-68,1671700,
Jul-68,1644400,
Aug-68,1648600,
Sep-68,1677600,
Oct-68,1705000,
Nov-68,1797700,
Dec-68,2066100,
Jan-69,2785200,
Feb-69,2756600,
Mar-69,2935200,
Apr-69,3013600,
May-69,3334700,
Jun-69,3491500,
Jul-69,3366000,
Aug-69,3030900,
Sep-69,2780300,
Oct-69,2764300,
Nov-69,2796200,
Dec-69,2919700,
Jan-70,2803100,
Feb-70,2789500,
Mar-70,2937700,
Apr-70,3006600,
May-70,3094500,
Jun-70,2991900,
Jul-70,2867000,
Aug-70,2685900,
Sep-70,2541800,
Oct-70,2461300,
Nov-70,2655700,
Dec-70,2795200,
Jan-71,2806100,
Feb-71,3091500,
Mar-71,3247300,
Apr-71,3265500,
May-71,3523400,
Jun-71,3513900,
Jul-71,3352600,
Aug-71,3034600,
Sep-71,2730400,
Oct-71,2730800,
Nov-71,2680600,
Dec-71,2601300,
Jan-72,2719000,
Feb-72,2821800,
Mar-72,3206800,
Apr-72,3424000,
May-72,3463400,
Jun-72,3235300,
Jul-72,3018500,
Aug-72,2766300,
Sep-72,2611500,
Oct-72,2483800,
Nov-72,2638900,
Dec-72,2861200,
Jan-73,2812800,
Feb-73,2875600,
Mar-73,2982400,
Apr-73,3315000,
May-73,3514600,
Jun-73,3389200,
Jul-73,3138700,
Aug-73,2866900,
Sep-73,2728500,
Oct-73,2687400,
Nov-73,2789200,
Dec-73,2811600,
Jan-74,2825700,
Feb-74,2847600,
Mar-74,3326200,
Apr-74,3222700,
May-74,3442100,
Jun-74,3513100,
Jul-74,3184000,
Aug-74,2757700,
Sep-74,2397000,
Oct-74,2072610,
Nov-74,1840100,
Dec-74,1667210,
Jan-75,1662100,
Feb-75,2016100,
Mar-75,2673600,
Apr-75,3127100,
May-75,3385600,
Jun-75,3475900,
Jul-75,3224900,
Aug-75,2983900,
Sep-75,2857500,
Oct-75,2808600,
Nov-75,2751600,
Dec-75,2582700,
Jan-76,2679000,
Feb-76,2751500,
Mar-76,2860000,
Apr-76,2751500,
May-76,2632700,
Jun-76,2422100,
Jul-76,2113300,
Aug-76,1927300,
Sep-76,1827900,
Oct-76,1743300,
Nov-76,1686300,
Dec-76,1627300,
Jan-77,1605900,
Feb-77,1572410,
Mar-77,1564500,
Apr-77,1406800,
May-77,1353400,
Jun-77,1203000,
Jul-77,996900,
Aug-77,891800,
Sep-77,915200,
Oct-77,905300,
Nov-77,917700,
Dec-77,1119920,
Jan-78,2030400,
Feb-78,2525100,
Mar-78,2841600,
Apr-78,3168400,
May-78,3344500,
Jun-78,3330700,
Jul-78,3021900,
Aug-78,2795200,
Sep-78,2744200,
Oct-78,2727900,
Nov-78,2707300,
Dec-78,2653000,
Jan-79,2771600,
Feb-79,2901000,
Mar-79,3059600,
Apr-79,3294400,
May-79,3502100,
Jun-79,3328500,
Jul-79,3037800,
Aug-79,2769200,
Sep-79,2672200,
Oct-79,2700900,
Nov-79,2747100,
Dec-79,2814000,
Jan-80,2735500,
Feb-80,2867800,
Mar-80,2893200,
Apr-80,3174600,
May-80,3344200,
Jun-80,3117800,
Jul-80,2885100,
Aug-80,2660500,
Sep-80,2611200,
Oct-80,2598600,
Nov-80,2619100,
Dec-80,2732400,
Jan-81,2881000,
Feb-81,3086600,
Mar-81,3259700,
Apr-81,3404300,
May-81,3252800,
Jun-81,3111600,
Jul-81,2672900,
Aug-81,2446700,
Sep-81,2354400,
Oct-81,2381800,
Nov-81,2891300,
Dec-81,2861400,
Jan-82,2778100,
Feb-82,2955020,
Mar-82,3009590,
Apr-82,3273600,
May-82,3514600,
Jun-82,3490100,
Jul-82,3318300,
Aug-82,3000200,
Sep-82,2775100,
Oct-82,2743700,
Nov-82,2829700,
Dec-82,2808800,
Jan-83,2804200,
Feb-83,2868800,
Mar-83,2834600,
Apr-83,2935300,
May-83,3309400,
Jun-83,3491300,
Jul-83,3280300,
Aug-83,3036100,
Sep-83,2818300,
Oct-83,2731800,
Nov-83,2837700,
Dec-83,2830800,
Jan-84,2754100,
Feb-84,2887500,
Mar-84,3092200,
Apr-84,3321400,
May-84,3363600,
Jun-84,3234100,
Jul-84,2860700,
Aug-84,2633100,
Sep-84,2529300,
Oct-84,2538300,
Nov-84,2699100,
Dec-84,2672700,
Jan-85,2718000,
Feb-85,2829700,
Mar-85,3002000,
Apr-85,3263300,
May-85,3064200,
Jun-85,2718000,
Jul-85,2413900,
Aug-85,2171300,
Sep-85,2132400,
Oct-85,2065500,
Nov-85,2007700,
Dec-85,2097900,
Jan-86,2429300,
Feb-86,2910900,
Mar-86,2880300,
Apr-86,3193300,
May-86,3287500,
Jun-86,3259800,
Jul-86,2945400,
Aug-86,2757000,
Sep-86,2660900,
Oct-86,2593800,
Nov-86,2607400,
Dec-86,2564100,
Jan-87,2584100,
Feb-87,2743700,
Mar-87,3078000,
Apr-87,3077900,
May-87,2928400,
Jun-87,2661900,
Jul-87,2290153,
Aug-87,2052510,
Sep-87,1978538,
Oct-87,1976965,
Nov-87,2069358,
Dec-87,2388007,
Jan-88,2649289,
Feb-88,2701689,
Mar-88,2661680,
Apr-88,2552740,
May-88,2478918,
Jun-88,2238794,
Jul-88,1867685,
Aug-88,1645221,
Sep-88,1528900,
Oct-88,1506898,
Nov-88,1605991,
Dec-88,1660266,
Jan-89,1699766,
Feb-89,1716489,
Mar-89,2867122,
Apr-89,3343930,
May-89,3278807,
Jun-89,3092775,
Jul-89,2628087,
Aug-89,2283529,
Sep-89,2150283,
Oct-89,2145723,
Nov-89,2125012,
Dec-89,1888799,
Jan-90,1895501,
Feb-90,1935355,
Mar-90,2091865,
Apr-90,1871358,
May-90,1727608,
Jun-90,1692620,
Jul-90,1446234,
Aug-90,1187386,
Sep-90,1163259,
Oct-90,1173203,
Nov-90,1155535,
Dec-90,987094,
Jan-91,921058,
Feb-91,937977,
Mar-91,1320262,
Apr-91,1599577,
May-91,1684654,
Jun-91,1570271,
Jul-91,1449685,
Aug-91,1388101,
Sep-91,1399251,
Oct-91,1353409,
Nov-91,1331087,
Dec-91,1265734,
Jan-92,1277365,
Feb-92,1535990,
Mar-92,1775113,
Apr-92,2017514,
May-92,1879385,
Jun-92,1746733,
Jul-92,1562893,
Aug-92,1406168,
Sep-92,1316867,
Oct-92,1305700,
Nov-92,1294128,
Dec-92,1402048,
Jan-93,2001921,
Feb-93,2509679,
Mar-93,2935879,
Apr-93,3273870,
May-93,3515972,
Jun-93,3487573,
Jul-93,3118405,
Aug-93,2710315,
Sep-93,2665948,
Oct-93,2657674,
Nov-93,2627062,
Dec-93,2429938,
Jan-94,2410233,
Feb-94,2488895,
Mar-94,2624062,
Apr-94,2636169,
May-94,2532082,
Jun-94,2316197,
Jul-94,2024329,
Aug-94,1806248,
Sep-94,1683158,
Oct-94,1585818,
Nov-94,1567602,
Dec-94,1668244,
Jan-95,2708222,
Feb-95,2641052,
Mar-95,2773891,
Apr-95,3159172,
May-95,3452965,
Jun-95,3512826,
Jul-95,3428021,
Aug-95,3181820,
Sep-95,2897173,
Oct-95,2800576,
Nov-95,2775753,
Dec-95,2702081,
Jan-96,2750028,
Feb-96,2729463,
Mar-96,2985016,
Apr-96,3243172,
May-96,3504341,
Jun-96,3441019,
Jul-96,3052191,
Aug-96,2743821,
Sep-96,2735516,
Oct-96,2683587,
Nov-96,2715028,
Dec-96,2929103,
Jan-97,2860051,
Feb-97,2675667,
Mar-97,2962255,
Apr-97,3222432,
May-97,3187389,
Jun-97,2970340,
Jul-97,2441723,
Aug-97,2201798,
Sep-97,2139728,
Oct-97,2032123,
Nov-97,2061894,
Dec-97,2224172,
Jan-98,2654963,
Feb-98,2713849,
Mar-98,2812374,
Apr-98,3025675,
May-98,3301917,
Jun-98,3524003,
Jul-98,3340440,
Aug-98,3059166,
Sep-98,2831485,
Oct-98,2721845,
Nov-98,2889913,
Dec-98,2687877,
Jan-99,2767779,
Feb-99,2791483,
Mar-99,2941141,
Apr-99,3246589,
May-99,3454519,
Jun-99,3419375,
Jul-99,2865217,
Aug-99,2577812,
Sep-99,2427271,
Oct-99,2294809,
Nov-99,2287827,
Dec-99,2186332,
Jan-00,2345401,
Feb-00,2765788,
Mar-00,2838641,
Apr-00,3107588,
May-00,3127657,
Jun-00,2874068,
Jul-00,2413006,
Aug-00,2033621,
Sep-00,1919813,
Oct-00,1834794,
Nov-00,1761851,
Dec-00,1724943,
Jan-01,1737247,
Feb-01,1842156,
Mar-01,2048313,r
Apr-01,2188360,
May-01,2118837,
Jun-01,1918269,
Jul-01,1730944,r
Aug-01,1539412,
Sep-01,1487684,
Oct-01,1433405,r
Nov-01,1416920,
Dec-01,1595882,r
Jan-02,1915916,
Feb-02,2120160,
Mar-02,2414816,
Apr-02,2659095,r
May-02,2639503,
Jun-02,2353690,r
Jul-02,1883126,
Aug-02,1539412,
Sep-02,1399662,
Oct-02,1280304,
Nov-02,1227434,r
Dec-02,1624336,r
Jan-03,2153511,r
Feb-03,2259701,
Mar-03,2634628,r
Apr-03,3073436,r
May-03,3512826,r
Jun-03,3461356,r
Jul-03,2850416,r
Aug-03,2458192,r
Sep-03,2283761,
Oct-03,2185994,
Nov-03,2072284,
Dec-03,2248197,
Jan-04,2458925,
Feb-04,2862905,
Mar-04,3066010,
Apr-04,3048779,
May-04,3041820,
Jun-04,2757705,
Jul-04,2265364,
Aug-04,1885961,
Sep-04,1752980,
Oct-04,1665639,
Nov-04,1604002,
Dec-04,1644209,
Jan-05,1814709,
Feb-05,2023476,r
Mar-05,2457576,
Apr-05,2841886,
May-05,3495082,
Jun-05,3480532,
Jul-05,3255959,
Aug-05,3032324,
Sep-05,2877345,
Oct-05,2740131,
Nov-05,2615801,
Dec-05,2924550,
Jan-06,2790281,
Feb-06,3007906,
Mar-06,2898959,
Apr-06,3136502,
May-06,3479595,
Jun-06,3476472,
Jul-06,3258938,
Aug-06,3014386,
Sep-06,2832969,
Oct-06,2759691,
Nov-06,2679694,
Dec-06,2792688,
Jan-07,2794559,
Feb-07,3009314,
Mar-07,3123325,
Apr-07,3077733,
May-07,2965185,
Jun-07,2643746,
Jul-07,2194341,
Aug-07,1823397,
Sep-07,1568222,
Oct-07,1446394,
Nov-07,1275358,
Dec-07,1227133,
Jan-08,1329605,
Feb-08,1449003,
Mar-08,1676803,
Apr-08,1707115,
May-08,1765513,
Jun-08,1521481,
Jul-08,1296076,
Aug-08,1127759,
Sep-08,1097190,
Oct-08,1029201,
Nov-08,999087,
Dec-08,981102,
Jan-09,1020262,
Feb-09,1360571,
Mar-09,1977695,
Apr-09,2055092,
May-09,2282265,
Jun-09,2057141,
Jul-09,1553150,
Aug-09,1383116,
Sep-09,1336524,
Oct-09,1290389,
Nov-09,1136561,
Dec-09,1029538,
Jan-10,1190456,
Feb-10,1385646,
Mar-10,1650006,
Apr-10,2113554,
May-10,2493582,
Jun-10,2719225,
Jul-10,2408098,
Aug-10,2040149,
Sep-10,1755185,
Oct-10,1701643,
Nov-10,1637776,
Dec-10,2180485,
Jan-11,2439164,
Feb-11,2684110,
Mar-11,2839996,
Apr-11,3305375,
May-11,3399667,
Jun-11,3515021,
Jul-11,3499471,
Aug-11,3308537,
Sep-11,3044665,
Oct-11,2895802,
Nov-11,2806607,
Dec-11,2545085,
Jan-12,2544960,
Feb-12,2519738,
Mar-12,2942669,
Apr-12,3422147,
May-12,3499941,
Jun-12,3225696,
Jul-12,2672806,
Aug-12,2229540,
Sep-12,1977171,
Oct-12,1826464,
Nov-12,1861555,
Dec-12,2524968,
Jan-13,2691914,
Feb-13,2848116,
Mar-13,2981941,
Apr-13,3040407,
May-13,2812109,
Jun-13,2557762,
Jul-13,2143724,
Aug-13,1783469,
Sep-13,1633287,
Oct-13,1528375,
Nov-13,1391616,
Dec-13,1285882,
Jan-14,1262049,
Feb-14,1406989,
Mar-14,1716103,
Apr-14,1876552,
May-14,1734181,
Jun-14,1511388,
Jul-14,1252662,
Aug-14,1100386,
Sep-14,1075879,
Oct-14,953720,
Nov-14,910446,
Dec-14,1346988,
Jan-15,1443957,
Feb-15,1735519,
Mar-15,1793611,
Apr-15,1782496,
May-15,1565377,
Jun-15,1395387,
Jul-15,1161959,
Aug-15,1072117,
Sep-15,1057227,
Oct-15,1006530,
Nov-15,929152,
Dec-15,1016837,
Jan-16,1534234,
Feb-16,1864669,
Mar-16,3059742,
Apr-16,3399820,
May-16,3307333,
Jun-16,2957945,
Jul-16,2333733,
Aug-16,1839567,
Sep-16,1618960,
Oct-16,1559166,
Nov-16,1485786,
Dec-16,1981577,
Jan-17,2841754,
Feb-17,2706003,
Mar-17,2681122,
Apr-17,2621552,
May-17,2465532,
Jun-17,2331494,
Jul-17,2111246,
Aug-17,1704000,
Sep-17,1331591,
Oct-17,1217912,r
Nov-17,1268268,
Dec-17,1230752,
Jan-18,1408227,
Feb-18,1460064,
Mar-18,2093173,
Apr-18,2432967,
May-18,2409544,
Jun-18,2253033,
,,
