Area,Elevation,Capacity
(acres),(feet),(af)
"3,074",520,"328,458"
"3,258",530,"360,109"
"3,454",540,"393,661"
"3,659",550,"429,216"
"3,875",560,"466,879"
"4,100",570,"506,733"
"4,323",580,"548,836"
"4,554",590,"593,213"
"4,795",600,"639,950"
"5,044",610,"689,134"
"5,302",620,"740,852"
"5,565",630,"795,177"
"5,839",640,"852,196"
"6,117",650,"911,974"
"6,400",660,"974,559"
"6,689",670,"1,040,005"
"6,993",680,"1,108,409"
"7,309",690,"1,179,914"
"7,634",700,"1,254,632"
"7,951",710,"1,332,547"
"8,279",720,"1,413,689"
"8,620",730,"1,498,174"
"8,967",740,"1,586,087"
"9,328",750,"1,677,554"
"9,689",760,"1,772,690"
"10,074",770,"1,871,515"
"10,472",780,"1,974,241"
"10,874",790,"2,080,970"
"11,281",800,"2,191,742"
"11,691",810,"2,306,596"
"12,113",820,"2,425,574"
"12,543",830,"2,548,850"
"12,969",840,"2,676,447"
"13,413",850,"2,808,348"
"13,868",860,"2,944,745"
"14,334",870,"3,085,746"
"14,813",880,"3,231,454"
"15,305",890,"3,382,038"
"15,801",900,"3,537,577"
"16,344",910,"3,698,295"
"16,731",917,"3,814,054"
