Date,Elevation
1/1/90,4992.09
1/2/90,4992.03
1/3/90,4991.99
1/4/90,4991.94
1/5/90,4991.99
1/6/90,4991.95
1/7/90,4992.03
1/8/90,4992.14
1/9/90,4992.19
1/10/90,4992.21
1/11/90,4992.22
1/12/90,4992.28
1/13/90,4992.34
1/14/90,4992.37
1/15/90,4992.38
1/16/90,4992.41
1/17/90,4992.42
1/18/90,4992.41
1/19/90,4992.39
1/20/90,4992.39
1/21/90,4992.39
1/22/90,4992.38
1/23/90,4992.37
1/24/90,4992.37
1/25/90,4992.36
1/26/90,4992.34
1/27/90,4992.34
1/28/90,4992.34
1/29/90,4992.31
1/30/90,4992.37
1/31/90,4992.37
2/1/90,4992.34
2/2/90,4992.34
2/3/90,4992.42
2/4/90,4992.42
2/5/90,4992.42
2/6/90,4992.43
2/7/90,4992.42
2/8/90,4992.41
2/9/90,4990.43
2/10/90,4992.41
2/11/90,4992.4
2/12/90,4992.4
2/13/90,4992.39
2/14/90,4992.35
2/15/90,4992.36
2/16/90,4992.52
2/17/90,4992.54
2/18/90,4992.52
2/19/90,4992.51
2/20/90,4992.5
2/21/90,4992.52
2/22/90,4992.51
2/23/90,4992.52
2/24/90,4992.54
2/25/90,4992.54
2/26/90,4992.55
2/27/90,4992.58
2/28/90,4992.61
3/1/90,4992.62
3/2/90,4992.65
3/3/90,4992.72
3/4/90,4992.81
3/5/90,4992.91
3/6/90,4992.93
3/7/90,4992.98
3/8/90,4993.07
3/9/90,4993.13
3/10/90,4993.2
3/11/90,4993.28
3/12/90,4993.32
3/13/90,4993.34
3/14/90,4993.36
3/15/90,4993.39
3/16/90,4993.43
3/17/90,4993.51
3/18/90,4993.61
3/19/90,4993.73
3/20/90,4993.81
3/21/90,4993.95
3/22/90,4994.21
3/23/90,4994.47
3/24/90,4994.67
3/25/90,4994.88
3/26/90,4995.06
3/27/90,4995.21
3/28/90,4995.39
3/29/90,4995.5
3/30/90,4995.63
3/31/90,4995.76
4/1/90,4995.9
4/2/90,4996.06
4/3/90,4996.23
4/4/90,4996.4
4/5/90,4996.61
4/6/90,4996.78
4/7/90,4996.96
4/8/90,4997.11
4/9/90,4997.24
4/10/90,4997.38
4/11/90,4997.49
4/12/90,4997.65
4/13/90,4997.77
4/14/90,4997.87
4/15/90,4997.97
4/16/90,4998.05
4/17/90,4998.12
4/18/90,4998.2
4/19/90,4998.27
4/20/90,4998.33
4/21/90,4998.38
4/22/90,4998.43
4/23/90,4998.6
4/24/90,4998.7
4/25/90,4998.77
4/26/90,4998.81
4/27/90,4998.87
4/28/90,4998.87
4/29/90,4998.89
4/30/90,4998.88
5/1/90,4998.9
5/2/90,4998.92
5/3/90,4998.91
5/4/90,4998.94
5/5/90,4998.94
5/6/90,4998.93
5/7/90,4998.9
5/8/90,4998.87
5/9/90,4998.86
5/10/90,4998.86
5/11/90,4998.84
5/12/90,4998.83
5/13/90,4998.82
5/14/90,4998.81
5/15/90,4998.82
5/16/90,4998.8
5/17/90,4998.78
5/18/90,4998.75
5/19/90,4998.72
5/20/90,4998.78
5/21/90,4998.77
5/22/90,4998.77
5/23/90,4998.81
5/24/90,4998.83
5/25/90,4998.85
5/26/90,4998.85
5/27/90,4998.86
5/28/90,4998.89
5/29/90,4998.91
5/30/90,4999.04
5/31/90,4999.17
6/1/90,4999.26
6/2/90,4999.36
6/3/90,4999.43
6/4/90,4999.49
6/5/90,4999.51
6/6/90,4999.55
6/7/90,4999.58
6/8/90,4999.58
6/9/90,4999.57
6/10/90,4999.55
6/11/90,4999.54
6/12/90,4999.52
6/13/90,4999.5
6/14/90,4999.49
6/15/90,4999.48
6/16/90,4999.77
6/17/90,4999.45
6/18/90,4999.44
6/19/90,4999.44
6/20/90,4999.43
6/21/90,4999.41
6/22/90,4999.37
6/23/90,4999.35
6/24/90,4999.31
6/25/90,4999.27
6/26/90,4999.23
6/27/90,4999.19
6/28/90,4999.19
6/29/90,4999.16
6/30/90,4999.12
7/1/90,4999.08
7/2/90,4999.03
7/3/90,4999
7/4/90,4998.95
7/5/90,4998.9
7/6/90,4998.87
7/7/90,4998.84
7/8/90,4998.8
7/9/90,4998.77
7/10/90,4998.72
7/11/90,4998.7
7/12/90,4998.66
7/13/90,4998.63
7/14/90,4998.6
7/15/90,4998.56
7/16/90,4998.53
7/17/90,4998.48
7/18/90,4998.46
7/19/90,4998.41
7/20/90,4998.38
7/21/90,4998.34
7/22/90,4998.3
7/23/90,4998.24
7/24/90,4998.2
7/25/90,4998.15
7/26/90,4998.1
7/27/90,4998.06
7/28/90,4998.03
7/29/90,4997.99
7/30/90,4997.94
7/31/90,4997.89
8/1/90,4997.85
8/2/90,4997.82
8/3/90,4997.78
8/4/90,4997.74
8/5/90,4997.7
8/6/90,4997.66
8/7/90,4997.66
8/8/90,4997.58
8/9/90,4997.55
8/10/90,4997.51
8/11/90,4997.46
8/12/90,4997.43
8/13/90,4997.38
8/14/90,4997.34
8/15/90,4997.3
8/16/90,4997.23
8/17/90,4997.18
8/18/90,4997.12
8/19/90,4997.1
8/20/90,4997.06
8/21/90,4997.02
8/22/90,4996.99
8/23/90,4996.96
8/24/90,4996.9
8/25/90,4996.85
8/26/90,4996.82
8/27/90,4996.78
8/28/90,4996.74
8/29/90,4996.7
8/30/90,4996.66
8/31/90,4996.62
9/1/90,4996.59
9/2/90,4996.53
9/3/90,4996.5
9/4/90,4996.45
9/5/90,4996.41
9/6/90,4996.37
9/7/90,4996.33
9/8/90,4996.32
9/9/90,4996.27
9/10/90,4996.23
9/11/90,4996.19
9/12/90,4996.16
9/13/90,4996.13
9/14/90,4996.09
9/15/90,4996.05
9/16/90,4996.01
9/17/90,4996
9/18/90,4995.96
9/19/90,4995.92
9/20/90,4995.87
9/21/90,4995.84
9/22/90,4995.8
9/23/90,4995.76
9/24/90,4995.74
9/25/90,4995.73
9/26/90,4995.72
9/27/90,4995.69
9/28/90,4995.68
9/29/90,4995.65
9/30/90,4995.63
10/1/90,4995.6
10/2/90,4995.56
10/3/90,4995.52
10/4/90,4995.48
10/5/90,4995.45
10/6/90,4995.4
10/7/90,4995.35
10/8/90,4995.32
10/9/90,4995.27
10/10/90,4995.25
10/11/90,4995.22
10/12/90,4995.18
10/13/90,4995.15
10/14/90,4995.12
10/15/90,4995.08
10/16/90,4995.05
10/17/90,4995.02
10/18/90,4994.99
10/19/90,4994.96
10/20/90,4994.95
10/21/90,4994.93
10/22/90,4994.91
10/23/90,4994.86
10/24/90,4994.87
10/25/90,4994.85
10/26/90,4994.82
10/27/90,4994.76
10/28/90,4994.73
10/29/90,4994.7
10/30/90,4994.67
10/31/90,4994.67
11/1/90,4994.63
11/2/90,4994.6
11/3/90,4994.58
11/4/90,4994.57
11/5/90,4994.53
11/6/90,4994.49
11/7/90,4994.47
11/8/90,4994.46
11/9/90,4994.46
11/10/90,4994.4
11/11/90,4994.37
11/12/90,4994.35
11/13/90,4994.33
11/14/90,4994.3
11/15/90,4994.27
11/16/90,4994.25
11/17/90,4994.25
11/18/90,4994.22
11/19/90,4994.21
11/20/90,4994.18
11/21/90,4994.16
11/22/90,4994.14
11/23/90,4994.12
11/24/90,4994.1
11/25/90,4994.13
11/26/90,4994.11
11/27/90,4994.09
11/28/90,4994.07
11/29/90,4994.07
11/30/90,4994.05
12/1/90,4994
12/2/90,4993.96
12/3/90,4993.95
12/4/90,4993.93
12/5/90,4993.9
12/6/90,4993.88
12/7/90,4993.86
12/8/90,4993.84
12/9/90,4993.82
12/10/90,4993.81
12/11/90,4993.8
12/12/90,4993.78
12/13/90,4993.79
12/14/90,4993.77
12/15/90,4993.75
12/16/90,4993.74
12/17/90,4993.7
12/18/90,4993.7
12/19/90,4993.73
12/20/90,4993.68
12/21/90,4993.66
12/22/90,4993.64
