Date,Elevation
1/1/90,5765.33
1/2/90,5765.34
1/3/90,5765.33
1/4/90,5765.31
1/5/90,5765.33
1/6/90,5765.3
1/7/90,5765.33
1/8/90,5765.39
1/9/90,5765.39
1/10/90,5765.39
1/11/90,5765.39
1/12/90,5765.42
1/13/90,5765.49
1/14/90,5765.52
1/15/90,5765.52
1/16/90,5765.53
1/17/90,5765.54
1/18/90,5765.54
1/19/90,5765.54
1/20/90,5765.53
1/21/90,5765.52
1/22/90,5765.52
1/23/90,5765.51
1/24/90,5765.5
1/25/90,5765.45
1/26/90,5765.4
1/27/90,5764.54
1/28/90,5764.11
1/29/90,5765.43
1/30/90,5765.48
1/31/90,5765.48
2/1/90,5765.49
2/2/90,5765.48
2/3/90,5765.55
2/4/90,5765.57
2/5/90,5765.56
2/6/90,5765.57
2/7/90,5765.57
2/8/90,5765.56
2/9/90,5765.55
2/10/90,5765.54
2/11/90,5765.53
2/12/90,5765.51
2/13/90,5765.51
2/14/90,5765.5
2/15/90,5765.49
2/16/90,5765.67
2/17/90,5765.67
2/18/90,5765.67
2/19/90,5765.74
2/20/90,5765.74
2/21/90,5765.73
2/22/90,5765.73
2/23/90,5765.72
2/24/90,5765.72
2/25/90,5765.71
2/26/90,5765.73
2/27/90,5765.73
2/28/90,5765.73
3/1/90,5765.74
3/2/90,5765.74
3/3/90,5765.75
3/4/90,5765.76
3/5/90,5765.77
3/6/90,5765.77
3/7/90,5765.78
3/8/90,5765.79
3/9/90,5765.79
3/10/90,5765.86
3/11/90,5765.87
3/12/90,5765.91
3/13/90,5765.92
3/14/90,5765.93
3/15/90,5765.93
3/16/90,5765.94
3/17/90,5765.94
3/18/90,5765.98
3/19/90,5766.02
3/20/90,5766.07
3/21/90,5766.14
3/22/90,5766.23
3/23/90,5766.31
3/24/90,5766.39
3/25/90,5766.48
3/26/90,5766.55
3/27/90,5766.62
3/28/90,5766.67
3/29/90,5766.71
3/30/90,5766.74
3/31/90,5766.77
4/1/90,5766.79
4/2/90,5766.83
4/3/90,5766.86
4/4/90,5766.91
4/5/90,5766.93
4/6/90,5766.95
4/7/90,5766.98
4/8/90,5767
4/9/90,5767
4/10/90,5767.01
4/11/90,5767.02
4/12/90,5767.03
4/13/90,5767.04
4/14/90,5767.04
4/15/90,5767.04
4/16/90,5767.05
4/17/90,5767.05
4/18/90,5767.05
4/19/90,5767.05
4/20/90,5767.05
4/21/90,5767.06
4/22/90,5767.07
4/23/90,5767.15
4/24/90,5767.17
4/25/90,5767.17
4/26/90,5767.16
4/27/90,5767.14
4/28/90,5767.14
4/29/90,5767.11
4/30/90,5767.08
5/1/90,5767.07
5/2/90,5767.06
5/3/90,5767.04
5/4/90,5767.03
5/5/90,5767.02
5/6/90,5766.98
5/7/90,5766.96
5/8/90,5766.93
5/9/90,5766.9
5/10/90,5766.9
5/11/90,5766.87
5/12/90,5766.86
5/13/90,5766.83
5/14/90,5766.81
5/15/90,5766.8
5/16/90,5766.76
5/17/90,5766.74
5/18/90,5766.71
5/19/90,5766.68
5/20/90,5766.68
5/21/90,5766.67
5/22/90,5766.64
5/23/90,5766.68
5/24/90,5766.68
5/25/90,5766.67
5/26/90,5766.66
5/27/90,5766.65
5/28/90,5766.66
5/29/90,5766.65
5/30/90,5766.76
5/31/90,5766.84
6/1/90,5766.85
6/2/90,5766.86
6/3/90,5766.85
6/4/90,5766.85
6/5/90,5766.84
6/6/90,5766.81
6/7/90,5766.81
6/8/90,5766.8
6/9/90,5766.77
6/10/90,5766.73
6/11/90,5766.7
6/12/90,5766.67
6/13/90,5766.65
6/14/90,5766.64
6/15/90,5766.62
6/16/90,5766.6
6/17/90,5766.58
6/18/90,5766.56
6/19/90,5766.54
6/20/90,5766.53
6/21/90,5766.51
6/22/90,5766.47
6/23/90,5766.45
6/24/90,5766.42
6/25/90,5766.4
6/26/90,5766.35
6/27/90,5766.32
6/28/90,5766.31
6/29/90,5766.27
6/30/90,5766.24
7/1/90,5766.2
7/2/90,5766.18
7/3/90,5766.14
7/4/90,5766.1
7/5/90,5766.06
7/6/90,5766.05
7/7/90,5766.03
7/8/90,5766.01
7/9/90,5765.99
7/10/90,5765.94
7/11/90,5765.93
7/12/90,5765.89
7/13/90,5765.89
7/14/90,5765.88
7/15/90,5765.87
7/16/90,5765.84
7/17/90,5765.83
7/18/90,5765.8
7/19/90,5765.8
7/20/90,5765.77
7/21/90,5765.74
7/22/90,5765.71
7/23/90,5765.67
7/24/90,5765.64
7/25/90,5765.59
7/26/90,5765.58
7/27/90,5765.55
7/28/90,5765.52
7/29/90,5765.5
7/30/90,5765.47
7/31/90,5765.44
8/1/90,5765.42
8/2/90,5765.39
8/3/90,5765.36
8/4/90,5765.33
8/5/90,5765.3
8/6/90,5765.27
8/7/90,5765.27
8/8/90,5765.24
8/9/90,5765.23
8/10/90,5765.2
8/11/90,5765.17
8/12/90,5765.16
8/13/90,5765.12
8/14/90,5765.1
8/15/90,5765.06
8/16/90,5765.01
8/17/90,5764.98
8/18/90,5764.95
8/19/90,5764.94
8/20/90,5764.94
8/21/90,5764.92
8/22/90,5764.9
8/23/90,5764.87
8/24/90,5764.83
8/25/90,5764.81
8/26/90,5764.78
8/27/90,5764.75
8/28/90,5764.73
8/29/90,5764.7
8/30/90,5764.69
8/31/90,5764.67
9/1/90,5764.64
9/2/90,5764.62
9/3/90,5764.59
9/4/90,5764.56
9/5/90,5764.53
9/6/90,5764.52
9/7/90,5764.5
9/8/90,5764.49
9/9/90,5764.46
9/10/90,5764.43
9/11/90,5764.4
9/12/90,5764.38
9/13/90,5764.36
9/14/90,5764.29
9/15/90,5764.28
9/16/90,5764.27
9/17/90,5764.24
