Date,Elevation
1/1/90,5563.31
1/2/90,5563.3
1/3/90,5563.31
1/4/90,5563.28
1/5/90,5563.31
1/6/90,5563.28
1/7/90,5563.3
1/8/90,5563.42
1/9/90,5563.44
1/10/90,5563.46
1/11/90,5563.47
1/12/90,5563.44
1/13/90,5563.51
1/14/90,5563.53
1/15/90,5563.54
1/16/90,5563.58
1/17/90,5563.58
1/18/90,5563.59
1/19/90,5563.56
1/20/90,5563.57
1/21/90,5563.59
1/22/90,5563.6
1/23/90,5563.59
1/24/90,5563.61
1/25/90,5563.61
1/26/90,5563.58
1/27/90,5563.61
1/28/90,5563.58
1/29/90,5563.6
1/30/90,5563.64
1/31/90,5563.63
2/1/90,5563.65
2/2/90,5563.65
2/3/90,5563.65
2/4/90,5563.67
2/5/90,5563.69
2/6/90,5563.7
2/7/90,5563.72
2/8/90,5563.74
2/9/90,5563.76
2/10/90,5563.77
2/11/90,5563.79
2/12/90,5563.81
2/13/90,5563.83
2/14/90,5563.85
2/15/90,5563.86
2/16/90,5563.88
2/17/90,5563.9
2/18/90,5563.92
2/19/90,5563.93
2/20/90,5563.95
2/21/90,5563.97
2/22/90,5563.99
2/23/90,5564.01
2/24/90,5564.02
2/25/90,5564.04
2/26/90,5564.06
2/27/90,5564.09
2/28/90,5564.13
3/1/90,5564.14
3/2/90,5564.21
3/3/90,5564.26
3/4/90,5564.31
3/5/90,5564.41
3/6/90,5564.42
3/7/90,5564.49
3/8/90,5564.58
3/9/90,5564.67
3/10/90,5564.74
3/11/90,5564.76
3/12/90,5564.8
3/13/90,5564.83
3/14/90,5564.88
3/15/90,5564.92
3/16/90,5564.91
3/17/90,5564.98
3/18/90,5565.16
3/19/90,5561.16
3/20/90,5565.45
3/21/90,5565.55
3/22/90,5565.64
3/23/90,5565.7
3/24/90,5565.78
3/25/90,5569.85
3/26/90,5565.91
3/27/90,5565.94
3/28/90,5565.98
3/29/90,5566.05
3/30/90,5566.09
3/31/90,5566.1
4/1/90,5566.15
4/2/90,5566.18
4/3/90,5566.23
4/4/90,5566.27
4/5/90,5566.31
4/6/90,5566.35
4/7/90,5566.41
4/8/90,5566.44
4/9/90,5566.48
4/10/90,5566.51
4/11/90,5566.53
4/12/90,5566.56
4/13/90,5566.58
4/14/90,5566.6
4/15/90,5566.63
4/16/90,5566.64
4/17/90,5566.67
4/18/90,5566.7
4/19/90,5566.7
