Date,Elevation
1/1/90,771.18
1/2/90,769.29
1/3/90,767.48
1/4/90,765.63
1/5/90,763.83
1/6/90,763.43
1/7/90,764.01
1/8/90,764.15
1/9/90,764.2
1/10/90,764.33
1/11/90,764.48
1/12/90,765.21
1/13/90,767.43
1/14/90,769.75
1/15/90,770.34
1/16/90,771.07
1/17/90,771.06
1/18/90,770.58
1/19/90,770.29
1/20/90,770.78
1/21/90,771.57
1/22/90,771.61
1/23/90,770.93
1/24/90,770.65
1/25/90,770.65
1/26/90,770.62
1/27/90,771.03
1/28/90,771.95
1/29/90,772.06
1/30/90,772.4
1/31/90,772.37
2/1/90,772.04
2/2/90,771.64
2/3/90,771.77
2/4/90,772.93
2/5/90,772.88
2/6/90,772.75
2/7/90,772.83
2/8/90,772.5
2/9/90,772.28
2/10/90,772.54
2/11/90,773.93
2/12/90,774.05
2/13/90,773.8
2/14/90,773.18
2/15/90,772.68
2/16/90,772.5
2/17/90,772.74
2/18/90,774.35
2/19/90,774.12
2/20/90,773.99
2/21/90,774.13
2/22/90,774.43
2/23/90,774.81
2/24/90,775.15
2/25/90,776.65
2/26/90,776.44
2/27/90,776.34
2/28/90,776.26
3/1/90,776.24
3/2/90,776.68
3/3/90,778.24
3/4/90,780.49
3/5/90,781.5
3/6/90,781.92
3/7/90,782.24
3/8/90,782.41
3/9/90,782.35
3/10/90,783.46
3/11/90,785.05
3/12/90,785.42
3/13/90,785.6
3/14/90,785.66
3/15/90,785.84
3/16/90,785.83
3/17/90,786.63
3/18/90,788.17
3/19/90,788.45
3/20/90,788.77
3/21/90,789.21
3/22/90,789.74
3/23/90,789.53
3/24/90,790.56
3/25/90,791.65
3/26/90,791.92
3/27/90,791.87
3/28/90,791.97
3/29/90,791.74
3/30/90,790.6
3/31/90,791
4/1/90,791.47
4/2/90,790.47
4/3/90,789.63
4/4/90,788.94
4/5/90,787.84
4/6/90,786.84
4/7/90,785.83
4/8/90,786.42
4/9/90,785.2
4/10/90,783.92
4/11/90,782.26
4/12/90,780.58
4/13/90,779.06
4/14/90,779.5
4/15/90,779.79
4/16/90,778.3
4/17/90,776.83
4/18/90,775.48
4/19/90,774.2
4/20/90,772.84
4/21/90,771.46
4/22/90,772.03
4/23/90,771.09
4/24/90,770.32
4/25/90,769.5
4/26/90,768.53
4/27/90,767.21
4/28/90,766.64
4/29/90,767.11
4/30/90,766.99
5/1/90,766.62
5/2/90,765.6
5/3/90,764.3
5/4/90,763.23
5/5/90,763.13
5/6/90,763.4
5/7/90,762.43
5/8/90,761.21
5/9/90,759.93
5/10/90,758.83
5/11/90,757.51
5/12/90,757.32
5/13/90,757.8
5/14/90,756.52
5/15/90,754.9
5/16/90,753.13
5/17/90,751.13
5/18/90,749.32
5/19/90,749.5
5/20/90,750.23
5/21/90,749.31
5/22/90,748.81
5/23/90,748.61
5/24/90,748.5
5/25/90,748.03
5/26/90,748.51
5/27/90,751.32
5/28/90,754.02
5/29/90,754.08
5/30/90,753.71
5/31/90,755.31
6/1/90,756.23
6/2/90,757.58
6/3/90,758.59
6/4/90,759.1
6/5/90,759.01
6/6/90,759.6
6/7/90,759.68
6/8/90,759.41
6/9/90,759.91
6/10/90,760.43
6/11/90,760
6/12/90,759.72
6/13/90,759.58
6/14/90,759.38
6/15/90,758.58
6/16/90,758.68
6/17/90,759.01
6/18/90,758.03
6/19/90,757.22
6/20/90,756.43
6/21/90,755.61
6/22/90,754.83
6/23/90,755.41
6/24/90,755.93
6/25/90,754.81
6/26/90,753.7
6/27/90,752.81
6/28/90,752.11
6/29/90,751.62
6/30/90,751.61
7/1/90,751.42
7/2/90,750.42
7/3/90,749.61
7/4/90,749.69
7/5/90,748.53
7/6/90,747.4
7/7/90,747.4
7/8/90,747.18
7/9/90,745.78
7/10/90,744.82
7/11/90,743.6
7/12/90,742.59
7/13/90,741.49
7/14/90,741.32
7/15/90,741.83
7/16/90,740.61
7/17/90,739.41
7/18/90,738.42
7/19/90,737.2
7/20/90,736.21
7/21/90,735.3
7/22/90,734.52
7/23/90,733.09
7/24/90,731.5
7/25/90,730.12
7/26/90,728.72
7/27/90,727.33
7/28/90,726.8
7/29/90,726.59
7/30/90,725.31
7/31/90,723.9
8/1/90,723.12
8/2/90,722.02
8/3/90,720.6
8/4/90,720.12
8/5/90,719.82
8/6/90,718.31
8/7/90,716.59
8/8/90,715.02
8/9/90,713.21
8/10/90,711.43
8/11/90,709.7
8/12/90,707.79
8/13/90,706.63
8/14/90,704.8
8/15/90,703.12
