# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-07-23 14:37:33 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11396200 SF FEATHER R BL FORBESTOWN DAM CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11396200
#            TS   parameter     statistic     Description
#        217860       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	217860_00060_00003	217860_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11396200	1991-01-01	5.70	A
USGS	11396200	1991-01-02	5.90	A
USGS	11396200	1991-01-03	5.70	A
USGS	11396200	1991-01-04	5.80	A
USGS	11396200	1991-01-05	5.80	A
USGS	11396200	1991-01-06	5.90	A
USGS	11396200	1991-01-07	5.70	A
USGS	11396200	1991-01-08	5.70	A
USGS	11396200	1991-01-09	5.80	A
USGS	11396200	1991-01-10	5.80	A
USGS	11396200	1991-01-11	5.80	A
USGS	11396200	1991-01-12	5.70	A
USGS	11396200	1991-01-13	5.70	A
USGS	11396200	1991-01-14	5.70	A
USGS	11396200	1991-01-15	5.80	A
USGS	11396200	1991-01-16	5.80	A
USGS	11396200	1991-01-17	5.70	A
USGS	11396200	1991-01-18	5.80	A
USGS	11396200	1991-01-19	5.90	A
USGS	11396200	1991-01-20	5.70	A
USGS	11396200	1991-01-21	5.70	A
USGS	11396200	1991-01-22	5.70	A
USGS	11396200	1991-01-23	5.80	A
USGS	11396200	1991-01-24	5.70	A
USGS	11396200	1991-01-25	5.90	A
USGS	11396200	1991-01-26	5.70	A
USGS	11396200	1991-01-27	5.80	A
USGS	11396200	1991-01-28	5.80	A
USGS	11396200	1991-01-29	5.80	A
USGS	11396200	1991-01-30	5.80	A
USGS	11396200	1991-01-31	5.80	A
USGS	11396200	1991-02-01	5.80	A
