# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-07-26 16:21:46 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11404500 NF FEATHER R A PULGA CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11404500
#            TS   parameter     statistic     Description
#        213656       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	213656_00060_00003	213656_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11404500	1911-04-01	13400	A
USGS	11404500	1911-04-02	14400	A
USGS	11404500	1911-04-03	14800	A
USGS	11404500	1911-04-04	14500	A
USGS	11404500	1911-04-05	16700	A
USGS	11404500	1911-04-06	17200	A
USGS	11404500	1911-04-07	15100	A
USGS	11404500	1911-04-08	14400	A
USGS	11404500	1911-04-09	14000	A
USGS	11404500	1911-04-10	13200	A
USGS	11404500	1911-04-11	11400	A
USGS	11404500	1911-04-12	9780	A
USGS	11404500	1911-04-13	8400	A
USGS	11404500	1911-04-14	7360	A
USGS	11404500	1911-04-15	6850	A
USGS	11404500	1911-04-16	7020	A
USGS	11404500	1911-04-17	7860	A
USGS	11404500	1911-04-18	9610	A
USGS	11404500	1911-04-19	10500	A
USGS	11404500	1911-04-20	10500	A
USGS	11404500	1911-04-21	10700	A
USGS	11404500	1911-04-22	11200	A
USGS	11404500	1911-04-23	12300	A
USGS	11404500	1911-04-24	13900	A
USGS	11404500	1911-04-25	15000	A
USGS	11404500	1911-04-26	15400	A
USGS	11404500	1911-04-27	14800	A
USGS	11404500	1911-04-28	12900	A
USGS	11404500	1911-04-29	11600	A
USGS	11404500	1911-04-30	11100	A
USGS	11404500	1911-05-01	11100	A
USGS	11404500	1911-05-02	11000	A
USGS	11404500	1911-05-03	11600	A
USGS	11404500	1911-05-04	12800	A
USGS	11404500	1911-05-05	14000	A
USGS	11404500	1911-05-06	13500	A
USGS	11404500	1911-05-07	11800	A
USGS	11404500	1911-05-08	11200	A
USGS	11404500	1911-05-09	11000	A
USGS	11404500	1911-05-10	10500	A
USGS	11404500	1911-05-11	10700	A
