Title: "PRR.csv"
26901,PST,'RESERVOIR STORAGE (af)'
19791201,0000,75706
19791202,0000,75858
19791203,0000,76085
19791204,0000,76484
19791205,0000,76979
19791206,0000,77037
19791207,0000,77648
19791208,0000,77897
19791209,0000,77706
19791210,0000,78185
19791211,0000,78665
19791212,0000,79050
19791213,0000,79571
19791214,0000,80074
19791215,0000,80365
19791216,0000,80540
19791217,0000,81279
19791218,0000,81826
19791219,0000,82315
19791220,0000,82844
19791221,0000,83218
19791222,0000,83671
19791223,0000,83533
19791224,0000,83927
19791225,0000,84520
19791226,0000,85015
19791227,0000,85313
19791228,0000,86308
19791229,0000,86907
19791230,0000,87027
19791231,0000,87648
19800101,0000,88371
19800102,0000,88976
19800103,0000,89521
19800104,0000,90129
19800105,0000,90291
19800106,0000,89238
19800107,0000,90494
19800108,0000,91144
19800109,0000,91817
19800110,0000,92573
19800111,0000,93845
19800112,0000,94731
19800113,0000,94401
19800114,0000,94855
19800115,0000,95848
19800116,0000,96927
19800117,0000,98136
19800118,0000,98638
19800119,0000,99644
19800120,0000,100717
19800121,0000,101688
19800122,0000,102747
19800123,0000,103810
19800124,0000,104727
19800125,0000,105710
19800126,0000,106957
19800127,0000,107928
19800128,0000,108901
19800129,0000,110138
19800130,0000,111424
19800131,0000,112715
19800201,0000,113528
19800202,0000,114408
19800203,0000,114320
19800204,0000,115026
19800205,0000,115689
19800206,0000,115844
19800207,0000,116332
19800208,0000,116687
19800209,0000,116909
19800210,0000,116909
19800211,0000,117354
19800212,0000,118156
19800213,0000,118915
19800214,0000,119811
19800215,0000,120125
19800216,0000,120552
19800217,0000,121114
19800218,0000,122152
19800219,0000,121903
19800220,0000,122355
19800221,0000,122559
19800222,0000,122694
19800223,0000,122694
19800224,0000,122740
19800225,0000,122740
19800226,0000,122740
19800227,0000,122740
19800228,0000,122627
19800229,0000,122627
19800301,0000,122513
19800302,0000,122400
19800303,0000,122627
19800304,0000,122627
19800305,0000,122627
19800306,0000,122694
19800307,0000,122740
19800308,0000,122740
19800309,0000,122740
19800310,0000,122740
19800311,0000,122740
19800312,0000,122740
19800313,0000,122740
19800314,0000,122649
19800315,0000,122581
19800316,0000,122559
19800317,0000,122559
19800318,0000,122423
19800319,0000,122378
19800320,0000,122287
19800321,0000,122061
19800322,0000,121836
19800323,0000,121610
19800324,0000,121385
19800325,0000,121272
19800326,0000,121047
19800327,0000,120934
19800328,0000,120934
19800329,0000,120872
19800330,0000,120822
19800331,0000,120934
19800401,0000,120597
19800402,0000,120484
19800403,0000,120934
19800404,0000,120934
19800405,0000,120934
19800406,0000,120597
19800407,0000,120709
19800408,0000,120687
19800409,0000,120867
19800410,0000,121182
19800411,0000,121227
19800412,0000,121272
19800413,0000,121385
19800414,0000,121430
19800415,0000,121362
19800416,0000,121339
19800417,0000,121317
19800418,0000,121204
19800419,0000,120889
19800420,0000,120597
19800421,0000,120260
19800422,0000,120035
19800423,0000,120103
19800424,0000,120350
19800425,0000,120484
19800426,0000,120709
19800427,0000,120867
19800428,0000,121047
19800429,0000,121182
19800430,0000,121497
19800501,0000,121836
19800502,0000,122287
19800503,0000,122287
19800504,0000,122287
19800505,0000,123556
19800506,0000,123420
19800507,0000,123193
19800508,0000,122966
19800509,0000,122853
19800510,0000,123079
19800511,0000,123238
19800512,0000,123306
19800513,0000,123125
19800514,0000,122966
19800515,0000,122740
19800516,0000,122287
19800517,0000,122287
19800518,0000,121836
19800519,0000,121836
19800520,0000,121385
19800521,0000,121159
19800522,0000,120732
19800523,0000,120507
19800524,0000,120103
19800525,0000,119833
19800526,0000,119833
19800527,0000,119699
19800528,0000,119699
19800529,0000,119699
19800530,0000,119587
19800531,0000,119497
19800601,0000,119363
19800602,0000,119363
19800603,0000,119251
19800604,0000,118937
19800605,0000,118647
19800606,0000,118223
19800607,0000,117799
19800608,0000,117354
19800609,0000,116909
19800610,0000,116576
19800611,0000,116021
19800612,0000,115579
19800613,0000,115579
19800614,0000,115579
19800615,0000,114342
19800616,0000,114034
19800617,0000,113594
19800618,0000,113154
19800619,0000,112584
19800620,0000,112146
19800621,0000,111730
19800622,0000,111228
19800623,0000,110857
19800624,0000,110443
19800625,0000,110095
19800626,0000,109769
19800627,0000,109313
19800628,0000,108858
19800629,0000,108447
19800630,0000,108014
19800701,0000,107496
19800702,0000,106850
19800703,0000,106418
19800704,0000,106203
19800705,0000,105989
19800706,0000,105560
19800707,0000,105133
19800708,0000,104705
19800709,0000,104066
19800710,0000,103640
19800711,0000,103215
19800712,0000,102790
19800713,0000,102366
19800714,0000,101942
19800715,0000,101308
19800716,0000,100886
19800717,0000,100254
19800718,0000,99833
19800719,0000,99204
19800720,0000,98575
19800721,0000,98157
19800722,0000,97531
19800723,0000,96906
19800724,0000,96283
19800725,0000,96076
19800726,0000,95247
19800727,0000,94834
19800728,0000,94215
19800729,0000,93393
19800730,0000,92778
19800731,0000,92368
19800801,0000,91755
19800802,0000,91144
19800803,0000,90534
19800804,0000,89926
19800805,0000,89319
19800806,0000,88714
19800807,0000,88110
19800808,0000,87508
19800809,0000,86907
19800810,0000,86108
19800811,0000,85511
19800812,0000,84196
19800813,0000,84322
19800814,0000,83730
19800815,0000,83336
19800816,0000,82746
19800817,0000,81963
19800818,0000,81572
19800819,0000,80987
19800820,0000,80404
19800821,0000,79861
19800822,0000,79359
19800823,0000,79089
19800824,0000,78473
19800825,0000,77955
19800826,0000,77419
19800827,0000,76865
19800828,0000,76237
19800829,0000,75573
19800830,0000,74931
19800831,0000,74329
19800901,0000,73541
19800902,0000,73167
19800903,0000,72794
19800904,0000,72236
19800905,0000,71679
19800906,0000,71309
19800907,0000,70756
19800908,0000,70572
19800909,0000,70572
19800910,0000,70572
19800911,0000,70756
19800912,0000,70940
19800913,0000,70940
19800914,0000,70572
19800915,0000,70756
19800916,0000,70940
19800917,0000,71125
19800918,0000,71494
19800919,0000,71679
19800920,0000,71864
19800921,0000,71864
19800922,0000,72236
19800923,0000,72050
19800924,0000,71864
19800925,0000,71864
19800926,0000,71679
19800927,0000,71679
19800928,0000,71679
19800929,0000,71864
19800930,0000,71864
19801001,0000,72050
19801002,0000,72050
19801003,0000,72050
19801004,0000,72050
19801005,0000,73354
19801006,0000,74103
19801007,0000,73915
19801008,0000,73915
19801009,0000,73915
19801010,0000,73915
19801011,0000,73915
19801012,0000,73915
19801013,0000,73728
19801014,0000,73915
19801015,0000,73915
19801016,0000,73728
19801017,0000,73728
19801018,0000,73541
19801019,0000,73541
19801020,0000,73354
19801021,0000,73354
19801022,0000,73354
19801023,0000,73298
19801024,0000,73260
19801025,0000,73185
19801026,0000,73092
19801027,0000,73017
19801028,0000,72999
19801029,0000,72961
19801030,0000,72961
19801031,0000,72980
19801101,0000,72980
19801102,0000,72906
19801103,0000,72831
19801104,0000,72775
19801105,0000,72701
19801106,0000,72663
19801107,0000,72570
19801108,0000,72552
19801109,0000,72570
19801110,0000,72514
19801111,0000,72440
19801112,0000,72366
19801113,0000,72291
19801114,0000,72198
19801115,0000,72161
19801116,0000,72663
19801117,0000,72831
19801118,0000,73242
19801119,0000,73578
19801120,0000,73728
19801121,0000,73953
19801122,0000,74573
19801123,0000,75573
19801124,0000,76161
19801125,0000,77285
19801126,0000,78165
19801127,0000,78838
19801128,0000,79571
19801129,0000,80249
19801130,0000,81221
19801201,0000,82197
19801202,0000,83139
19801203,0000,84105
19801204,0000,84956
19801205,0000,85631
19801206,0000,86547
19801207,0000,87448
19801208,0000,87428
19801209,0000,87428
19801210,0000,87387
19801211,0000,87387
19801212,0000,87508
19801213,0000,87628
19801214,0000,87768
19801215,0000,88392
19801216,0000,88976
19801217,0000,89906
19801218,0000,90819
19801219,0000,91715
19801220,0000,92798
19801221,0000,93886
19801222,0000,94566
19801223,0000,95061
19801224,0000,95620
19801225,0000,96221
19801226,0000,96823
19801227,0000,97614
19801228,0000,98575
19801229,0000,99162
19801230,0000,99623
19801231,0000,100212
19810101,0000,100760
19810102,0000,101350
19810103,0000,101794
19810104,0000,102535
19810105,0000,103236
19810106,0000,103938
19810107,0000,104279
19810108,0000,105026
19810109,0000,105817
19810110,0000,106632
19810111,0000,107388
19810112,0000,107216
19810113,0000,107000
19810114,0000,106957
19810115,0000,107431
19810116,0000,107841
19810117,0000,108057
19810118,0000,108014
19810119,0000,108575
19810120,0000,109422
19810121,0000,110313
19810122,0000,111228
19810123,0000,112058
19810124,0000,112957
19810125,0000,113835
19810126,0000,114717
19810127,0000,115534
19810128,0000,116554
19810129,0000,117287
19810130,0000,118223
19810131,0000,119184
19810201,0000,120192
19810202,0000,120777
19810203,0000,121227
19810204,0000,121227
19810205,0000,121452
19810206,0000,121723
19810207,0000,121971
19810208,0000,122423
19810209,0000,122989
19810210,0000,123442
19810211,0000,123874
19810212,0000,124374
19810213,0000,124784
19810214,0000,125058
19810215,0000,125286
19810216,0000,125240
19810217,0000,125035
19810218,0000,124852
19810219,0000,124670
19810220,0000,124510
19810221,0000,124192
19810222,0000,123987
19810223,0000,123737
19810224,0000,123465
19810225,0000,123715
19810226,0000,123919
19810227,0000,124124
19810228,0000,123828
19810301,0000,123964
19810302,0000,123783
19810303,0000,123465
19810304,0000,123125
19810305,0000,122853
19810306,0000,122513
19810307,0000,122220
19810308,0000,121948
19810309,0000,121745
19810310,0000,121587
19810311,0000,121430
19810312,0000,121249
19810313,0000,121024
19810314,0000,120867
19810315,0000,120732
19810316,0000,120552
19810317,0000,120439
19810318,0000,120237
19810319,0000,120080
19810320,0000,120709
19810321,0000,120979
19810322,0000,120822
19810323,0000,121385
19810324,0000,121971
19810325,0000,122536
19810326,0000,122989
19810327,0000,123556
19810328,0000,123805
19810329,0000,123624
19810330,0000,124214
19810331,0000,124442
19810401,0000,124647
19810402,0000,124761
19810403,0000,124875
19810404,0000,124807
19810405,0000,124556
19810406,0000,124579
19810407,0000,124784
19810408,0000,125172
19810409,0000,125309
19810410,0000,125469
19810411,0000,125537
19810412,0000,125172
19810413,0000,125446
19810414,0000,125400
19810415,0000,124944
19810416,0000,124487
19810417,0000,123964
19810418,0000,123465
19810419,0000,123011
19810420,0000,122536
19810421,0000,122107
19810422,0000,121610
19810423,0000,121249
19810424,0000,120934
19810425,0000,120597
19810426,0000,120192
19810427,0000,119878
19810428,0000,119519
19810429,0000,119094
19810430,0000,118580
19810501,0000,118089
19810502,0000,117621
19810503,0000,117153
19810504,0000,116665
19810505,0000,115977
19810506,0000,115247
19810507,0000,114562
19810508,0000,113835
19810509,0000,113176
19810510,0000,112474
19810511,0000,111861
19810512,0000,111206
19810513,0000,110530
19810514,0000,109921
19810515,0000,109226
19810516,0000,108533
19810517,0000,107928
19810518,0000,107345
19810519,0000,106850
19810520,0000,106332
19810521,0000,105860
19810522,0000,105346
19810523,0000,104876
19810524,0000,104385
19810525,0000,103895
19810526,0000,103385
19810527,0000,102938
19810528,0000,102429
19810529,0000,101921
19810530,0000,101435
19810531,0000,100928
19810601,0000,100359
19810602,0000,99854
19810603,0000,99351
19810604,0000,98847
19810605,0000,98345
19810606,0000,97802
19810607,0000,97302
19810608,0000,96782
19810609,0000,96262
19810610,0000,95682
19810611,0000,95123
19810612,0000,94422
19810613,0000,93804
19810614,0000,93106
19810615,0000,92471
19810616,0000,91878
19810617,0000,91307
19810618,0000,90647
19810619,0000,90088
19810620,0000,89461
19810621,0000,88875
19810622,0000,88271
19810623,0000,87668
19810624,0000,86967
19810625,0000,86288
19810626,0000,85551
19810627,0000,84837
19810628,0000,84105
19810629,0000,83355
19810630,0000,82570
19810701,0000,81845
19810702,0000,81104
19810703,0000,80404
19810704,0000,79687
19810705,0000,78954
19810706,0000,78242
19810707,0000,77591
19810708,0000,76865
19810709,0000,76142
19810710,0000,75441
19810711,0000,74705
19810712,0000,74009
19810713,0000,73298
19810714,0000,72589
19810715,0000,71864
19810716,0000,71235
19810717,0000,71014
19810718,0000,70756
19810719,0000,70664
19810720,0000,70664
19810721,0000,70664
19810722,0000,70462
19810723,0000,70241
19810724,0000,70021
19810725,0000,69563
19810726,0000,68850
19810727,0000,68506
19810728,0000,68434
19810729,0000,67964
19810730,0000,67802
19810731,0000,67676
19810801,0000,67065
19810802,0000,66350
19810803,0000,66332
19810804,0000,66314
19810805,0000,66743
19810806,0000,67173
19810807,0000,67568
19810808,0000,68000
19810809,0000,68415
19810810,0000,68759
19810811,0000,69071
19810812,0000,68925
