26900,PST,'RESERVOIR ELEVATION (feet)'
20131225,0000,1562.01
20131226,0000,1561.90
20131227,0000,1561.79
20131228,0000,1561.90
20131229,0000,1562.09
20131230,0000,1561.79
20131231,0000,1561.92
20140101,0000,1561.90
20140102,0000,1562.01
20140103,0000,1562.01
20140104,0000,1561.92
20140105,0000,1562.06
20140106,0000,1561.92
20140107,0000,1562.01
20140108,0000,1562.06
20140109,0000,1562.01
20140110,0000,1561.90
20140111,0000,1561.92
20140112,0000,1562.01
20140113,0000,1562.01
20140114,0000,1562.01
20140115,0000,1561.90
20140116,0000,1561.79
20140117,0000,1561.79
20140118,0000,1561.68
20140119,0000,1561.79
20140120,0000,1561.79
20140121,0000,1561.90
20140122,0000,1561.70
20140123,0000,1561.90
20140124,0000,1561.79
20140125,0000,1561.79
20140126,0000,1561.90
20140127,0000,1561.79
20140128,0000,1561.90
20140129,0000,1561.70
20140130,0000,1561.79
20140131,0000,1561.79
20140201,0000,1561.79
20140202,0000,1561.90
20140203,0000,1561.90
20140204,0000,1561.90
20140205,0000,1561.92
20140206,0000,1562.14
20140207,0000,1562.23
20140208,0000,1562.23
20140209,0000,1562.28
20140210,0000,1562.36
20140211,0000,1562.31
20140212,0000,1562.36
20140213,0000,1562.36
20140214,0000,1562.28
20140215,0000,1562.28
20140216,0000,1562.36
20140217,0000,1562.36
20140218,0000,1562.36
20140219,0000,1562.28
20140220,0000,1562.45
20140221,0000,1562.36
20140222,0000,1562.45
20140223,0000,1562.53
20140224,0000,1562.50
20140225,0000,1562.55
20140226,0000,1562.50
20140227,0000,1562.42
20140228,0000,1562.58
20140301,0000,1562.53
20140302,0000,1562.53
20140303,0000,1562.36
20140304,0000,1562.28
20140305,0000,1562.28
20140306,0000,1562.12
20140307,0000,1562.14
20140308,0000,1562.06
20140309,0000,1561.79
20140310,0000,1561.90
20140311,0000,1561.79
20140312,0000,1561.70
20140313,0000,1561.70
20140314,0000,1561.62
20140315,0000,1561.48
20140316,0000,1561.35
20140317,0000,1561.24
20140318,0000,1561.10
20140319,0000,1561.13
20140320,0000,1561.04
20140321,0000,1560.96
20140322,0000,1560.91
20140323,0000,1560.80
20140324,0000,1560.66
20140325,0000,1560.66
20140326,0000,1560.58
20140327,0000,1560.60
20140328,0000,1560.52
20140329,0000,1560.44
20140330,0000,1560.30
20140331,0000,1560.25
20140401,0000,1560.25
20140402,0000,1560.25
20140403,0000,1560.11
20140404,0000,1560.03
20140405,0000,1559.86
20140406,0000,1559.78
20140407,0000,1559.64
20140408,0000,1559.56
20140409,0000,1559.59
20140410,0000,1559.51
20140411,0000,1559.23
20140412,0000,1559.20
20140413,0000,1559.07
20140414,0000,1559.01
20140415,0000,1558.76
20140416,0000,1558.63
20140417,0000,1558.54
20140418,0000,1558.46
