Date,Storage (af),
Oct-74,101160,
Nov-74,100420,
Dec-74,100390,
Jan-75,99750,
Feb-75,99600,
Mar-75,100190,
Apr-75,101450,
May-75,101540,
Jun-75,100270,
Jul-75,98870,
Aug-75,97860,
Sep-75,96300,
Oct-75,95230,
Nov-75,94340,
Dec-75,93640,
Jan-76,92800,
Feb-76,92720,
Mar-76,93820,
Apr-76,93020,
May-76,91900,
Jun-76,90550,
Jul-76,88910,
Aug-76,87410,
Sep-76,87290,
Oct-76,86390,
Nov-76,85450,
Dec-76,84460,
Jan-77,84160,
Feb-77,83690,
Mar-77,83060,
Apr-77,82180,
May-77,81710,
Jun-77,80620,
Jul-77,78340,
Aug-77,77210,
Sep-77,75440,
Oct-77,74270,
Nov-77,73280,
Dec-77,78970,
Jan-78,85760,
Feb-78,100040,
Mar-78,100360,
Apr-78,114560,
May-78,108660,
Jun-78,103240,
Jul-78,90330,
Aug-78,76470,
Sep-78,--,
Oct-78,69910,
Nov-78,86530,
Dec-78,106480,
Jan-79,118360,
Feb-79,124080,
Mar-79,123870,
Apr-79,124490,
May-79,124150,
Jun-79,104920,
Jul-79,90030,
Aug-79,78170,
Sep-79,75690,
Oct-79,73260,
Nov-79,75690,
Dec-79,87650,
Jan-80,112720,
Feb-80,122630,
Mar-80,120930,
Apr-80,121500,
May-80,119500,
Jun-80,108010,
Jul-80,92370,
Aug-80,74330,
Sep-80,72050,
Oct-80,72980,
Nov-80,81220,
Dec-80,100210,
Jan-81,119180,
Feb-81,123840,
Mar-81,124440,
Apr-81,118500,
May-81,100930,
Jun-81,81850,
Jul-81,67680,
Aug-81,68650,
Sep-81,71770,
Oct-81,68980,
Nov-81,70770,
Dec-81,76200,
Jan-82,86170,
Feb-82,111340,
Mar-82,124190,
Apr-82,122360,
May-82,111120,
Jun-82,95000,
Jul-82,85270,
Aug-82,78970,
Sep-82,81120,
Oct-82,88210,
Nov-82,109860,
Dec-82,120640,
Jan-83,121090,
Feb-83,118690,
Mar-83,126450,
Apr-83,125790,
May-83,118470,
Jun-83,111670,
Jul-83,108790,
Aug-83,111930,
Sep-83,126060,
Oct-83,125290,
Nov-83,124830,
Dec-83,125150,
Jan-84,124420,
Feb-84,124420,
Mar-84,124600,
Apr-84,124850,
May-84,124850,
Jun-84,123900,
Jul-84,123420,
Aug-84,123280,
Sep-84,122200,
Oct-84,121970,
Nov-84,123280,
Dec-84,124310,
Jan-85,123670,
Feb-85,123560,
Mar-85,123420,
Apr-85,123030,
May-85,122080,
Jun-85,120710,
Jul-85,118290,
Aug-85,116130,
Sep-85,114940,
Oct-85,114250,
Nov-85,115290,
Dec-85,115510,
Jan-86,115000,
Feb-86,125610,
Mar-86,125930,
Apr-86,125540,
May-86,125200,
Jun-86,115780,
Jul-86,103790,
Aug-86,101600,
Sep-86,97550,
Oct-86,108060,
Nov-86,113790,
Dec-86,123850,
Jan-87,124440,
Feb-87,124030,
Mar-87,125700,
Apr-87,123920,
May-87,122490,
Jun-87,111446,
Jul-87,106332,
Aug-87,105300,
Sep-87,104471,
Oct-87,106032,
Nov-87,106225,
Dec-87,112496,
Jan-88,124556,
Feb-88,123601,
Mar-88,122536,
Apr-88,122785,
May-88,122740,
Jun-88,122446,
Jul-88,119744,
