Date,Elevation
1/1/90,1580.47
1/2/90,1580.42
1/3/90,1580.36
1/4/90,1580.26
1/5/90,1580.19
1/6/90,1580.12
1/7/90,1580.04
1/8/90,1579.98
1/9/90,1579.95
1/10/90,1579.88
1/11/90,1579.81
1/12/90,1579.7
1/13/90,1579.65
1/14/90,1579.62
1/15/90,1579.58
1/16/90,1579.54
1/17/90,1579.52
1/18/90,1579.46
1/19/90,1579.39
1/20/90,1579.31
1/21/90,1579.26
1/22/90,1579.21
1/23/90,1579.15
1/24/90,1579.08
1/25/90,1579.02
1/26/90,1578.91
1/27/90,1578.83
1/28/90,1578.76
1/29/90,1578.71
1/30/90,1578.7
1/31/90,1578.69
2/1/90,1578.67
2/2/90,1578.81
2/3/90,1579.24
2/4/90,1579.27
2/5/90,1579.54
2/6/90,1580.02
2/7/90,1580.48
2/8/90,1580.98
2/9/90,1581.45
2/10/90,1581.96
2/11/90,1582.42
2/12/90,1582.89
2/13/90,1583.33
2/14/90,1583.77
2/15/90,1584.22
2/16/90,1584.69
2/17/90,1585.24
2/18/90,1585.73
2/19/90,1586.2
2/20/90,1586.66
2/21/90,1587.13
2/22/90,1587.61
2/23/90,1587.65
2/24/90,1587.65
2/25/90,1587.67
2/26/90,1587.69
2/27/90,1587.69
2/28/90,1587.7
3/1/90,1587.69
3/2/90,1587.7
3/3/90,1587.74
3/4/90,1587.74
3/5/90,1587.71
3/6/90,1587.73
3/7/90,1587.73
3/8/90,1587.75
3/9/90,1587.71
3/10/90,1587.76
3/11/90,1587.74
3/12/90,1587.74
3/13/90,1587.75
3/14/90,1587.78
3/15/90,1587.81
3/16/90,1587.82
3/17/90,1587.83
3/18/90,1587.84
3/19/90,1587.84
3/20/90,1587.84
3/21/90,1587.83
3/22/90,1587.63
3/23/90,1587.44
3/24/90,1587.44
3/25/90,1587.44
3/26/90,1587.46
3/27/90,1587.44
3/28/90,1587.5
3/29/90,1587.52
3/30/90,1587.53
3/31/90,1587.55
4/1/90,1587.55
4/2/90,1587.55
4/3/90,1587.59
4/4/90,1587.57
4/5/90,1587.57
4/6/90,1587.54
4/7/90,1587.54
4/8/90,1587.55
4/9/90,1587.55
4/10/90,1587.54
4/11/90,1587.54
4/12/90,1587.56
4/13/90,1587.54
4/14/90,1587.57
4/15/90,1587.57
4/16/90,1587.54
4/17/90,1587.54
4/18/90,1587.54
4/19/90,1587.58
4/20/90,1587.57
4/21/90,1587.59
4/22/90,1587.56
4/23/90,1587.52
4/24/90,1587.53
4/25/90,1587.52
4/26/90,1587.51
4/27/90,1587.52
4/28/90,1587.5
4/29/90,1587.45
4/30/90,1587.41
5/1/90,1587.44
5/2/90,1587.48
5/3/90,1587.47
5/4/90,1587.39
5/5/90,1587.31
5/6/90,1587.28
5/7/90,1587.25
5/8/90,1587.21
5/9/90,1587.17
5/10/90,1587.14
5/11/90,1587.1
5/12/90,1587.1
5/13/90,1587.07
5/14/90,1587.06
5/15/90,1587.03
5/16/90,1587.03
5/17/90,1586.53
5/18/90,1586.19
5/19/90,1586.07
5/20/90,1586.05
5/21/90,1585.82
5/22/90,1585.44
5/23/90,1584.9
5/24/90,1584.86
5/25/90,1584.86
5/26/90,1584.85
5/27/90,1584.83
5/28/90,1584.87
5/29/90,1584.86
5/30/90,1584.86
5/31/90,1584.86
6/1/90,1584.87
6/2/90,1584.9
6/3/90,1584.9
6/4/90,1584.9
6/5/90,1584.86
6/6/90,1584.86
6/7/90,1584.86
6/8/90,1584.9
6/9/90,1584.97
6/10/90,1584.97
6/11/90,1584.98
6/12/90,1585.52
6/13/90,1585.84
6/14/90,1586.22
6/15/90,1586.63
6/16/90,1586.99
6/17/90,1587.4
6/18/90,1587.59
6/19/90,1587.57
6/20/90,1587.6
6/21/90,1587.57
6/22/90,1587.58
6/23/90,1587.57
6/24/90,1587.55
6/25/90,1587.52
6/26/90,1587.5
6/27/90,1587.47
6/28/90,1587.45
6/29/90,1587.42
6/30/90,1587.4
7/1/90,1587.38
7/2/90,1587.36
7/3/90,1587.33
7/4/90,1587.31
7/5/90,1587.29
7/6/90,1587.26
7/7/90,1587.24
7/8/90,1587.22
7/9/90,1587.19
7/10/90,1587.18
7/11/90,1587.17
7/12/90,1587.14
7/13/90,1587.16
7/14/90,1587.13
7/15/90,1587.16
7/16/90,1587.15
7/17/90,1587.13
7/18/90,1587.12
7/19/90,1587.1
7/20/90,1587.05
7/21/90,1586.99
7/22/90,1586.97
7/23/90,1586.95
7/24/90,1586.92
7/25/90,1586.91
7/26/90,1586.89
7/27/90,1586.86
7/28/90,1586.84
7/29/90,1586.81
7/30/90,1586.78
7/31/90,1586.75
8/1/90,1586.74
8/2/90,1586.72
8/3/90,1586.69
8/4/90,1586.66
8/5/90,1586.64
8/6/90,1586.62
8/7/90,1586.59
8/8/90,1586.58
8/9/90,1586.57
8/10/90,1586.54
8/11/90,1586.61
8/12/90,1586.58
8/13/90,1586.54
8/14/90,1586.48
8/15/90,1586.37
8/16/90,1586.33
8/17/90,1586.19
8/18/90,1585.81
8/19/90,1585.46
8/20/90,1585.22
8/21/90,1585.13
8/22/90,1585.04
8/23/90,1584.98
8/24/90,1584.83
8/25/90,1584.46
8/26/90,1584.08
8/27/90,1583.8
8/28/90,1583.75
8/29/90,1583.69
8/30/90,1583.63
8/31/90,1583.62
9/1/90,1583.53
9/2/90,1583.48
9/3/90,1583.42
9/4/90,1583.18
9/5/90,1582.93
9/6/90,1582.7
9/7/90,1582.46
9/8/90,1582.44
9/9/90,1582.26
9/10/90,1582.07
9/11/90,1581.86
9/12/90,1581.75
9/13/90,1581.72
9/14/90,1581.68
9/15/90,1581.65
9/16/90,1581.62
9/17/90,1581.61
9/18/90,1581.56
9/19/90,1581.51
9/20/90,1581.48
9/21/90,1581.45
9/22/90,1581.42
9/23/90,1581.39
9/24/90,1581.36
9/25/90,1581.33
9/26/90,1581.29
9/27/90,1581.27
9/28/90,1581.23
9/29/90,1581.2
9/30/90,1581.17
10/1/90,1581.14
10/2/90,1581.11
10/3/90,1581.09
10/4/90,1581.14
10/5/90,1581.14
10/6/90,1581.12
10/7/90,1581.11
10/8/90,1581.13
10/9/90,1581.1
10/10/90,1581.09
10/11/90,1581.07
10/12/90,1581.04
10/13/90,1581.03
10/14/90,1581.04
10/15/90,1581.02
10/16/90,1581.06
10/17/90,1581.05
10/18/90,1581.05
10/19/90,1581.1
10/20/90,1580.86
10/21/90,1580.75
10/22/90,1580.65
10/23/90,1580.6
10/24/90,1580.5
10/25/90,1580.38
10/26/90,1580.26
10/27/90,1580.14
10/28/90,1580.03
10/29/90,1579.91
10/30/90,1579.78
10/31/90,1579.68
11/1/90,1579.65
11/2/90,1579.48
11/3/90,1579.51
11/4/90,1579.5
11/5/90,1579.47
11/6/90,1579.26
11/7/90,1579.24
11/8/90,1579.22
11/9/90,1579.22
11/10/90,1579.18
11/11/90,1579.17
11/12/90,1579.15
11/13/90,1579.14
11/14/90,1579.11
11/15/90,1579.1
11/16/90,1579.08
11/17/90,1579.07
11/18/90,1579.04
11/19/90,1579.07
11/20/90,1579.08
11/21/90,1579.08
11/22/90,1579.06
11/23/90,1579.05
11/24/90,1579.04
11/25/90,1579.35
11/26/90,1579.44
11/27/90,1579.42
11/28/90,1579.39
11/29/90,1579.36
11/30/90,1579.34
12/1/90,1579.32
12/2/90,1579.31
12/3/90,1579.3
12/4/90,1579.27
12/5/90,1579.26
12/6/90,1579.26
12/7/90,1579.23
12/8/90,1579.21
12/9/90,1579.18
12/10/90,1579.2
12/11/90,1579.6
12/12/90,1579.98
12/13/90,1579.98
12/14/90,1579.97
12/15/90,1579.96
12/16/90,1579.95
12/17/90,1579.96
12/18/90,1579.96
12/19/90,1579.96
12/20/90,1579.54
12/21/90,1579.26
12/22/90,1579.15
12/23/90,1579.02
12/24/90,1578.93
12/25/90,1578.82
12/26/90,1578.71
12/27/90,1578.61
12/28/90,1578.54
12/29/90,1578.52
12/30/90,1578.47
12/31/90,1578.43
1/1/91,1578.4
1/2/91,1578.38
1/3/91,1578.78
1/4/91,1579.17
1/5/91,1579.56
1/6/91,1579.93
1/7/91,1580.31
1/8/91,1580.71
1/9/91,1581.14
1/10/91,1581.54
1/11/91,1581.94
1/12/91,1582.35
1/13/91,1582.75
1/14/91,1583.14
1/15/91,1583.51
1/16/91,1583.86
1/17/91,1584.26
1/18/91,1584.25
1/19/91,1584.23
1/20/91,1584.22
1/21/91,1584.2
1/22/91,1584.18
1/23/91,1584.16
1/24/91,1584.14
1/25/91,1584.15
1/26/91,1584.13
1/27/91,1584.13
1/28/91,1584.1
1/29/91,1584.1
1/30/91,1584.1
1/31/91,1584.1
2/1/91,1584.1
2/2/91,1584.1
2/3/91,1584.13
2/4/91,1584.17
2/5/91,1584.56
2/6/91,1584.95
2/7/91,1585.35
2/8/91,1585.73
2/9/91,1586.12
2/10/91,1586.5
2/11/91,1586.88
2/12/91,1586.89
2/13/91,1586.91
2/14/91,1586.9
2/15/91,1586.89
2/16/91,1586.88
2/17/91,1586.87
2/18/91,1586.86
2/19/91,1586.84
2/20/91,1586.84
2/21/91,1586.84
2/22/91,1586.82
2/23/91,1586.82
2/24/91,1586.82
2/25/91,1586.83
2/26/91,1586.82
2/27/91,1586.96
2/28/91,1587.04
3/1/91,1587.15
3/2/91,1587.22
3/3/91,1587.21
3/4/91,1587.19
3/5/91,1587.19
3/6/91,1587.19
3/7/91,1587.19
3/8/91,1587.19
3/9/91,1587.19
3/10/91,1587.19
3/11/91,1587.19
3/12/91,1587.19
3/13/91,1587.19
3/14/91,1587.17
3/15/91,1587.17
3/16/91,1587.18
3/17/91,1587.18
3/18/91,1587.22
3/19/91,1587.19
3/20/91,1587.28
3/21/91,1587.28
3/22/91,1587.29
3/23/91,1587.29
3/24/91,1587.29
3/25/91,1587.29
3/26/91,1587.34
3/27/91,1587.4
3/28/91,1587.43
3/29/91,1587.42
3/30/91,1587.43
3/31/91,1587.42
4/1/91,1587.38
4/2/91,1587.38
4/3/91,1587.38
4/4/91,1587.38
4/5/91,1587.37
4/6/91,1587.32
4/7/91,1587.29
4/8/91,1587.29
4/9/91,1587.26
4/10/91,1587.22
4/11/91,1587.2
4/12/91,1587.17
4/13/91,1587.17
4/14/91,1587.12
4/15/91,1587.13
4/16/91,1587.08
4/17/91,1587.06
4/18/91,1587.08
4/19/91,1587.05
4/20/91,1587.05
4/21/91,1587.03
4/22/91,1587.02
4/23/91,1587.02
4/24/91,1586.99
4/25/91,1586.99
4/26/91,1587
4/27/91,1587.02
4/28/91,1587
4/29/91,1586.99
4/30/91,1586.97
5/1/91,1586.94
5/2/91,1586.9
5/3/91,1586.88
5/4/91,1586.88
5/5/91,1586.86
5/6/91,1586.83
5/7/91,1586.82
5/8/91,1586.79
5/9/91,1586.75
5/10/91,1586.74
5/11/91,1586.74
5/12/91,1586.73
5/13/91,1586.7
5/14/91,1586.68
5/15/91,1586.67
5/16/91,1586.66
5/17/91,1586.63
5/18/91,1586.61
5/19/91,1586.61
5/20/91,1586.6
5/21/91,1586.58
5/22/91,1586.57
5/23/91,1586.56
5/24/91,1586.54
5/25/91,1586.54
5/26/91,1586.54
5/27/91,1586.54
5/28/91,1586.54
5/29/91,1586.46
5/30/91,1586.41
5/31/91,1586.43
6/1/91,1586.43
6/2/91,1586.41
6/3/91,1586.41
6/4/91,1586.39
6/5/91,1586.38
6/6/91,1586.39
6/7/91,1586.39
6/8/91,1586.38
6/9/91,1586.41
6/10/91,1586.4
6/11/91,1586.38
6/12/91,1586.37
6/13/91,1586.35
6/14/91,1586.33
6/15/91,1586.3
6/16/91,1586.27
6/17/91,1586.27
6/18/91,1586.24
6/19/91,1586.21
6/20/91,1586.19
6/21/91,1586.18
6/22/91,1586.16
6/23/91,1586.15
6/24/91,1586.13
6/25/91,1586.13
6/26/91,1586.1
6/27/91,1586.07
6/28/91,1586.06
6/29/91,1586.05
6/30/91,1586.05
7/1/91,1586.03
7/2/91,1586.02
7/3/91,1586
7/4/91,1585.98
7/5/91,1585.95
7/6/91,1585.93
7/7/91,1585.92
7/8/91,1585.91
7/9/91,1585.9
7/10/91,1585.88
7/11/91,1585.87
7/12/91,1585.86
7/13/91,1585.85
7/14/91,1585.82
7/15/91,1585.81
7/16/91,1585.79
7/17/91,1585.78
7/18/91,1585.78
7/19/91,1585.73
7/20/91,1585.73
7/21/91,1585.73
7/22/91,1585.72
7/23/91,1585.72
7/24/91,1585.71
7/25/91,1585.7
7/26/91,1585.7
7/27/91,1585.7
7/28/91,1585.69
7/29/91,1585.67
7/30/91,1585.66
7/31/91,1585.69
8/1/91,1585.68
8/2/91,1585.68
8/3/91,1585.68
8/4/91,1585.67
8/5/91,1585.66
8/6/91,1585.62
8/7/91,1585.61
8/8/91,1585.61
8/9/91,1585.6
8/10/91,1585.57
8/11/91,1585.57
8/12/91,1585.57
8/13/91,1585.57
8/14/91,1585.56
8/15/91,1585.56
8/16/91,1585.36
8/17/91,1585.34
8/18/91,1585.34
8/19/91,1585.34
8/20/91,1585.34
8/21/91,1585.32
8/22/91,1585.32
8/23/91,1585.31
8/24/91,1585.3
8/25/91,1585.3
8/26/91,1585.3
8/27/91,1585.28
8/28/91,1585.26
8/29/91,1585.25
8/30/91,1585.25
8/31/91,1585.25
9/1/91,1585.25
9/2/91,1585.25
9/3/91,1585.25
9/4/91,1585.26
9/5/91,1585.12
9/6/91,1585.15
9/7/91,1585.22
9/8/91,1585.27
9/9/91,1585.38
9/10/91,1585.52
9/11/91,1585.7
9/12/91,1585.04
9/13/91,1585.08
9/14/91,1585.08
9/15/91,1585.09
9/16/91,1585.05
9/17/91,1585.05
9/18/91,1585.08
9/19/91,1585.13
9/20/91,1585.16
9/21/91,1585.2
9/22/91,1585.26
9/23/91,1585.32
9/24/91,1585.4
9/25/91,1584.8
9/26/91,1584.85
9/27/91,1584.9
9/28/91,1584.91
9/29/91,1584.91
9/30/91,1584.89
10/1/91,1584.88
10/2/91,1584.87
10/3/91,1584.87
10/4/91,1584.86
10/5/91,1584.84
10/6/91,1584.65
10/7/91,1584.69
10/8/91,1584.68
10/9/91,1584.7
10/10/91,1584.65
10/11/91,1584.68
10/12/91,1584.67
10/13/91,1584.65
10/14/91,1584.64
10/15/91,1584.61
10/16/91,1584.61
10/17/91,1584.6
10/18/91,1584.59
10/19/91,1584.56
10/20/91,1584.55
10/21/91,1584.53
10/22/91,1584.52
10/23/91,1584.52
10/24/91,1584.52
10/25/91,1584.49
10/26/91,1584.46
10/27/91,1584.46
10/28/91,1584.46
10/29/91,1584.41
10/30/91,1584.37
10/31/91,1584.36
11/1/91,1584.33
11/2/91,1584.33
11/3/91,1584.33
11/4/91,1584.28
11/5/91,1584.25
11/6/91,1584.22
11/7/91,1584.18
11/8/91,1584.14
11/9/91,1584.09
11/10/91,1584.05
11/11/91,1584.02
11/12/91,1583.99
11/13/91,1583.95
11/14/91,1583.88
11/15/91,1583.85
11/16/91,1583.82
11/17/91,1583.82
11/18/91,1583.82
11/19/91,1583.81
11/20/91,1583.79
11/21/91,1583.78
11/22/91,1583.89
11/23/91,1583.8
11/24/91,1583.78
11/25/91,1583.78
11/26/91,1583.92
11/27/91,1584.14
11/28/91,1584.39
11/29/91,1584.65
11/30/91,1584.62
12/1/91,1584.89
12/2/91,1585.28
12/3/91,1585.31
12/4/91,1585.34
12/5/91,1585.34
12/6/91,1585.33
12/7/91,1585.31
12/8/91,1585.33
12/9/91,1585.34
12/10/91,1585.42
12/11/91,1585.53
12/12/91,1585.76
12/13/91,1586.03
12/14/91,1586.27
12/15/91,1586.5
12/16/91,1586.73
12/17/91,1586.73
12/18/91,1586.73
12/19/91,1586.71
12/20/91,1586.71
12/21/91,1586.71
12/22/91,1586.71
12/23/91,1586.73
12/24/91,1586.73
12/25/91,1586.73
12/26/91,1586.72
12/27/91,1586.73
12/28/91,1586.74
12/29/91,1586.8
12/30/91,1586.81
12/31/91,1586.78
1/1/92,1586.8
1/2/92,1586.74
1/3/92,1586.57
1/4/92,1586.57
1/5/92,1586.66
1/6/92,1586.66
1/7/92,1586.83
1/8/92,1586.94
1/9/92,1586.93
1/10/92,1586.94
1/11/92,1586.92
1/12/92,1586.91
1/13/92,1586.91
1/14/92,1586.91
1/15/92,1586.9
1/16/92,1586.89
1/17/92,1586.89
1/18/92,1586.84
1/19/92,1586.85
1/20/92,1586.8
1/21/92,1586.79
1/22/92,1586.8
1/23/92,1586.82
1/24/92,1586.81
1/25/92,1586.8
1/26/92,1586.77
1/27/92,1586.95
1/28/92,1587.05
1/29/92,1586.89
1/30/92,1586.91
1/31/92,1586.91
2/1/92,1586.89
2/2/92,1586.89
2/3/92,1586.89
2/4/92,1586.86
2/5/92,1586.86
2/6/92,1586.9
2/7/92,1586.91
2/8/92,1586.93
2/9/92,1586.94
2/10/92,1586.95
2/11/92,1586.96
2/12/92,1587.16
2/13/92,1587.22
2/14/92,1587.23
2/15/92,1587.29
2/16/92,1587.29
2/17/92,1587.3
2/18/92,1587.31
2/19/92,1587.3
2/20/92,1587.29
2/21/92,1587.3
2/22/92,1587.3
2/23/92,1587.28
2/24/92,1587.27
2/25/92,1587.27
2/26/92,1587.25
2/27/92,1587.24
2/28/92,1587.24
2/29/92,1587.22
3/1/92,1587.21
3/2/92,1587.25
3/3/92,1587.26
3/4/92,1587.26
3/5/92,1587.26
3/6/92,1587.26
3/7/92,1587.28
3/8/92,1587.27
3/9/92,1587.28
3/10/92,1587.28
3/11/92,1587.28
3/12/92,1587.28
3/13/92,1587.26
3/14/92,1587.25
3/15/92,1587.22
3/16/92,1587.21
3/17/92,1587.21
3/18/92,1587.2
3/19/92,1587.2
3/20/92,1587.24
3/21/92,1587.25
3/22/92,1587.26
3/23/92,1587.31
3/24/92,1587.34
3/25/92,1587.32
3/26/92,1587.6
3/27/92,1587.8
3/28/92,1587.8
3/29/92,1587.82
3/30/92,1587.82
3/31/92,1587.82
4/1/92,1587.82
4/2/92,1587.83
4/3/92,1587.82
4/4/92,1587.82
4/5/92,1587.82
4/6/92,1587.82
4/7/92,1587.81
4/8/92,1587.8
4/9/92,1587.79
4/10/92,1587.77
4/11/92,1587.73
4/12/92,1587.69
4/13/92,1587.65
4/14/92,1587.52
4/15/92,1587.14
4/16/92,1586.7
4/17/92,1586.35
4/18/92,1586.01
4/19/92,1585.78
4/20/92,1585.62
4/21/92,1585.5
4/22/92,1585.49
4/23/92,1585.46
4/24/92,1585.46
4/25/92,1585.42
4/26/92,1585.42
4/27/92,1585.36
4/28/92,1585.39
4/29/92,1585.36
4/30/92,1585.29
5/1/92,1585.27
5/2/92,1585.28
5/3/92,1585.25
5/4/92,1585.22
5/5/92,1585.22
5/6/92,1585.21
5/7/92,1585.19
5/8/92,1585.18
5/9/92,1585.16
5/10/92,1585.15
5/11/92,1585.12
5/12/92,1585.11
5/13/92,1585.09
5/14/92,1585.07
5/15/92,1585.06
5/16/92,1585.04
5/17/92,1585.03
5/18/92,1585.01
5/19/92,1584.99
5/20/92,1584.96
5/21/92,1584.94
5/22/92,1584.92
5/23/92,1584.9
5/24/92,1584.87
5/25/92,1584.87
5/26/92,1584.84
5/27/92,1584.82
5/28/92,1584.78
5/29/92,1584.74
5/30/92,1584.73
5/31/92,1584.7
6/1/92,1584.68
6/2/92,1584.66
6/3/92,1584.63
6/4/92,1584.61
6/5/92,1584.58
6/6/92,1584.56
6/7/92,1584.52
6/8/92,1584.47
6/9/92,1584.44
6/10/92,1584.41
6/11/92,1584.38
6/12/92,1584.36
6/13/92,1584.33
6/14/92,1584.33
6/15/92,1584.32
6/16/92,1584.3
6/17/92,1584.29
6/18/92,1584.29
6/19/92,1584.29
6/20/92,1584.28
6/21/92,1584.26
6/22/92,1584.29
6/23/92,1584.27
6/24/92,1584.24
6/25/92,1584.21
6/26/92,1584.2
6/27/92,1584.17
6/28/92,1584.11
6/29/92,1584.2
6/30/92,1584.13
7/1/92,1584.11
7/2/92,1584.16
7/3/92,1584.1
7/4/92,1584.17
7/5/92,1584.15
7/6/92,1584.15
7/7/92,1584.18
7/8/92,1584.18
7/9/92,1584.2
7/10/92,1584.2
7/11/92,1584.18
7/12/92,1584.18
7/13/92,1584.17
7/14/92,1584.16
7/15/92,1584.15
7/16/92,1584.14
