15625,PST,'RESERVOIR ELEVATION (feet)'
20070430,0000,2575.56
20070528,0000,2574.26
20070529,0000,2573.70
20070530,0000,2572.23
20070531,0000,2571.26
20070601,0000,2572.05
20070602,0000,2572.02
20070603,0000,2572.22
20070604,0000,2571.57
20070605,0000,2571.62
20070606,0000,2570.90
20070607,0000,2569.35
20070608,0000,2566.81
20070609,0000,2568.57
20070610,0000,2570.90
20070611,0000,2570.02
20070612,0000,2569.43
20070613,0000,2569.43
20070614,0000,2567.89
20070615,0000,2566.90
20070616,0000,2567.92
20070617,0000,2571.40
20070618,0000,2570.84
20070619,0000,2570.40
20070620,0000,2570.13
20070621,0000,2569.52
20070622,0000,2569.10
20070623,0000,2570.69
20070624,0000,2573.20
20070625,0000,2572.87
20070702,0000,2572.24
20070703,0000,2570.03
20070704,0000,2570.77
20070705,0000,2570.18
20070706,0000,2568.40
20070707,0000,2569.15
20070708,0000,2572.96
20070709,0000,2572.85
20070710,0000,2573.23
20070711,0000,2571.57
20070712,0000,2570.40
20070713,0000,2568.80
20070714,0000,2569.40
20070715,0000,2572.01
20070716,0000,2572.43
20070717,0000,2572.69
20070718,0000,2572.69
20070719,0000,2570.43
20070720,0000,2569.96
20070721,0000,2571.36
20070722,0000,2573.32
20070801,0000,2570.25
20070802,0000,2569.74
20070803,0000,2568.42
20070804,0000,2569.36
20070805,0000,2572.62
20070806,0000,2571.43
20070807,0000,2572.66
20070808,0000,2573.11
20070809,0000,2572.79
20070810,0000,2572.04
20070811,0000,2572.99
20070812,0000,2575.16
20070813,0000,2574.52
20070814,0000,2573.43
20070815,0000,2573.16
20070816,0000,2572.60
20070817,0000,2570.99
20070818,0000,2571.23
20070819,0000,2573.32
20070820,0000,2572.14
20070821,0000,2572.43
20070822,0000,2571.78
20070823,0000,2570.37
20070824,0000,2568.71
20070825,0000,2571.37
20070826,0000,2572.64
20070827,0000,2573.37
20070828,0000,2572.25
20070829,0000,2571.27
20070830,0000,2569.74
20070831,0000,2569.42
20070901,0000,2571.00
20070902,0000,2573.40
20070903,0000,2574.45
20070904,0000,2575.02
20070905,0000,2574.23
20070906,0000,2571.78
20070907,0000,2571.11
20070908,0000,2573.11
20070909,0000,2574.97
20070910,0000,2574.90
20070911,0000,2575.08
20070912,0000,2575.02
20070913,0000,2576.57
20070914,0000,2573.11
20070915,0000,2573.04
20070916,0000,2574.88
20070917,0000,2574.34
20070918,0000,2574.82
20070919,0000,2574.18
20070920,0000,2572.82
20070921,0000,2571.79
20070922,0000,2572.64
20070923,0000,2575.88
20070924,0000,2575.26
20070925,0000,2575.32
20070926,0000,2574.59
20070927,0000,2574.07
20070928,0000,2573.18
20070929,0000,2573.91
20070930,0000,2575.08
20071001,0000,2574.62
20071002,0000,2572.73
20071003,0000,2571.37
20071004,0000,2570.02
20071005,0000,2570.73
20071006,0000,2571.44
20071007,0000,2572.08
20071008,0000,2571.64
20071009,0000,2570.73
20071010,0000,2570.29
20071011,0000,2569.99
20071012,0000,2569.93
20071013,0000,2572.18
20071014,0000,2572.76
20071015,0000,2572.82
20071016,0000,2572.38
20071017,0000,2573.73
20071018,0000,2571.76
20071019,0000,2570.78
20071020,0000,2572.26
20071021,0000,2572.53
20071022,0000,2574.91
20071023,0000,2574.43
20071024,0000,2573.37
20071025,0000,2571.76
20071026,0000,2570.87
20071027,0000,2571.62
20071028,0000,2572.69
20071029,0000,2570.73
20071030,0000,2570.20
20071031,0000,2568.22
20071101,0000,2568.20
20071102,0000,2566.99
20071103,0000,2567.10
20071104,0000,2567.40
20071105,0000,2567.57
20071106,0000,2567.57
20071107,0000,2567.43
20071108,0000,2567.24
20071109,0000,2567.14
20071110,0000,2566.96
20071111,0000,2568.93
20071112,0000,2569.96
20071113,0000,2569.57
20071114,0000,2569.33
20071115,0000,2567.31
20071116,0000,2566.92
20071117,0000,2568.13
20071118,0000,2569.57
20071119,0000,2569.29
20071120,0000,2568.64
20071121,0000,2569.52
20071122,0000,2570.05
20071123,0000,2569.70
20071124,0000,2569.10
20071125,0000,2568.46
20071126,0000,2567.75
20071127,0000,2567.99
20071128,0000,2567.31
20071129,0000,2567.40
20071130,0000,2566.40
20071201,0000,2567.85
20071202,0000,2569.81
20071203,0000,2570.65
20071204,0000,2571.05
20071205,0000,2571.29
20071206,0000,2571.35
20071207,0000,2571.26
20071208,0000,2572.62
20071209,0000,2572.96
20071210,0000,2571.91
20071211,0000,2572.54
20071212,0000,2572.32
20071213,0000,2571.59
20071214,0000,2572.05
20071215,0000,2572.18
20071216,0000,2572.24
20071217,0000,2571.44
20071218,0000,2570.85
20071219,0000,2570.38
20071220,0000,2570.33
20071221,0000,2568.64
20071222,0000,2569.11
20071223,0000,2569.95
20071224,0000,2569.43
20071225,0000,2569.23
20071226,0000,2569.64
20071227,0000,2569.37
20071228,0000,2568.49
20071229,0000,2570.25
20071230,0000,2572.51
20071231,0000,2572.56
20080101,0000,2573.02
20080102,0000,2572.14
20080103,0000,2570.95
20080104,0000,2570.40
20080105,0000,2571.51
20080106,0000,2571.93
20080107,0000,2570.80
20080108,0000,2570.04
20080109,0000,2570.40
20080110,0000,2569.87
20080111,0000,2568.87
20080112,0000,2570.56
20080113,0000,2572.18
20080114,0000,2572.74
20080115,0000,2572.90
20080116,0000,2572.49
20080117,0000,2572.99
20080118,0000,2572.59
20080119,0000,2573.44
20080120,0000,2575.01
20080121,0000,2574.87
20080122,0000,2574.57
20080123,0000,2573.77
20080124,0000,2573.36
20080125,0000,2573.21
20080126,0000,2573.30
20080127,0000,2575.07
20080128,0000,2573.98
20080129,0000,2574.14
20080130,0000,2573.44
20080131,0000,2573.09
20080201,0000,2572.70
20080202,0000,2573.71
20080203,0000,2574.95
20080204,0000,2574.79
20080205,0000,2574.45
20080206,0000,2574.12
20080207,0000,2573.98
20080208,0000,2573.14
20080209,0000,2571.79
20080210,0000,2571.18
20080211,0000,2570.93
20080212,0000,2570.67
20080213,0000,2571.18
20080214,0000,2572.71
20080215,0000,2573.51
20080216,0000,2574.10
20080217,0000,2575.74
20080218,0000,2575.30
20080219,0000,2573.09
20080220,0000,2569.95
20080221,0000,2567.34
20080222,0000,2562.84
20080223,0000,2560.95
20080224,0000,2560.23
20080225,0000,2558.26
20080226,0000,2555.59
20080227,0000,2554.21
20080228,0000,2552.79
20080229,0000,2550.22
20080301,0000,2550.40
20080302,0000,2549.78
20080303,0000,2549.89
20080304,0000,2550.37
20080305,0000,2550.79
20080306,0000,2551.40
20080307,0000,2552.00
20080308,0000,2550.99
20080309,0000,2550.37
20080310,0000,2551.25
20080311,0000,2550.01
20080312,0000,2549.88
20080313,0000,2550.32
20080314,0000,2550.34
20080315,0000,2550.62
20080316,0000,2551.43
20080317,0000,2550.25
20080318,0000,2548.41
20080319,0000,2548.19
20080320,0000,2547.78
20080321,0000,2548.24
20080322,0000,2549.90
20080323,0000,2553.46
20080324,0000,2555.02
20080325,0000,2557.41
20080326,0000,2558.97
20080327,0000,2561.19
20080328,0000,2564.54
20080329,0000,2566.19
20080330,0000,2567.49
20080331,0000,2568.08
20080401,0000,2569.62
20080402,0000,2571.44
20080403,0000,2573.02
20080404,0000,2574.56
20080405,0000,2575.77
20080406,0000,2576.54
20080407,0000,2575.14
20080408,0000,2574.59
20080409,0000,2573.89
20080410,0000,2573.00
20080411,0000,2571.84
20080412,0000,2571.97
20080413,0000,2572.20
20080414,0000,2570.60
20080415,0000,2571.00
20080416,0000,2571.55
20080417,0000,2572.69
20080418,0000,2573.26
20080419,0000,2574.49
20080420,0000,2575.71
20080421,0000,2575.18
20080422,0000,2575.03
20080423,0000,2574.53
20080424,0000,2574.59
20080425,0000,2574.47
20080426,0000,2574.14
20080427,0000,2574.70
20080428,0000,2573.85
20080429,0000,2572.49
20080430,0000,2572.82
20080501,0000,2571.38
20080502,0000,2571.11
20080503,0000,2572.44
20080504,0000,2573.89
20080505,0000,2574.30
20080506,0000,2573.88
20080507,0000,2573.62
20080508,0000,2573.91
20080509,0000,2573.67
20080510,0000,2575.59
20080511,0000,2577.45
20080512,0000,2575.70
20080513,0000,2575.26
20080514,0000,2574.85
20080515,0000,2573.14
20080516,0000,2573.19
20080517,0000,2572.92
20080518,0000,2572.10
20080519,0000,2571.87
20080520,0000,2571.08
20080521,0000,2571.05
20080522,0000,2570.73
20080523,0000,2570.35
20080524,0000,2570.85
20080525,0000,2572.56
