Date,Storage (af),
Oct-74,161770,
Nov-74,151850,
Dec-74,157930,
Jan-75,162770,
Feb-75,149100,
Mar-75,161150,
Apr-75,167330,
May-75,167720,
Jun-75,162520,
Jul-75,161020,
Aug-75,167590,
Sep-75,163700,
Oct-75,164540,
Nov-75,168230,
Dec-75,166310,
Jan-76,163650,
Feb-76,164160,
Mar-76,163020,
Apr-76,166570,
May-76,165170,
Jun-76,164410,
Jul-76,160650,
Aug-76,164410,
Sep-76,163290,
Oct-76,166570,
Nov-76,168100,
Dec-76,166190,
Jan-77,167460,
Feb-77,166820,
Mar-77,166440,
Apr-77,166060,
May-77,167080,
Jun-77,167590,
Jul-77,167590,
Aug-77,167330,
Sep-77,165300,
Oct-77,167080,
Nov-77,166820,
Dec-77,167840,
Jan-78,163280,
Feb-78,164030,
Mar-78,--,
Apr-78,169640,
May-78,165930,
Jun-78,161900,
Jul-78,165300,
Aug-78,165420,
Sep-78,166830,
Oct-78,165040,
Nov-78,166950,
Dec-78,160900,
Jan-79,164660,
Feb-79,165550,
Mar-79,166440,
Apr-79,168230,
May-79,159900,
Jun-79,168230,
Jul-79,164030,
Aug-79,164410,
Sep-79,168490,
Oct-79,165550,
Nov-79,165300,
Dec-79,164030,
Jan-80,166440,
Feb-80,168230,
Mar-80,169000,
Apr-80,160280,
May-80,163900,
Jun-80,165300,
Jul-80,129830,
Aug-80,130590,
Sep-80,131030,
Oct-80,131900,
Nov-80,137600,
Dec-80,142230,
Jan-81,165750,
Feb-81,160770,
Mar-81,165610,
Apr-81,163090,
May-81,163550,
Jun-81,159740,
Jul-81,157180,
Aug-81,165750,
Sep-81,159960,
Oct-81,164160,
Nov-81,165940,
Dec-81,153780,
Jan-82,161110,
Feb-82,165780,
Mar-82,160210,
Apr-82,164990,
May-82,166460,
Jun-82,158270,
Jul-82,153440,
Aug-82,156540,
Sep-82,151100,
Oct-82,163990,
Nov-82,155150,
Dec-82,153790,
Jan-83,161510,
Feb-83,161630,
Mar-83,158810,
Apr-83,158340,
May-83,162800,
Jun-83,153730,
Jul-83,157110,
Aug-83,156030,
Sep-83,132340,
Oct-83,138380,
Nov-83,143600,
Dec-83,153430,
Jan-84,157360,
Feb-84,154330,
Mar-84,153010,
Apr-84,162150,
May-84,154750,
Jun-84,159670,
Jul-84,157590,
Aug-84,154320,
Sep-84,164730,
Oct-84,161950,
Nov-84,153170,
Dec-84,153730,
Jan-85,152590,
Feb-85,153780,
Mar-85,163930,
Apr-85,158310,
May-85,158600,
Jun-85,162280,
Jul-85,161450,
Aug-85,161610,
Sep-85,158960,
Oct-85,162910,
Nov-85,161760,
Dec-85,160190,
Jan-86,159410,
Feb-86,164570,
Mar-86,167350,
Apr-86,161820,
May-86,162940,
Jun-86,162730,
Jul-86,160710,
Aug-86,166480,
Sep-86,166870,
Oct-86,164740,
Nov-86,166820,
Dec-86,163940,
Jan-87,156800,
Feb-87,163100,
Mar-87,163120,
Apr-87,164350,
May-87,160600,
Jun-87,162333,
Jul-87,157384,
Aug-87,162246,
Sep-87,164991,
Oct-87,161071,
Nov-87,163929,
Dec-87,160548,
Jan-88,161146,
Feb-88,163463,
Mar-88,165485,
Apr-88,158097,
May-88,162534,
Jun-88,163438,
Jul-88,163212,
Aug-88,162960,
Sep-88,165244,
Oct-88,162333,
Nov-88,158331,
Dec-88,157630,
Jan-89,163048,
Feb-89,159989,
Mar-89,157691,
Apr-89,165549,
May-89,160710,
Jun-89,161820,
Jul-89,166936,
Aug-89,153099,
Sep-89,160150,
Oct-89,165130,
Nov-89,155951,
Dec-89,157126,
Jan-90,161433,
Feb-90,160486,
Mar-90,158788,
Apr-90,161845,
May-90,164472,
Jun-90,158986,
Jul-90,162546,
Aug-90,155281,
Sep-90,162622,
Oct-90,165346,
Nov-90,157188,
Dec-90,163489,
Jan-91,160125,
Feb-91,166757,
Mar-91,168138,
Apr-91,165968,
May-91,161483,
Jun-91,165930,
Jul-91,163149,
Aug-91,163740,
Sep-91,164384,
Oct-91,164902,
Nov-91,143839,
Dec-91,144281,
Jan-92,159357,
Feb-92,162095,
Mar-92,161183,
Apr-92,163426,
May-92,166681,
Jun-92,162283,
Jul-92,159902,
Aug-92,164877,
