Date,Elevation
1/1/90,2571.01
1/2/90,2568.9
1/3/90,2566.13
1/4/90,2564.94
1/5/90,2566.37
1/6/90,2568.53
1/7/90,2570.51
1/8/90,2569.61
1/9/90,2569.38
1/10/90,2567.31
1/11/90,2565.92
1/12/90,2565.13
1/13/90,2567.18
1/14/90,2571.82
1/15/90,2571.39
1/16/90,2570.44
1/17/90,2570.13
1/18/90,2568.93
1/19/90,2566.6
1/20/90,2568.45
1/21/90,2570.9
1/22/90,2570.03
1/23/90,2568.52
1/24/90,2568
1/25/90,2567.84
1/26/90,2567.09
1/27/90,2569.59
1/28/90,2573.42
1/29/90,2571.68
1/30/90,2569.91
1/31/90,2571.33
2/1/90,2567.4
2/2/90,2566.7
2/3/90,2568.2
2/4/90,2571.5
2/5/90,2572.5
2/6/90,2572
2/7/90,2571.46
2/8/90,2569.15
2/9/90,2566.36
2/10/90,2568.3
2/11/90,2573.33
2/12/90,2572.81
2/13/90,2571.67
2/14/90,2571.47
2/15/90,2570.14
2/16/90,2569.55
2/17/90,2570.56
2/18/90,2574.28
2/19/90,2576
2/20/90,2576.2
2/21/90,2573.45
2/22/90,2572.73
2/23/90,2571.3
2/24/90,2573.78
2/25/90,2576.21
2/26/90,2574.07
2/27/90,2572.41
2/28/90,2570.57
3/1/90,2569.5
3/2/90,2568.05
3/3/90,2569.66
3/4/90,2571.52
3/5/90,2569.53
3/6/90,2568.85
3/7/90,2568.5
3/8/90,2566.97
3/9/90,2567.4
3/10/90,2567.8
3/11/90,2569.93
3/12/90,2570.02
3/13/90,2567.67
3/14/90,2567.12
3/15/90,2567.53
3/16/90,2567.39
3/17/90,2569.51
3/18/90,2572.14
3/19/90,2571.47
3/20/90,2570.4
3/21/90,2570.88
3/22/90,2569.85
3/23/90,2569.46
3/24/90,2569.47
3/25/90,2571.86
3/26/90,2569.73
3/27/90,2569.67
3/28/90,2569.35
3/29/90,2567.39
3/30/90,2567.66
3/31/90,2569.2
4/1/90,2570.82
4/2/90,2574.11
4/3/90,2574.52
4/4/90,2574.01
4/5/90,2573.92
4/6/90,2573.02
4/7/90,2574.71
4/8/90,2576.95
4/9/90,2575.28
4/10/90,2575.28
4/11/90,2574.17
4/12/90,2574.2
4/13/90,2573.94
4/14/90,2575.31
4/15/90,2576.58
4/16/90,2576.29
