3778,PST,'RESERVOIR STORAGE (af)'
19880104,0000,1325318
19880105,0000,m
19880106,0000,m
19880107,0000,m
19880108,0000,m
19880109,0000,m
19880110,0000,m
19880111,0000,1420115
19880112,0000,m
19880113,0000,m
19880114,0000,m
19880115,0000,m
19880116,0000,m
19880117,0000,m
19880118,0000,1489135
19880119,0000,m
19880120,0000,m
19880121,0000,m
19880122,0000,m
19880123,0000,m
19880124,0000,m
19880125,0000,1563554
19880126,0000,m
19880127,0000,m
19880128,0000,m
19880129,0000,m
19880130,0000,m
19880131,0000,m
19880201,0000,1617531
19880202,0000,m
19880203,0000,m
19880204,0000,1642155
19880205,0000,1649957
19880206,0000,1655877
19880207,0000,1661685
19880208,0000,1667618
19880209,0000,1673559
19880210,0000,1678199
19880211,0000,1683080
19880212,0000,1686178
19880213,0000,1690830
19880214,0000,m
19880215,0000,1703134
19880216,0000,m
19880217,0000,m
19880218,0000,1719428
19880219,0000,m
19880220,0000,m
19880221,0000,1729759
19880222,0000,1730962
19880223,0000,1730721
19880224,0000,m
19880225,0000,m
19880226,0000,m
19880227,0000,m
19880228,0000,m
19880229,0000,m
19880301,0000,m
19880302,0000,m
19880303,0000,m
19880304,0000,m
19880305,0000,m
19880306,0000,m
19880307,0000,1770933
19880308,0000,1770933
19880309,0000,m
19880310,0000,m
19880311,0000,m
19880312,0000,m
19880313,0000,m
19880314,0000,1790367
19880315,0000,1790367
19880316,0000,m
19880317,0000,m
19880318,0000,m
19880319,0000,m
19880320,0000,m
19880321,0000,1782706
19880322,0000,1782706
19880323,0000,m
19880324,0000,m
19880325,0000,m
19880326,0000,m
19880327,0000,m
19880328,0000,1787934
19880329,0000,1787934
19880330,0000,m
19880331,0000,m
19880401,0000,m
19880402,0000,m
19880403,0000,m
19880404,0000,1766086
19880405,0000,1766086
19880406,0000,m
19880407,0000,m
19880408,0000,m
19880409,0000,m
19880410,0000,m
19880411,0000,1757252
19880412,0000,1757252
19880413,0000,m
19880414,0000,1741558
19880415,0000,1741558
19880416,0000,m
19880417,0000,1744813
19880418,0000,1746140
19880419,0000,1751452
19880420,0000,1755439
19880421,0000,1762817
19880422,0000,1762817
19880423,0000,m
19880424,0000,m
19880425,0000,1804258
19880426,0000,1814273
19880427,0000,1814273
19880428,0000,m
19880429,0000,m
19880430,0000,m
19880501,0000,m
19880502,0000,1853540
19880503,0000,1853540
19880504,0000,1847754
19880505,0000,1847754
19880506,0000,m
19880507,0000,m
19880508,0000,m
19880509,0000,1833993
19880510,0000,1833993
19880511,0000,m
19880512,0000,m
19880513,0000,m
19880514,0000,m
19880515,0000,m
19880516,0000,1843819
19880517,0000,1843819
19880518,0000,m
19880519,0000,m
19880520,0000,m
19880521,0000,m
19880522,0000,m
19880523,0000,1808287
19880524,0000,1808287
19880525,0000,m
19880526,0000,m
19880527,0000,m
19880528,0000,m
19880529,0000,m
19880530,0000,1700743
19880531,0000,1685940
19880601,0000,1685940
19880602,0000,m
19880603,0000,m
19880604,0000,m
19880605,0000,1644282
19880606,0000,1630122
19880607,0000,1630122
19880608,0000,m
19880609,0000,m
19880610,0000,m
19880611,0000,m
19880612,0000,m
19880613,0000,1544660
19880614,0000,1544660
19880615,0000,m
19880616,0000,m
19880617,0000,m
19880618,0000,m
19880619,0000,m
19880620,0000,1390429
19880621,0000,1390429
19880622,0000,m
19880623,0000,m
19880624,0000,m
19880625,0000,m
19880626,0000,m
19880627,0000,1274679
19880628,0000,1274679
19880629,0000,m
19880630,0000,m
19880701,0000,m
19880702,0000,m
19880703,0000,m
19880704,0000,1174989
19880705,0000,1174989
19880706,0000,m
19880707,0000,m
19880708,0000,m
19880709,0000,m
19880710,0000,m
19880711,0000,1067043
19880712,0000,1067043
19880713,0000,m
19880714,0000,m
19880715,0000,m
19880716,0000,m
19880717,0000,m
19880718,0000,914070
19880719,0000,914070
19880720,0000,m
19880721,0000,860516
19880722,0000,860516
19880723,0000,m
19880724,0000,m
19880725,0000,804067
19880726,0000,786834
19880727,0000,786834
19880728,0000,m
19880729,0000,m
19880730,0000,m
19880731,0000,m
19880801,0000,672293
19880802,0000,672293
19880803,0000,m
19880804,0000,m
19880805,0000,m
19880806,0000,m
19880807,0000,612629
19880808,0000,604048
19880809,0000,604048
19880810,0000,588684
19880811,0000,584451
19880812,0000,584451
19880813,0000,m
19880814,0000,551492
19880815,0000,537047
19880816,0000,530558
19880817,0000,530558
19880818,0000,512449
19880819,0000,500742
19880820,0000,493331
19880821,0000,485883
19880822,0000,476556
19880823,0000,469127
19880824,0000,469127
19880825,0000,m
19880826,0000,m
19880827,0000,m
19880828,0000,m
19880829,0000,435826
19880830,0000,435826
19880831,0000,423039
19880901,0000,416077
19880902,0000,408287
19880903,0000,400406
19880904,0000,400118
19880905,0000,399830
19880906,0000,398822
19880907,0000,398247
19880908,0000,397600
19880909,0000,397600
19880910,0000,m
19880911,0000,401343
19880912,0000,401127
19880913,0000,404592
19880914,0000,407054
19880915,0000,409012
19880916,0000,409012
19880917,0000,417247
19880918,0000,417247
19880919,0000,425688
19880920,0000,430931
19880921,0000,438206
19880922,0000,442234
19880923,0000,442234
19880924,0000,450556
19880925,0000,458330
19880926,0000,460679
19880927,0000,466152
19880928,0000,466152
19880929,0000,480325
19880930,0000,480325
19881001,0000,492475
19881002,0000,492475
19881003,0000,496524
19881004,0000,498163
19881005,0000,501681
19881006,0000,508274
19881007,0000,509612
19881008,0000,510793
19881009,0000,512134
19881010,0000,513239
19881011,0000,514582
19881012,0000,521236
19881013,0000,528401
19881014,0000,533598
19881015,0000,539136
19881016,0000,547362
19881017,0000,550357
19881018,0000,552141
19881019,0000,552060
19881020,0000,552060
19881021,0000,m
19881022,0000,538895
19881023,0000,538493
19881024,0000,535522
19881025,0000,531277
19881026,0000,531277
19881027,0000,522587
19881028,0000,517905
19881029,0000,517430
19881030,0000,516954
19881031,0000,516875
19881101,0000,513081
19881102,0000,509060
19881103,0000,509060
19881104,0000,m
19881105,0000,522905
19881106,0000,530078
19881107,0000,532637
19881108,0000,532317
19881109,0000,531997
19881110,0000,534560
19881111,0000,534560
19881112,0000,m
19881113,0000,m
19881114,0000,543163
19881115,0000,543001
19881116,0000,547038
19881117,0000,547038
19881118,0000,558076
19881119,0000,562644
19881120,0000,575774
19881121,0000,582050
19881122,0000,590014
19881123,0000,595763
19881124,0000,595763
19881125,0000,m
19881126,0000,612882
19881127,0000,625840
19881128,0000,630438
19881129,0000,642931
19881130,0000,658461
19881201,0000,674390
19881202,0000,687025
19881203,0000,687025
19881204,0000,694171
19881205,0000,698684
19881206,0000,702676
19881207,0000,703830
19881208,0000,706586
19881209,0000,709258
19881210,0000,709703
19881211,0000,715952
19881212,0000,717115
19881213,0000,720159
19881214,0000,722850
19881215,0000,722580
19881216,0000,733287
19881217,0000,744325
19881218,0000,744325
19881219,0000,751299
19881220,0000,751299
19881221,0000,m
19881222,0000,757213
19881223,0000,756940
19881224,0000,757486
19881225,0000,757486
19881226,0000,779277
19881227,0000,793860
19881228,0000,813571
19881229,0000,830154
19881230,0000,842027
19881231,0000,854053
19890101,0000,m
19890102,0000,890379
19890103,0000,m
19890104,0000,913682
19890105,0000,927116
19890106,0000,935717
19890107,0000,938655
19890108,0000,950045
19890109,0000,955856
19890110,0000,968306
19890111,0000,982699
19890112,0000,994564
19890113,0000,1001365
19890114,0000,1011495
19890115,0000,1031250
19890116,0000,1037019
19890117,0000,m
19890118,0000,m
19890119,0000,1067964
19890120,0000,1076669
19890121,0000,1086941
19890122,0000,1103338
19890123,0000,1108614
19890124,0000,1118568
19890125,0000,1130218
19890126,0000,1140966
19890127,0000,1150594
19890128,0000,1158357
19890129,0000,1168980
19890130,0000,1174883
19890131,0000,1180796
19890201,0000,1176361
19890202,0000,1169612
19890203,0000,1161299
19890204,0000,1159618
19890205,0000,1161614
19890206,0000,1156153
19890207,0000,1160669
19890208,0000,1169928
19890209,0000,1171509
19890210,0000,1179211
19890211,0000,1191272
19890212,0000,1211887
19890213,0000,1218285
19890214,0000,1225550
19890215,0000,m
19890216,0000,1224908
19890217,0000,m
19890218,0000,m
19890219,0000,1224267
19890220,0000,1224160
19890221,0000,1224908
19890222,0000,1225015
19890223,0000,1219032
19890224,0000,m
19890225,0000,m
19890226,0000,m
19890227,0000,1206989
19890228,0000,m
19890301,0000,m
19890302,0000,m
19890303,0000,m
19890304,0000,m
19890305,0000,m
19890306,0000,1259206
19890307,0000,m
19890308,0000,m
19890309,0000,m
19890310,0000,m
19890311,0000,m
19890312,0000,m
19890313,0000,1346905
19890314,0000,m
19890315,0000,m
19890316,0000,m
19890317,0000,m
19890318,0000,1391099
19890319,0000,m
19890320,0000,1412814
19890321,0000,m
19890322,0000,m
19890323,0000,m
19890324,0000,m
19890325,0000,m
19890326,0000,1458285
19890327,0000,1465437
19890328,0000,m
19890329,0000,m
19890330,0000,m
19890331,0000,m
19890401,0000,1496910
19890402,0000,1507910
19890403,0000,1515489
19890404,0000,1519628
19890405,0000,1524692
19890406,0000,1529993
19890407,0000,1530800
19890408,0000,1535300
19890409,0000,1539920
19890410,0000,1543156
19890411,0000,1547321
19890412,0000,1548016
19890413,0000,1542231
19890414,0000,1535300
19890415,0000,1532992
19890416,0000,1532184
19890417,0000,1525499
19890418,0000,1522505
19890419,0000,1525499
19890420,0000,1528379
19890421,0000,1528033
19890422,0000,1526996
19890423,0000,1523656
19890424,0000,1521929
19890425,0000,1522390
19890426,0000,1526075
19890427,0000,1529186
19890428,0000,1530108
19890429,0000,1530570
19890430,0000,1529993
19890501,0000,1526881
19890502,0000,1510550
19890503,0000,1496567
19890504,0000,1477839
19890505,0000,1466687
19890506,0000,1451144
19890507,0000,1446277
19890508,0000,1427204
19890509,0000,1409673
19890510,0000,1393109
19890511,0000,1377056
19890512,0000,1371941
19890513,0000,1371052
19890514,0000,1370164
19890515,0000,1369275
19890516,0000,1368498
19890517,0000,1364392
19890518,0000,1362729
19890519,0000,1357189
19890520,0000,1351878
19890521,0000,1350993
19890522,0000,1339954
19890523,0000,1331474
19890524,0000,1325428
19890525,0000,1319062
19890526,0000,1312815
19890527,0000,1307673
19890528,0000,1302646
19890529,0000,1297189
19890530,0000,1286951
19890531,0000,1276306
19890601,0000,1263312
19890602,0000,1245947
19890603,0000,1228973
19890604,0000,1207414
19890605,0000,1186401
19890606,0000,1162771
19890607,0000,1138250
19890608,0000,1117634
19890609,0000,1096006
19890610,0000,1075131
19890611,0000,1057955
19890612,0000,1037829
19890613,0000,1019040
19890614,0000,1001966
19890615,0000,981306
19890616,0000,957237
19890617,0000,935521
19890618,0000,924190
19890619,0000,899444
19890620,0000,871292
19890621,0000,851776
19890622,0000,835518
19890623,0000,815626
19890624,0000,795156
19890625,0000,780290
19890626,0000,758580
19890627,0000,738617
19890628,0000,716936
19890629,0000,694348
19890630,0000,671333
19890701,0000,661323
19890702,0000,650851
19890703,0000,637272
19890704,0000,628563
19890705,0000,614993
19890706,0000,602706
19890707,0000,588933
19890708,0000,573468
19890709,0000,559624
19890710,0000,542437
19890711,0000,522507
19890712,0000,507723
19890713,0000,494966
19890714,0000,479863
19890715,0000,455758
19890716,0000,432264
19890717,0000,414836
19890718,0000,398175
19890719,0000,384743
19890720,0000,369517
19890721,0000,357761
19890722,0000,347237
19890723,0000,341006
19890724,0000,334029
19890725,0000,326905
19890726,0000,315370
19890727,0000,303985
19890728,0000,290654
19890729,0000,281869
19890730,0000,276921
19890731,0000,268174
19890801,0000,259473
19890802,0000,250703
19890803,0000,243238
19890804,0000,235510
19890805,0000,227882
19890806,0000,225458
19890807,0000,218135
19890808,0000,210015
19890809,0000,204008
19890810,0000,198019
19890811,0000,197309
19890812,0000,197037
19890813,0000,196710
19890814,0000,192158
19890815,0000,186958
19890816,0000,179140
19890817,0000,174146
19890818,0000,171415
19890819,0000,168192
19890820,0000,167277
19890821,0000,162580
19890822,0000,161978
19890823,0000,161477
19890824,0000,160927
19890825,0000,164290
19890826,0000,166566
19890827,0000,171312
19890828,0000,174508
19890829,0000,177938
19890830,0000,182662
19890831,0000,188453
19890901,0000,193454
19890902,0000,197964
19890903,0000,204616
19890904,0000,209288
19890905,0000,212932
19890906,0000,216433
19890907,0000,222128
19890908,0000,227825
19890909,0000,230317
19890910,0000,239981
19890911,0000,241815
19890912,0000,243772
19890913,0000,246810
19890914,0000,251545
19890915,0000,258317
19890916,0000,264361
19890917,0000,273931
19890918,0000,278609
19890919,0000,282938
19890920,0000,288876
19890921,0000,295627
19890922,0000,301662
19890923,0000,309887
19890924,0000,323264
19890925,0000,327834
19890926,0000,333962
19890927,0000,341073
19890928,0000,348811
19890929,0000,356724
19890930,0000,364771
19891001,0000,374005
19891002,0000,379501
19891003,0000,386164
19891004,0000,393655
19891005,0000,401127
19891006,0000,409448
19891007,0000,417466
19891008,0000,426499
19891009,0000,433524
19891010,0000,439696
19891011,0000,446950
19891012,0000,453192
19891013,0000,458481
19891014,0000,463412
19891015,0000,466228
19891016,0000,469661
19891017,0000,477247
19891018,0000,482329
19891019,0000,489679
19891020,0000,498163
19891021,0000,508195
19891022,0000,520680
19891023,0000,527045
19891024,0000,536806
19891025,0000,548575
19891026,0000,557343
19891027,0000,568292
19891028,0000,576763
19891029,0000,592678
19891030,0000,599691
19891031,0000,605895
19891101,0000,612207
19891102,0000,618967
19891103,0000,622528
19891104,0000,632059
19891105,0000,646370
19891106,0000,655257
19891107,0000,666712
19891108,0000,677278
19891109,0000,683946
19891110,0000,692492
19891111,0000,702409
19891112,0000,711397
19891113,0000,720966
19891114,0000,730582
19891115,0000,741605
19891116,0000,749664
19891117,0000,756029
19891118,0000,763965
19891119,0000,773121
19891120,0000,777898
19891121,0000,784066
19891122,0000,790252
19891123,0000,802858
19891124,0000,807696
19891125,0000,817776
19891126,0000,830248
19891127,0000,837780
19891128,0000,848649
19891129,0000,859279
19891130,0000,870050
19891201,0000,880483
19891202,0000,891246
19891203,0000,907280
19891204,0000,917277
19891205,0000,927604
19891206,0000,940321
19891207,0000,952999
19891208,0000,96415008
19891209,0000,97574208
19891210,0000,992766
19891211,0000,997363
19891212,0000,1003669
19891213,0000,1015919
19891214,0000,1025896
19891215,0000,103600608
19891216,0000,104716496
19891217,0000,1061118
19891218,0000,1068680
19891219,0000,107769504
19891220,0000,108642592
19891221,0000,109538704
19891222,0000,110519904
19891223,0000,111618096
19891224,0000,113491008
19891225,0000,1152586
19891226,0000,1161194
19891227,0000,1172141
19891228,0000,1186824
19891229,0000,1197211
19891230,0000,1209543
19891231,0000,1228224
19900101,0000,1245194
19900102,0000,1254673
19900103,0000,1264609
19900104,0000,1277716
19900105,0000,1291304
19900106,0000,1306033
19900107,0000,1320817
19900108,0000,1326087
19900109,0000,1338190
19900110,0000,1349335
19900111,0000,1360290
19900112,0000,1369497
19900113,0000,1378169
19900114,0000,1393779
19900115,0000,1402054
19900116,0000,1411916
19900117,0000,1425740
19900118,0000,1438367
19900119,0000,1451711
19900120,0000,1462370
19900121,0000,1477156
19900122,0000,1484796
19900123,0000,1492792
19900124,0000,1502063
19900125,0000,1511698
19900126,0000,1519973
19900127,0000,1526535
19900128,0000,1533915
19900129,0000,1539804
19900130,0000,1546511
19900131,0000,1554851
19900201,0000,1563322
19900202,0000,1570645
19900203,0000,1575883
19900204,0000,1580194
19900205,0000,1584509
19900206,0000,1589880
19900207,0000,1594321
19900208,0000,1599469
19900209,0000,1605236
19900210,0000,1610603
19900211,0000,1613537
19900212,0000,1615182
19900213,0000,1620587
19900214,0000,1622234
19900215,0000,1624469
19900216,0000,1628119
19900217,0000,1630357
19900218,0000,1633658
19900219,0000,1641446
19900220,0000,1647946
19900221,0000,1652443
19900222,0000,1653745
19900223,0000,1653745
19900224,0000,165433696
19900225,0000,165706096
19900226,0000,1656943
19900227,0000,1659787
19900228,0000,1659787
19900301,0000,1659550
19900302,0000,1663464
19900303,0000,1673084
19900304,0000,1684391
19900305,0000,1687490
19900306,0000,1690949
19900307,0000,1696321
19900308,0000,1703613
19900309,0000,1711874
19900310,0000,1717149
19900311,0000,1724231
19900312,0000,1728797
19900313,0000,1733609
19900314,0000,1739027
19900315,0000,1745778
19900316,0000,175278000
19900317,0000,175870304
19900318,0000,1773237
19900319,0000,1777362
19900320,0000,1784043
19900321,0000,1786110
19900322,0000,1793045
19900323,0000,180011200
19900324,0000,180608896
19900325,0000,1815007
19900326,0000,1818065
19900327,0000,1823328
19900328,0000,1829332
19900329,0000,1834238
19900330,0000,183706208
19900331,0000,183878096
19900401,0000,184960000
19900402,0000,1852555
19900403,0000,1856743
19900404,0000,1862908
19900405,0000,1870192
19900406,0000,187464192
19900407,0000,1877363
19900408,0000,1884790
19900409,0000,1887888
19900410,0000,1894337
19900411,0000,1898682
19900412,0000,1902534
19900413,0000,1902161
19900414,0000,1901167
19900415,0000,1907134
19900416,0000,1908378
19900417,0000,1908627
19900418,0000,1910991
19900419,0000,1915225
19900420,0000,1919213
19900421,0000,1925199
19900422,0000,1934567
19900423,0000,1939569
19900424,0000,1949337
19900425,0000,1958619
19900426,0000,1965403
19900427,0000,1971943
19900428,0000,1974460
19900429,0000,1975719
19900430,0000,1971565
19900501,0000,1963643
19900502,0000,1951092
19900503,0000,1937943
19900504,0000,1925324
19900505,0000,1907507
19900506,0000,1902161
19900507,0000,1888880
19900508,0000,1872046
19900509,0000,1855387
19900510,0000,1839149
19900511,0000,1826635
19900512,0000,1814640
19900513,0000,1811951
19900514,0000,1798527
19900515,0000,1785623
19900516,0000,1776027
19900517,0000,1767055
19900518,0000,1760638
19900519,0000,1753988
19900520,0000,1749520
19900521,0000,1739630
19900522,0000,1730721
19900523,0000,1722189
19900524,0000,1711155
19900525,0000,1698591
19900526,0000,1686894
19900527,0000,1682485
19900528,0000,1677128
19900529,0000,1676771
19900530,0000,1673894
19900531,0000,1672133
19900601,0000,1669281
19900602,0000,1668212
19900603,0000,1668450
19900604,0000,1663939
19900605,0000,1655758
19900606,0000,1636960
19900607,0000,1623881
19900608,0000,1611307
19900609,0000,1597246
19900610,0000,1584043
19900611,0000,1572274
19900612,0000,1557286
19900613,0000,1538418
19900614,0000,1518363
19900615,0000,1498742
19900616,0000,1479435
19900617,0000,1465778
19900618,0000,1445146
19900619,0000,1428105
19900620,0000,m
19900621,0000,m
19900622,0000,m
19900623,0000,m
19900624,0000,m
19900625,0000,1301117
19900626,0000,1277825
19900627,0000,1255860
19900628,0000,1236901
19900629,0000,1214232
19900630,0000,m
19900701,0000,m
19900702,0000,1162140
19900703,0000,m
19900704,0000,m
19900705,0000,1109236
19900706,0000,1084575
19900707,0000,1066634
19900708,0000,1054388
19900709,0000,1040769
19900710,0000,1034589
19900711,0000,1016120
19900712,0000,998563
19900713,0000,983893
19900714,0000,965930
19900715,0000,955265
19900716,0000,937969
19900717,0000,917666
19900718,0000,899734
19900719,0000,881250
19900720,0000,861944
19900721,0000,841272
19900722,0000,829120
19900723,0000,807882
19900724,0000,795990
19900725,0000,786557
19900726,0000,744406
19900727,0000,760130
19900728,0000,746308
19900729,0000,740609
19900730,0000,723837
19900731,0000,709258
19900801,0000,695763
19900802,0000,680346
19900803,0000,666103
19900804,0000,650679
19900805,0000,638386
19900806,0000,623886
19900807,0000,610606
19900808,0000,599273
19900809,0000,587189
19900810,0000,575279
19900811,0000,565507
19900812,0000,554577
19900813,0000,543001
19900814,0000,527523
19900815,0000,516480
19900816,0000,589060
19900817,0000,502230
19900818,0000,495667
19900819,0000,493409
19900820,0000,490300
19900821,0000,488361
19900822,0000,486734
19900823,0000,488904
19900824,0000,257438
19900825,0000,487741
19900826,0000,485960
19900827,0000,481866
19900828,0000,483950
19900829,0000,487431
19900830,0000,490688
19900831,0000,490766
19900901,0000,489757
19900902,0000,488051
19900903,0000,485806
19900904,0000,485110
19900905,0000,486966
19900906,0000,489059
19900907,0000,m
19900908,0000,494420
19900909,0000,494031
19900910,0000,496992
19900911,0000,497773
19900912,0000,498319
19900913,0000,495979
19900914,0000,493720
19900915,0000,m
19900916,0000,494810
19900917,0000,489524
19900918,0000,486270
19900919,0000,484955
19900920,0000,485806
19900921,0000,485651
19900922,0000,485419
19900923,0000,487973
19900924,0000,488981
19900925,0000,487973
19900926,0000,486579
19900927,0000,485496
19900928,0000,484800
19900929,0000,488283
19900930,0000,488128
19901001,0000,488438
19901002,0000,487044
19901003,0000,482792
19901004,0000,481172
19901005,0000,476248
19901006,0000,476018
19901007,0000,473947
19901008,0000,463717
19901009,0000,453720
