Date,Storage (af)
Oct-68,619400
Nov-68,844940
Dec-68,1025100
Jan-69,1345140
Feb-69,1600780
Mar-69,1798510
Apr-69,1923100
May-69,2009570
Jun-69,2003740
Jul-69,1996280
Aug-69,1988830
Sep-69,1981260
Oct-69,1976470
Nov-69,1956850
Dec-69,1964390
Jan-70,1975840
Feb-70,1998680
Mar-70,1988200
Apr-70,2009320
May-70,1959870
Jun-70,1901760
Jul-70,1801430
Aug-70,1728460
Sep-70,1719600
Oct-70,1714060
Nov-70,1767660
Dec-70,1858930
Jan-71,1921310
Feb-71,1936550
Mar-71,1954100
Apr-71,1980250
May-71,1977730
Jun-71,1925430
Jul-71,1832610
Aug-71,1755560
Sep-71,1736160
Oct-71,1795590
Nov-71,1877800
Dec-71,1949320
Jan-72,1927800
Feb-72,1875840
Mar-72,1895550
Apr-72,1972940
May-72,1961750
Jun-72,1750140
Jul-72,1441860
Aug-72,1333900
Sep-72,1481580
Oct-72,1670030
Nov-72,1796560
Dec-72,1932430
Jan-73,2015140
Feb-73,2019080
Mar-73,2023520
Apr-73,2019200
May-73,1984410
Jun-73,1902380
Jul-73,1708900
Aug-73,1604650
Sep-73,1690860
Oct-73,1840090
Nov-73,1959360
Dec-73,1984290
Jan-74,1988320
Feb-74,1992110
Mar-74,2011090
Apr-74,2019200
May-74,2026690
Jun-74,2001590
Jul-74,1932300
Aug-74,1855100
Sep-74,1852390
Oct-74,1944940
Nov-74,1940680
Dec-74,1938050
Jan-75,1936800
Feb-75,1997800
Mar-75,1998900
Apr-75,2003110
May-75,1841200
Jun-75,1443660
Jul-75,1046400
Aug-75,907170
Sep-75,1031600
Oct-75,1219250
Nov-75,1520190
Dec-75,1722580
Jan-76,1777700
Feb-76,1864720
Mar-76,1936800
Apr-76,1859670
May-76,1684540
Jun-76,1279350
Jul-76,709890
Aug-76,499890
Sep-76,677810
Oct-76,808350
Nov-76,940030
Dec-76,849680
Jan-77,1100330
Feb-77,1165700
Mar-77,1203580
Apr-77,1133020
May-77,1169180
Jun-77,905200
Jul-77,552300
Aug-77,293000
Sep-77,274200
Oct-77,202800
Nov-77,292880
Dec-77,563210
Jan-78,1108500
Feb-78,1617910
Mar-78,1879430
Apr-78,2015900
May-78,2018400
Jun-78,1987800
Jul-78,1751900
Aug-78,1541800
Sep-78,1718900
Oct-78,1752400
Nov-78,1852400
Dec-78,1926100
Jan-79,2019200
Feb-79,2021700
Mar-79,2021700
Apr-79,2027700
May-79,1912300
Jun-79,1544800
Jul-79,1243700
Aug-79,1068900
Sep-79,1212700
Oct-79,1369800
Nov-79,1454000
Dec-79,1375400
Jan-80,1556700
Feb-80,1774900
Mar-80,1923300
Apr-80,1965600
May-80,1987100
Jun-80,1756700
Jul-80,1522951
Aug-80,1351986
Sep-80,1483179
Oct-80,1616591
Nov-80,1738184
Dec-80,1767418
Jan-81,1990048
Feb-81,2005641
Mar-81,2026692
Apr-81,2014635
May-81,1687728
Jun-81,1078310
Jul-81,514265
Aug-81,258742
Sep-81,263381
Oct-81,261485
Nov-81,214454
Dec-81,79267
Jan-82,81248
Feb-82,249922
Mar-82,642244
Apr-82,1064590
May-82,1064794
Jun-82,761682
Jul-82,307807
Aug-82,63452
Sep-82,23476
Oct-82,54306
Nov-82,191458
Dec-82,464401
Jan-83,1002166
Feb-83,1545817
Mar-83,1869451
Apr-83,1997798
May-83,2022628
Jun-83,2018186
Jul-83,1913232
Aug-83,1856743
Sep-83,1939820
Oct-83,1998430
Nov-83,1975215
Dec-83,1888384
Jan-84,1885162
Feb-84,1957113
Mar-84,2013241
Apr-84,1995018
May-84,1704091
Jun-84,1298825
Jul-84,852802
Aug-84,800071
Sep-84,812264
Oct-84,958914
Nov-84,1280213
Dec-84,1572041
Jan-85,1750123
Feb-85,1795846
Mar-85,1844433
Apr-85,1791341
May-85,1539573
Jun-85,1112344
Jul-85,727162
Aug-85,603209
Sep-85,762777
Oct-85,922435
Nov-85,1165085
Dec-85,1595959
Jan-86,1868710
Feb-86,1974334
Mar-86,2024787
Apr-86,2025803
May-86,1977482
Jun-86,1704450
Jul-86,1389871
Aug-86,1248961
Sep-86,1481259
