Date,Elevation
1/1/90,317.65
1/2/90,317.65
1/3/90,317.62
1/4/90,317.61
1/5/90,317.61
1/6/90,317.61
1/7/90,317.64
1/8/90,317.65
1/9/90,317.65
1/10/90,317.63
1/11/90,317.6
1/12/90,317.65
1/13/90,317.65
1/14/90,317.68
1/15/90,317.69
1/16/90,317.65
1/17/90,317.65
1/18/90,317.64
1/19/90,317.63
1/20/90,317.63
1/21/90,317.62
1/22/90,317.61
1/23/90,317.61
1/24/90,317.6
1/25/90,317.6
1/26/90,317.62
1/27/90,317.6
1/28/90,317.6
1/29/90,317.63
1/30/90,317.61
1/31/90,317.61
2/1/90,317.61
2/2/90,317.59
2/3/90,317.61
2/4/90,317.61
2/5/90,317.6
2/6/90,317.6
2/7/90,317.58
2/8/90,317.6
2/9/90,317.6
2/10/90,317.61
2/11/90,317.6
2/12/90,317.62
2/13/90,317.56
2/14/90,317.51
2/15/90,317.51
2/16/90,317.56
2/17/90,317.6
2/18/90,317.67
2/19/90,317.71
2/20/90,317.74
2/21/90,317.74
2/22/90,317.77
2/23/90,317.8
2/24/90,317.81
2/25/90,317.82
2/26/90,317.83
2/27/90,317.82
2/28/90,317.81
3/1/90,317.79
3/2/90,317.81
3/3/90,317.85
3/4/90,317.81
3/5/90,317.8
3/6/90,317.81
3/7/90,317.81
3/8/90,317.8
3/9/90,317.8
3/10/90,317.78
3/11/90,317.76
3/12/90,317.75
3/13/90,317.76
3/14/90,317.77
3/15/90,317.77
3/16/90,317.81
3/17/90,317.83
3/18/90,317.82
3/19/90,317.82
3/20/90,317.82
3/21/90,317.84
3/22/90,317.82
3/23/90,317.81
3/24/90,317.81
3/25/90,317.76
3/26/90,317.75
3/27/90,317.75
3/28/90,317.72
3/29/90,317.71
3/30/90,317.7
3/31/90,317.7
4/1/90,317.7
4/2/90,317.69
4/3/90,317.71
4/4/90,317.68
4/5/90,317.64
4/6/90,317.61
4/7/90,317.58
4/8/90,317.58
4/9/90,317.6
4/10/90,317.67
4/11/90,317.68
4/12/90,317.68
4/13/90,317.7
4/14/90,317.64
4/15/90,317.62
4/16/90,317.57
4/17/90,317.57
4/18/90,317.56
4/19/90,317.55
4/20/90,317.53
4/21/90,317.51
4/22/90,317.49
4/23/90,317.45
4/24/90,317.46
4/25/90,317.48
4/26/90,317.48
4/27/90,317.48
4/28/90,317.43
4/29/90,317.37
4/30/90,317.35
5/1/90,317.35
5/2/90,317.36
5/3/90,317.36
5/4/90,317.36
5/5/90,317.36
5/6/90,317.34
5/7/90,317.28
5/8/90,317.25
5/9/90,317.16
5/10/90,317.13
5/11/90,317.1
5/12/90,317.09
5/13/90,317.09
5/14/90,317.02
5/15/90,317.03
5/16/90,317.03
5/17/90,316.96
5/18/90,316.91
5/19/90,316.89
5/20/90,316.89
5/21/90,316.89
5/22/90,316.88
5/23/90,316.86
5/24/90,316.86
5/25/90,316.84
5/26/90,316.85
5/27/90,316.83
5/28/90,316.85
5/29/90,316.86
5/30/90,316.83
5/31/90,316.81
6/1/90,316.82
6/2/90,316.84
6/3/90,316.85
6/4/90,316.83
6/5/90,316.82
6/6/90,316.8
6/7/90,316.8
6/8/90,316.81
6/9/90,316.78
6/10/90,316.72
6/11/90,316.74
6/12/90,316.7
6/13/90,316.7
6/14/90,316.6
6/15/90,316.57
6/16/90,316.58
6/17/90,316.56
6/18/90,316.53
6/19/90,316.57
6/20/90,316.59
6/21/90,316.52
6/22/90,316.49
6/23/90,316.48
6/24/90,316.44
6/25/90,316.43
6/26/90,316.41
6/27/90,316.37
6/28/90,316.35
6/29/90,316.34
6/30/90,316.33
7/1/90,316.29
7/2/90,316.24
7/3/90,316.19
7/4/90,316.16
7/5/90,316.13
7/6/90,316.11
7/7/90,316.1
7/8/90,316.07
7/9/90,316.06
7/10/90,316.07
7/11/90,316.07
7/12/90,316.07
7/13/90,316.05
7/14/90,316.05
7/15/90,315.93
7/16/90,315.88
7/17/90,315.88
7/18/90,315.85
7/19/90,315.85
7/20/90,315.85
7/21/90,315.82
7/22/90,315.76
7/23/90,315.7
7/24/90,315.62
7/25/90,315.58
7/26/90,315.54
7/27/90,315.52
7/28/90,315.5
7/29/90,315.48
7/30/90,315.46
7/31/90,315.43
8/1/90,315.41
8/2/90,315.37
8/3/90,315.34
8/4/90,315.33
8/5/90,315.32
8/6/90,315.3
8/7/90,315.26
8/8/90,315.26
8/9/90,315.23
8/10/90,315.2
8/11/90,315.18
8/12/90,315.14
8/13/90,315.1
8/14/90,315.05
8/15/90,315
8/16/90,315
8/17/90,314.96
8/18/90,314.93
8/19/90,314.91
8/20/90,314.88
8/21/90,314.87
8/22/90,314.86
8/23/90,314.84
8/24/90,314.77
8/25/90,314.74
8/26/90,314.72
8/27/90,314.71
8/28/90,314.71
8/29/90,314.69
8/30/90,314.66
8/31/90,314.65
9/1/90,314.62
9/2/90,314.6
9/3/90,314.56
9/4/90,314.55
9/5/90,314.53
9/6/90,314.52
9/7/90,314.5
9/8/90,314.48
9/9/90,314.47
9/10/90,314.46
9/11/90,314.43
9/12/90,314.4
9/13/90,314.37
9/14/90,314.34
9/15/90,314.33
9/16/90,314.32
9/17/90,314.28
9/18/90,314.26
9/19/90,314.25
9/20/90,314.25
