Date,Storage (af)
Oct-54,1000
Nov-54,835
Dec-54,859
Jan-55,859
Feb-55,970
Mar-55,1270
Apr-55,3500
May-55,7156
Jun-55,8490
Jul-55,7224
Aug-55,5982
Sep-55,2520
Oct-55,830
Nov-55,512
Dec-55,--
Jan-56,--
Feb-56,--
Mar-56,--
Apr-56,--
May-56,--
Jun-56,8390
Jul-56,8460
Aug-56,7086
Sep-56,3800
Oct-56,1290
Nov-56,840
Dec-56,--
Jan-57,--
Feb-57,--
Mar-57,--
Apr-57,--
May-57,8300
Jun-57,8590
Jul-57,7317
Aug-57,5268
Sep-57,1990
Oct-57,714
Nov-57,456
Dec-57,512
Jan-58,--
Feb-58,--
Mar-58,--
Apr-58,--
May-58,--
Jun-58,8440
Jul-58,8340
Aug-58,7086
Sep-58,3750
Oct-58,1150
Nov-58,--
Dec-58,--
Jan-59,--
Feb-59,--
Mar-59,--
Apr-59,5311
May-59,8590
Jun-59,7790
Jul-59,6856
Aug-59,5755
Sep-59,2650
Oct-59,859
Nov-59,743
Dec-59,--
Jan-60,--
Feb-60,--
Mar-60,--
Apr-60,--
May-60,8590
Jun-60,7890
Jul-60,6626
Aug-60,5575
Sep-60,--
Oct-60,888
Nov-60,--
Dec-60,--
Jan-61,--
Feb-61,--
Mar-61,--
Apr-61,5182
May-61,8590
Jun-61,8090
Jul-61,6718
Aug-61,4068
Sep-61,1450
Oct-61,344
Nov-61,89
Dec-61,--
Jan-62,156
Feb-62,--
Mar-62,--
Apr-62,--
May-62,4930
Jun-62,8590
Jul-62,7646
Aug-62,6212
Sep-62,2100
Oct-62,3018
Nov-62,1300
Dec-62,1690
Jan-63,1720
Feb-63,3840
Mar-63,3764
Apr-63,1000
May-63,7364
Jun-63,8590
Jul-63,7740
Aug-63,6350
Sep-63,2665
Oct-63,1690
Nov-63,1784
Dec-63,--
Jan-64,1004
Feb-64,484
Mar-64,1180
Apr-64,4068
May-64,8590
Jun-64,8540
Jul-64,7432
Aug-64,5990
Sep-64,3125
Oct-64,1720
Nov-64,859
Dec-64,--
Jan-65,3164
Feb-65,2520
Mar-65,--
Apr-65,4220
May-65,4532
Jun-65,8490
Jul-65,8240
Aug-65,8040
Sep-65,5225
Oct-65,2176
Nov-65,1240
Dec-65,--
Jan-66,--
Feb-66,--
Mar-66,1240
Apr-66,5982
May-66,8340
Jun-66,7740
Jul-66,6534
Aug-66,5397
Sep-66,3800
Oct-66,2802
Nov-66,2312
Dec-66,1912
Jan-67,1660
Feb-67,1660
Mar-67,3423
Apr-67,--
May-67,4770
Jun-67,7505
Jul-67,8540
Aug-67,7270
Sep-67,2620
Oct-67,1450
Nov-67,975
Dec-67,0
Jan-68,--
Feb-68,--
Mar-68,--
Apr-68,4571
May-68,8290
Jun-68,8240
Jul-68,6580
Aug-68,5620
Sep-68,1816
Oct-68,540
Nov-68,2575
Dec-68,2838
Jan-69,--
Feb-69,--
Mar-69,--
Apr-69,--
May-69,4980
Jun-69,8540
Jul-69,--
Aug-69,6850
Sep-69,3495
Oct-69,1784
Nov-69,194
Dec-69,0
Jan-70,0
Feb-70,0
Mar-70,1730
Apr-70,2630
May-70,8240
Jun-70,8590
Jul-70,7552
Aug-70,4970
Sep-70,4970
Oct-70,3840
Nov-70,2450
Dec-70,1480
Jan-71,2040
Feb-71,2000
Mar-71,4030
Apr-71,4030
May-71,4300
Jun-71,8290
Jul-71,8090
Aug-71,6672
Sep-71,3995
Oct-71,1150
Nov-71,430
Dec-71,260
