Date,Elevation
1/1/90,3334.58
1/2/90,3334.46
1/3/90,3334.55
1/4/90,3334.52
1/5/90,3334.53
1/6/90,3334.53
1/7/90,3334.53
1/8/90,3334.55
1/9/90,3334.55
1/10/90,3334.53
1/11/90,3334.53
1/12/90,3334.54
1/13/90,3334.65
1/14/90,3334.79
1/15/90,3334.84
1/16/90,3334.92
1/17/90,3334.94
1/18/90,3334.95
1/19/90,3334.94
1/20/90,3334.95
1/21/90,3334.97
1/22/90,3334.98
1/23/90,3334.96
1/24/90,3334.98
1/25/90,3334.99
1/26/90,3334.98
1/27/90,3334.98
1/28/90,3334.97
1/29/90,3334.94
1/30/90,3334.91
1/31/90,3334.88
2/1/90,3334.79
2/2/90,3334.85
2/3/90,3335.15
2/4/90,3336.58
2/5/90,3337.03
2/6/90,3337.26
2/7/90,3337.98
2/8/90,3338.56
2/9/90,3339.06
2/10/90,3339.62
2/11/90,3340.1
2/12/90,3340.66
2/13/90,3340.92
2/14/90,3341.36
2/15/90,3341.72
2/16/90,3341.91
2/17/90,3343.4
2/18/90,3344.89
2/19/90,3346.06
2/20/90,3347.15
2/21/90,3348.13
2/22/90,3348.52
2/23/90,3349.04
2/24/90,3350.71
2/25/90,3352.15
2/26/90,3352.52
2/27/90,3352.35
2/28/90,3352.17
3/1/90,3352.01
3/2/90,3351.93
3/3/90,3352.4
3/4/90,3351.99
3/5/90,3351.71
3/6/90,3351.71
3/7/90,3351.79
3/8/90,3351.13
3/9/90,3350.61
3/10/90,3350.12
3/11/90,3350.43
3/12/90,3350.29
3/13/90,3349.97
3/14/90,3349.71
3/15/90,3350.29
3/16/90,3350.97
3/17/90,3351.69
3/18/90,3352.44
3/19/90,3353.12
3/20/90,3353.42
3/21/90,3353.04
3/22/90,3353.04
3/23/90,3352.46
3/24/90,3351.66
3/25/90,3351.49
3/26/90,3350.77
3/27/90,3350.03
3/28/90,3349.48
3/29/90,3348.93
3/30/90,3348.42
3/31/90,3348.13
4/1/90,3347.9
4/2/90,3347.82
4/3/90,3347.39
4/4/90,3347.09
4/5/90,3346.84
4/6/90,3346.62
4/7/90,3346.68
4/8/90,3347.41
4/9/90,3347.57
4/10/90,3347.7
4/11/90,3347.82
4/12/90,3348.47
4/13/90,3348.54
4/14/90,3348.64
4/15/90,3348.89
4/16/90,3349.24
4/17/90,3349.13
4/18/90,3348.97
4/19/90,3348.87
4/20/90,3348.77
4/21/90,3348.79
4/22/90,3348.91
4/23/90,3348.91
4/24/90,3348.78
4/25/90,3348.56
4/26/90,3348.36
4/27/90,3347.84
4/28/90,3347.46
4/29/90,3347.54
4/30/90,3347.72
5/1/90,3348.21
5/2/90,3348.36
5/3/90,3348.54
5/4/90,3348.93
5/5/90,3349.27
5/6/90,3349.4
5/7/90,3349.5
5/8/90,3349.58
5/9/90,3349.71
5/10/90,3349.73
5/11/90,3349.88
5/12/90,3349.99
5/13/90,3350.09
5/14/90,3348.89
5/15/90,3347.53
5/16/90,3346.39
5/17/90,3346.1
5/18/90,3345.33
5/19/90,3344.63
5/20/90,3344.69
5/21/90,3344.24
5/22/90,3343.65
5/23/90,3342.91
5/24/90,3340.57
5/25/90,3340.2
5/26/90,3340.61
5/27/90,3340.94
5/28/90,3341.9
5/29/90,3343.16
5/30/90,3344.47
5/31/90,3345.69
6/1/90,3346.59
6/2/90,3347.45
6/3/90,3348.61
6/4/90,3349.25
6/5/90,3349.91
6/6/90,3350.94
6/7/90,3351.01
6/8/90,3349.93
6/9/90,3349.89
6/10/90,3350.55
6/11/90,3351.29
6/12/90,3351.36
6/13/90,3351.48
6/14/90,3351.49
6/15/90,3351.01
6/16/90,3351.15
6/17/90,3351.28
6/18/90,3351.85
6/19/90,3352.37
6/20/90,3352.34
6/21/90,3351.88
6/22/90,3351.3
6/23/90,3351.07
6/24/90,3351.13
6/25/90,3350.87
6/26/90,3350.53
6/27/90,3350.27
6/28/90,3349.99
6/29/90,3349.52
6/30/90,3349.55
7/1/90,3349.67
7/2/90,3349.49
7/3/90,3349.27
