# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-07-26 17:40:15 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 10260550 WF MOJAVE R AB SILVERWOOD LAKE NR HESPERIA CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 10260550
#            TS   parameter     statistic     Description
#        213378       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	213378_00060_00003	213378_00060_00003_cd
5s	15s	20d	14n	10s
USGS	10260550	1995-10-01	0.07	A
USGS	10260550	1995-10-02	0.06	A
USGS	10260550	1995-10-03	0.06	A
USGS	10260550	1995-10-04	0.06	A
USGS	10260550	1995-10-05	0.06	A
USGS	10260550	1995-10-06	0.06	A
USGS	10260550	1995-10-07	0.05	A
USGS	10260550	1995-10-08	0.06	A
USGS	10260550	1995-10-09	0.06	A
USGS	10260550	1995-10-10	0.06	A
USGS	10260550	1995-10-11	0.05	A
USGS	10260550	1995-10-12	0.06	A
USGS	10260550	1995-10-13	0.06	A
USGS	10260550	1995-10-14	0.05	A
USGS	10260550	1995-10-15	0.06	A
USGS	10260550	1995-10-16	0.07	A
USGS	10260550	1995-10-17	0.07	A
USGS	10260550	1995-10-18	0.06	A
USGS	10260550	1995-10-19	0.06	A
USGS	10260550	1995-10-20	0.06	A
USGS	10260550	1995-10-21	0.06	A
USGS	10260550	1995-10-22	0.06	A
USGS	10260550	1995-10-23	0.07	A
USGS	10260550	1995-10-24	0.07	A
USGS	10260550	1995-10-25	0.08	A
USGS	10260550	1995-10-26	0.08	A
USGS	10260550	1995-10-27	0.07	A
USGS	10260550	1995-10-28	0.07	A
USGS	10260550	1995-10-29	0.08	A
USGS	10260550	1995-10-30	0.08	A
USGS	10260550	1995-10-31	0.09	A
USGS	10260550	1995-11-01	0.11	A
USGS	10260550	1995-11-02	0.11	A
USGS	10260550	1995-11-03	0.10	A
USGS	10260550	1995-11-04	0.09	A
USGS	10260550	1995-11-05	0.09	A
USGS	10260550	1995-11-06	0.10	A
USGS	10260550	1995-11-07	0.09	A
USGS	10260550	1995-11-08	0.09	A
USGS	10260550	1995-11-09	0.09	A
USGS	10260550	1995-11-10	0.10	A
USGS	10260550	1995-11-11	0.11	A
USGS	10260550	1995-11-12	0.11	A
USGS	10260550	1995-11-13	0.10	A
