16960,PST,'RESERVOIR ELEVATION (feet)'
20080101,0000,128.73
20080102,0000,128.11
20080103,0000,128.05
20080104,0000,128.12
20080105,0000,127.30
20080106,0000,127.48
20080107,0000,127.92
20080108,0000,129.17
20080109,0000,129.34
20080110,0000,130.10
20080111,0000,131.10
20080112,0000,131.63
20080113,0000,131.96
20080114,0000,131.87
20080115,0000,131.62
20080116,0000,131.19
20080117,0000,131.02
20080118,0000,130.77
20080119,0000,130.31
20080120,0000,129.82
20080121,0000,129.32
20080122,0000,128.83
20080123,0000,128.34
20080124,0000,127.83
20080125,0000,127.62
20080126,0000,127.23
20080127,0000,127.16
20080128,0000,127.61
20080129,0000,127.41
20080130,0000,127.93
20080131,0000,128.95
20080201,0000,129.83
20080202,0000,130.47
20080203,0000,130.97
20080204,0000,132.03
20080205,0000,132.49
20080206,0000,132.83
20080207,0000,132.78
20080208,0000,132.49
20080209,0000,132.41
20080210,0000,132.45
20080211,0000,132.43
20080212,0000,132.77
20080213,0000,132.57
20080214,0000,132.23
20080215,0000,132.15
20080216,0000,131.80
20080217,0000,131.49
20080218,0000,131.22
20080219,0000,131.33
20080220,0000,131.10
20080221,0000,131.18
20080222,0000,131.75
20080223,0000,131.96
20080224,0000,132.31
20080225,0000,132.37
20080226,0000,132.73
20080227,0000,133.48
20080228,0000,133.62
20080229,0000,133.43
20080301,0000,133.38
20080302,0000,133.44
20080303,0000,133.18
20080304,0000,132.85
20080305,0000,132.60
20080306,0000,132.40
20080307,0000,132.34
20080308,0000,132.61
20080309,0000,132.42
20080310,0000,132.24
20080311,0000,132.14
20080312,0000,132.21
20080313,0000,133.12
20080314,0000,132.99
20080315,0000,133.30
20080316,0000,134.08
20080317,0000,134.24
20080318,0000,134.62
20080319,0000,134.40
20080320,0000,134.19
20080321,0000,134.00
20080322,0000,133.79
20080323,0000,133.70
20080324,0000,134.06
20080325,0000,133.92
20080326,0000,133.66
20080327,0000,133.45
20080328,0000,133.28
20080329,0000,133.06
20080330,0000,132.86
20080331,0000,132.63
20080401,0000,132.44
20080402,0000,133.74
20080403,0000,133.97
20080404,0000,134.07
20080405,0000,134.08
20080406,0000,133.80
20080407,0000,133.33
20080408,0000,133.28
20080409,0000,133.90
20080410,0000,134.72
20080411,0000,134.63
20080412,0000,134.34
20080413,0000,133.88
