Date,Storage (af),
Oct-67,12790,
Nov-67,34570,
Dec-67,46940,
Jan-68,44020,
Feb-68,29950,
Mar-68,34810,
Apr-68,36890,
May-68,43840,
Jun-68,42580,
Jul-68,45190,
Aug-68,40470,
Sep-68,38100,
Oct-68,36750,
Nov-68,38550,
Dec-68,40620,
Jan-69,36760,
Feb-69,35810,
Mar-69,40290,
Apr-69,63470,
May-69,74210,
Jun-69,64880,
Jul-69,57110,
Aug-69,53030,
Sep-69,44910,
Oct-69,39266,
Nov-69,34311,
Dec-69,37246,
Jan-70,26798,
Feb-70,37747,
Mar-70,27844,
Apr-70,40295,
May-70,23661,
Jun-70,44647,
Jul-70,55586,
Aug-70,40926,
Sep-70,25236,
Oct-70,30866,
Nov-70,28468,
Dec-70,33799,
Jan-71,27165,
Feb-71,35485,
Mar-71,44763,
Apr-71,44802,
May-71,29992,
Jun-71,52724,
Jul-71,37389,
Aug-71,42390,
Sep-71,33155,
Oct-71,33901,
Nov-71,35277,
Dec-71,34723,
Jan-72,40852,
Feb-72,38106,
Mar-72,25148,
Apr-72,16157,
May-72,38612,
Jun-72,44763,
Jul-72,39266,
Aug-72,53057,
Sep-72,45463,
Oct-72,35381,
Nov-72,26373,
Dec-72,31423,
Jan-73,33697,
Feb-73,37104,
Mar-73,26222,
Apr-73,22078,
May-73,33189,
Jun-73,33256,
Jul-73,32953,
Aug-73,51894,
Sep-73,38793,
Oct-73,30347,
Nov-73,24735,
Dec-73,56525,
Jan-74,40963,
Feb-74,42617,
Mar-74,40852,
Apr-74,25623,
May-74,30704,
Jun-74,18548,
Jul-74,37818,
Aug-74,42201,
Sep-74,30541,
Oct-74,33493,
Nov-74,54147,
Dec-74,42276,
Jan-75,26829,
Feb-75,43493,
Mar-75,40184,
Apr-75,22357,
May-75,31390,
Jun-75,40221,
Jul-75,36255,
Aug-75,28908,
Sep-75,27473,
Oct-75,28751,
Nov-75,47950,
Dec-75,47950,
Jan-76,19143,
Feb-76,19483,
Mar-76,27257,
Apr-76,37568,
May-76,14690,
Jun-76,24210,
Jul-76,23518,
Aug-76,27968,
Sep-76,30997,
Oct-76,15463,
Nov-76,18496,
Dec-76,15180,
Jan-77,17210,
Feb-77,23318,
Mar-77,18088,
Apr-77,30024,
May-77,20627,
Jun-77,21773,
Jul-77,27043,
Aug-77,35069,
Sep-77,16012,
Oct-77,13957,
Nov-77,16229,
Dec-77,17210,
Jan-78,23863,
