Date,Storage (af),
Oct-69,10293,
Nov-69,6613,
Dec-69,9700,
Jan-70,9542,
Feb-70,11138,
Mar-70,10527,
Apr-70,10576,
May-70,10788,
Jun-70,10984,
Jul-70,11423,
Aug-70,10984,
Sep-70,10807,
Oct-70,11231,
Nov-70,10395,
Dec-70,10413,
Jan-71,11040,
Feb-71,9806,
Mar-71,9385,
Apr-71,10233,
May-71,10497,
Jun-71,10515,
Jul-71,10997,
Aug-71,10497,
Sep-71,10353,
Oct-71,10449,
Nov-71,11015,
Dec-71,10898,
Jan-72,10335,
Feb-72,10281,
Mar-72,11206,
Apr-72,10911,
May-72,10612,
Jun-72,10807,
Jul-72,11089,
Aug-72,10886,
Sep-72,11027,
Oct-72,10758,
Nov-72,11150,
Dec-72,10984,
Jan-73,11169,
Feb-73,10227,
Mar-73,11386,
Apr-73,11305,
May-73,10911,
Jun-73,11076,
Jul-73,10673,
Aug-73,10856,
Sep-73,10966,
Oct-73,11150,
Nov-73,10497,
Dec-73,9900,
Jan-74,10801,
Feb-74,11120,
Mar-74,9959,
Apr-74,10257,
May-74,10776,
Jun-74,10413,
Jul-74,10137,
Aug-74,11169,
Sep-74,10825,
Oct-74,11293,
Nov-74,11194,
Dec-74,10801,
Jan-75,11392,
Feb-75,11120,
Mar-75,10425,
Apr-75,10329,
May-75,10935,
Jun-75,11144,
Jul-75,10509,
Aug-75,10570,
Sep-75,11206,
Oct-75,11803,
Nov-75,11046,
Dec-75,11009,
Jan-76,10960,
Feb-76,10329,
Mar-76,11083,
Apr-76,10715,
May-76,11083,
Jun-76,11311,
Jul-76,10825,
Aug-76,10703,
Sep-76,10813,
Oct-76,10377,
Nov-76,10813,
Dec-76,11243,
Jan-77,11256,
Feb-77,11206,
Mar-77,10679,
Apr-77,10618,
May-77,10667,
Jun-77,11318,
Jul-77,10740,
Aug-77,10776,
Sep-77,10911,
Oct-77,10173,
Nov-77,10534,
Dec-77,10209,
Jan-78,10898,
Feb-78,10997,
Mar-78,11231,
Apr-78,11033,
May-78,10984,
Jun-78,10643,
Jul-78,10257,
Aug-78,10588,
Sep-78,10874,
Oct-78,10898,
Nov-78,11058,
Dec-78,10801,
Jan-79,10752,
Feb-79,11219,
Mar-79,10534,
Apr-79,10838,
May-79,11492,
Jun-79,10862,
Jul-79,11268,
Aug-79,10923,
Sep-79,11243,
Oct-79,11083,
Nov-79,8787,
Dec-79,11219,
Jan-80,10607,
Feb-80,10377,
Mar-80,10935,
Apr-80,11219,
May-80,10868,
Jun-80,11083,
Jul-80,10789,
Aug-80,10813,
Sep-80,10954,
Oct-80,10607,
Nov-80,10655,
Dec-80,10935,
Jan-81,10862,
Feb-81,10899,
Mar-81,10899,
Apr-81,10655,
May-81,11243,
Jun-81,11157,
Jul-81,10752,
Aug-81,11231,
Sep-81,10643,
Oct-81,10570,
Nov-81,9747,
Dec-81,9794,
Jan-82,10704,
Feb-82,10425,
Mar-82,10138,
Apr-82,9466,
May-82,10425,
Jun-82,10498,
Jul-82,9420,
Aug-82,10726,
Sep-82,10643,
Oct-82,10162,
Nov-82,10138,
Dec-82,10510,
Jan-83,10438,
Feb-83,9154,
Mar-83,9995,
Apr-83,9490,
May-83,9292,
Jun-83,10510,
Jul-83,11305,
Aug-83,10850,
Sep-83,11330,
Oct-83,11021,
Nov-83,10186,
Dec-83,10043,
Jan-84,10765,
Feb-84,10667,
Mar-84,11034,
Apr-84,10655,
