Date,Elevation
1/1/90,127.56
1/2/90,129.39
1/3/90,131.53
1/4/90,132.94
1/5/90,134.64
1/6/90,132.59
1/7/90,129.37
1/8/90,129.56
1/9/90,130.18
1/10/90,130.48
1/11/90,130.69
1/12/90,130.92
1/13/90,130.3
1/14/90,127.75
1/15/90,127.93
1/16/90,128.3
1/17/90,129.56
1/18/90,131.97
1/19/90,133.41
1/20/90,132.71
1/21/90,130.37
1/22/90,130.88
1/23/90,132.78
1/24/90,133.75
1/25/90,134.08
1/26/90,133.96
1/27/90,133.01
1/28/90,130.04
1/29/90,130.21
1/30/90,130.32
1/31/90,130.95
2/1/90,131.67
2/2/90,132.57
2/3/90,132.48
2/4/90,129.21
2/5/90,129.95
2/6/90,131.11
2/7/90,131.57
2/8/90,132.41
2/9/90,133.36
2/10/90,132.76
2/11/90,128.54
2/12/90,128.58
2/13/90,129.58
2/14/90,131.37
2/15/90,133.04
2/16/90,134.52
2/17/90,134.7
2/18/90,130.7
2/19/90,131.25
2/20/90,132.5
2/21/90,132.5
2/22/90,132.08
2/23/90,131.74
2/24/90,130.86
2/25/90,126.82
2/26/90,128.61
2/27/90,129.58
2/28/90,130.55
3/1/90,131.97
3/2/90,132.29
3/3/90,130.81
3/4/90,126.26
3/5/90,126.1
3/6/90,127.1
3/7/90,127.98
3/8/90,129.28
3/9/90,131.13
3/10/90,130.55
3/11/90,127.63
3/12/90,128.28
3/13/90,129.53
3/14/90,130.41
3/15/90,131.09
3/16/90,132.2
3/17/90,131.27
3/18/90,127.77
3/19/90,128.91
3/20/90,129.9
3/21/90,130.39
3/22/90,131.34
3/23/90,132.85
3/24/90,131.55
3/25/90,129.81
3/26/90,130.41
3/27/90,130.46
3/28/90,129.88
3/29/90,129.93
3/30/90,131.2
3/31/90,128.88
4/1/90,125.52
4/2/90,127.03
4/3/90,128.26
4/4/90,128.49
4/5/90,129.28
4/6/90,130.09
4/7/90,130.62
4/8/90,126.01
4/9/90,127.12
4/10/90,128.4
4/11/90,130.86
4/12/90,132.94
4/13/90,134.57
4/14/90,130.86
4/15/90,126.63
4/16/90,128.05
4/17/90,129.63
4/18/90,130.48
4/19/90,131.04
4/20/90,131.88
4/21/90,131.92
4/22/90,126.63
4/23/90,127.1
4/24/90,126.4
4/25/90,125.73
4/26/90,126.1
4/27/90,129.14
4/28/90,129.46
4/29/90,126.54
4/30/90,125.66
5/1/90,125.29
5/2/90,127.59
5/3/90,130.32
5/4/90,131.74
5/5/90,130.55
5/6/90,127.35
5/7/90,128.63
5/8/90,129.49
5/9/90,130.51
5/10/90,130.99
5/11/90,131.6
5/12/90,129.37
5/13/90,124.87
5/14/90,125.15
5/15/90,126.91
5/16/90,129.46
5/17/90,131.99
5/18/90,134.38
5/19/90,132.32
5/20/90,130.23
