# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-07-23 16:19:37 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11406880 WESTERN CN A INTAKE NR OROVILLE CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11406880
#            TS   parameter     statistic     Description
#        217954       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	217954_00060_00003	217954_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11406880	1991-01-01	47.0	A
USGS	11406880	1991-01-02	36.0	A
USGS	11406880	1991-01-03	25.0	A
USGS	11406880	1991-01-04	10.0	A
USGS	11406880	1991-01-05	0.00	A
USGS	11406880	1991-01-06	0.00	A
USGS	11406880	1991-01-07	0.00	A
USGS	11406880	1991-01-08	0.00	A
USGS	11406880	1991-01-09	0.00	A
USGS	11406880	1991-01-10	0.00	A
USGS	11406880	1991-01-11	0.00	A
USGS	11406880	1991-01-12	0.00	A
USGS	11406880	1991-01-13	0.00	A
USGS	11406880	1991-01-14	0.00	A
USGS	11406880	1991-01-15	0.00	A
USGS	11406880	1991-01-16	0.00	A
USGS	11406880	1991-01-17	0.00	A
USGS	11406880	1991-01-18	0.00	A
USGS	11406880	1991-01-19	0.00	A
USGS	11406880	1991-01-20	0.00	A
USGS	11406880	1991-01-21	0.00	A
USGS	11406880	1991-01-22	0.00	A
USGS	11406880	1991-01-23	0.00	A
USGS	11406880	1991-01-24	0.00	A
USGS	11406880	1991-01-25	0.00	A
USGS	11406880	1991-01-26	0.00	A
USGS	11406880	1991-01-27	0.00	A
USGS	11406880	1991-01-28	0.00	A
USGS	11406880	1991-01-29	0.00	A
USGS	11406880	1991-01-30	0.00	A
USGS	11406880	1991-01-31	0.00	A
USGS	11406880	1991-02-01	0.00	A
USGS	11406880	1991-02-02	0.00	A
USGS	11406880	1991-02-03	0.00	A
USGS	11406880	1991-02-04	0.00	A
USGS	11406880	1991-02-05	0.00	A
USGS	11406880	1991-02-06	0.00	A
USGS	11406880	1991-02-07	0.00	A
USGS	11406880	1991-02-08	0.00	A
USGS	11406880	1991-02-09	0.00	A
USGS	11406880	1991-02-10	0.00	A
USGS	11406880	1991-02-11	0.00	A
USGS	11406880	1991-02-12	0.00	A
USGS	11406880	1991-02-13	0.00	A
USGS	11406880	1991-02-14	0.00	A
USGS	11406880	1991-02-15	0.00	A
USGS	11406880	1991-02-16	0.00	A
USGS	11406880	1991-02-17	0.00	A
USGS	11406880	1991-02-18	0.00	A
USGS	11406880	1991-02-19	0.00	A
USGS	11406880	1991-02-20	0.00	A
USGS	11406880	1991-02-21	0.00	A
USGS	11406880	1991-02-22	0.00	A
USGS	11406880	1991-02-23	0.00	A
USGS	11406880	1991-02-24	0.00	A
USGS	11406880	1991-02-25	0.00	A
USGS	11406880	1991-02-26	0.00	A
USGS	11406880	1991-02-27	0.00	A
USGS	11406880	1991-02-28	0.00	A
USGS	11406880	1991-03-01	0.00	A
USGS	11406880	1991-03-02	0.00	A
USGS	11406880	1991-03-03	0.00	A
USGS	11406880	1991-03-04	0.00	A
USGS	11406880	1991-03-05	0.00	A
USGS	11406880	1991-03-06	0.00	A
USGS	11406880	1991-03-07	0.00	A
USGS	11406880	1991-03-08	0.00	A
USGS	11406880	1991-03-09	0.00	A
USGS	11406880	1991-03-10	0.00	A
USGS	11406880	1991-03-11	0.00	A
USGS	11406880	1991-03-12	0.00	A
USGS	11406880	1991-03-13	0.00	A
USGS	11406880	1991-03-14	0.00	A
USGS	11406880	1991-03-15	0.00	A
USGS	11406880	1991-03-16	0.00	A
USGS	11406880	1991-03-17	0.00	A
USGS	11406880	1991-03-18	0.00	A
USGS	11406880	1991-03-19	0.00	A
USGS	11406880	1991-03-20	0.00	A
USGS	11406880	1991-03-21	0.00	A
USGS	11406880	1991-03-22	0.00	A
USGS	11406880	1991-03-23	0.00	A
USGS	11406880	1991-03-24	0.00	A
USGS	11406880	1991-03-25	0.00	A
USGS	11406880	1991-03-26	0.00	A
USGS	11406880	1991-03-27	0.00	A
USGS	11406880	1991-03-28	0.00	A
USGS	11406880	1991-03-29	0.00	A
USGS	11406880	1991-03-30	0.00	A
USGS	11406880	1991-03-31	0.00	A
USGS	11406880	1991-04-01	0.00	A
USGS	11406880	1991-04-02	0.00	A
USGS	11406880	1991-04-03	0.00	A
USGS	11406880	1991-04-04	0.00	A
USGS	11406880	1991-04-05	0.00	A
USGS	11406880	1991-04-06	0.00	A
USGS	11406880	1991-04-07	0.00	A
USGS	11406880	1991-04-08	0.00	A
USGS	11406880	1991-04-09	0.00	A
USGS	11406880	1991-04-10	0.00	A
USGS	11406880	1991-04-11	0.00	A
USGS	11406880	1991-04-12	0.00	A
USGS	11406880	1991-04-13	0.00	A
USGS	11406880	1991-04-14	0.00	A
USGS	11406880	1991-04-15	0.00	A
USGS	11406880	1991-04-16	0.00	A
USGS	11406880	1991-04-17	4.20	A
USGS	11406880	1991-04-18	19.0	A
USGS	11406880	1991-04-19	30.0	A
USGS	11406880	1991-04-20	30.0	A
USGS	11406880	1991-04-21	24.0	A
USGS	11406880	1991-04-22	15.0	A
USGS	11406880	1991-04-23	24.0	A
USGS	11406880	1991-04-24	48.0	A
USGS	11406880	1991-04-25	56.0	A
USGS	11406880	1991-04-26	57.0	A
USGS	11406880	1991-04-27	59.0	A
USGS	11406880	1991-04-28	66.0	A
USGS	11406880	1991-04-29	111	A
USGS	11406880	1991-04-30	193	A
USGS	11406880	1991-05-01	248	A
USGS	11406880	1991-05-02	284	A
USGS	11406880	1991-05-03	337	A
USGS	11406880	1991-05-04	425	A
USGS	11406880	1991-05-05	580	A
USGS	11406880	1991-05-06	719	A
USGS	11406880	1991-05-07	777	A
USGS	11406880	1991-05-08	854	A
USGS	11406880	1991-05-09	862	A
USGS	11406880	1991-05-10	854	A
USGS	11406880	1991-05-11	870	A
USGS	11406880	1991-05-12	905	A
USGS	11406880	1991-05-13	869	A
USGS	11406880	1991-05-14	771	A
USGS	11406880	1991-05-15	647	A
USGS	11406880	1991-05-16	546	A
USGS	11406880	1991-05-17	503	A
USGS	11406880	1991-05-18	476	A
USGS	11406880	1991-05-19	476	A
USGS	11406880	1991-05-20	455	A
USGS	11406880	1991-05-21	416	A
USGS	11406880	1991-05-22	409	A
USGS	11406880	1991-05-23	445	A
USGS	11406880	1991-05-24	453	A
USGS	11406880	1991-05-25	426	A
USGS	11406880	1991-05-26	428	A
USGS	11406880	1991-05-27	428	A
USGS	11406880	1991-05-28	413	A
USGS	11406880	1991-05-29	412	A
USGS	11406880	1991-05-30	425	A
USGS	11406880	1991-05-31	413	A
USGS	11406880	1991-06-01	388	A
USGS	11406880	1991-06-02	386	A
USGS	11406880	1991-06-03	410	A
USGS	11406880	1991-06-04	430	A
USGS	11406880	1991-06-05	501	A
USGS	11406880	1991-06-06	562	A
USGS	11406880	1991-06-07	589	A
USGS	11406880	1991-06-08	598	A
USGS	11406880	1991-06-09	597	A
USGS	11406880	1991-06-10	613	A
USGS	11406880	1991-06-11	634	A
USGS	11406880	1991-06-12	655	A
USGS	11406880	1991-06-13	657	A
USGS	11406880	1991-06-14	653	A
USGS	11406880	1991-06-15	653	A
USGS	11406880	1991-06-16	661	A
USGS	11406880	1991-06-17	679	A
USGS	11406880	1991-06-18	712	A
USGS	11406880	1991-06-19	732	A
USGS	11406880	1991-06-20	732	A
USGS	11406880	1991-06-21	737	A
USGS	11406880	1991-06-22	733	A
USGS	11406880	1991-06-23	727	A
USGS	11406880	1991-06-24	723	A
USGS	11406880	1991-06-25	722	A
USGS	11406880	1991-06-26	708	A
USGS	11406880	1991-06-27	676	A
USGS	11406880	1991-06-28	630	A
USGS	11406880	1991-06-29	570	A
USGS	11406880	1991-06-30	493	A
USGS	11406880	1991-07-01	438	A
USGS	11406880	1991-07-02	435	A
USGS	11406880	1991-07-03	452	A
USGS	11406880	1991-07-04	468	A
USGS	11406880	1991-07-05	478	A
USGS	11406880	1991-07-06	494	A
USGS	11406880	1991-07-07	516	A
USGS	11406880	1991-07-08	540	A
USGS	11406880	1991-07-09	554	A
USGS	11406880	1991-07-10	565	A
USGS	11406880	1991-07-11	585	A
USGS	11406880	1991-07-12	604	A
USGS	11406880	1991-07-13	604	A
USGS	11406880	1991-07-14	604	A
USGS	11406880	1991-07-15	604	A
USGS	11406880	1991-07-16	609	A
USGS	11406880	1991-07-17	624	A
USGS	11406880	1991-07-18	633	A
USGS	11406880	1991-07-19	633	A
USGS	11406880	1991-07-20	626	A
USGS	11406880	1991-07-21	615	A
USGS	11406880	1991-07-22	603	A
USGS	11406880	1991-07-23	604	A
USGS	11406880	1991-07-24	604	A
USGS	11406880	1991-07-25	604	A
USGS	11406880	1991-07-26	603	A
USGS	11406880	1991-07-27	602	A
USGS	11406880	1991-07-28	604	A
USGS	11406880	1991-07-29	601	A
USGS	11406880	1991-07-30	594	A
USGS	11406880	1991-07-31	595	A
USGS	11406880	1991-08-01	605	A
USGS	11406880	1991-08-02	598	A
USGS	11406880	1991-08-03	593	A
USGS	11406880	1991-08-04	593	A
USGS	11406880	1991-08-05	594	A
USGS	11406880	1991-08-06	594	A
USGS	11406880	1991-08-07	594	A
USGS	11406880	1991-08-08	594	A
USGS	11406880	1991-08-09	594	A
USGS	11406880	1991-08-10	594	A
USGS	11406880	1991-08-11	595	A
USGS	11406880	1991-08-12	590	A
USGS	11406880	1991-08-13	582	A
USGS	11406880	1991-08-14	575	A
USGS	11406880	1991-08-15	572	A
USGS	11406880	1991-08-16	566	A
USGS	11406880	1991-08-17	555	A
USGS	11406880	1991-08-18	552	A
USGS	11406880	1991-08-19	541	A
USGS	11406880	1991-08-20	531	A
USGS	11406880	1991-08-21	526	A
USGS	11406880	1991-08-22	510	A
USGS	11406880	1991-08-23	503	A
USGS	11406880	1991-08-24	492	A
USGS	11406880	1991-08-25	470	A
USGS	11406880	1991-08-26	461	A
USGS	11406880	1991-08-27	449	A
USGS	11406880	1991-08-28	431	A
USGS	11406880	1991-08-29	414	A
USGS	11406880	1991-08-30	405	A
USGS	11406880	1991-08-31	396	A
USGS	11406880	1991-09-01	392	A
USGS	11406880	1991-09-02	387	A
USGS	11406880	1991-09-03	374	A
USGS	11406880	1991-09-04	347	A
USGS	11406880	1991-09-05	326	A
USGS	11406880	1991-09-06	302	A
USGS	11406880	1991-09-07	270	A
USGS	11406880	1991-09-08	258	A
USGS	11406880	1991-09-09	251	A
USGS	11406880	1991-09-10	236	A
USGS	11406880	1991-09-11	200	A
USGS	11406880	1991-09-12	153	A
USGS	11406880	1991-09-13	109	A
USGS	11406880	1991-09-14	101	A
USGS	11406880	1991-09-15	101	A
USGS	11406880	1991-09-16	95.0	A
USGS	11406880	1991-09-17	92.0	A
USGS	11406880	1991-09-18	80.0	A
USGS	11406880	1991-09-19	62.0	A
USGS	11406880	1991-09-20	52.0	A
USGS	11406880	1991-09-21	51.0	A
USGS	11406880	1991-09-22	48.0	A
USGS	11406880	1991-09-23	50.0	A
USGS	11406880	1991-09-24	41.0	A
USGS	11406880	1991-09-25	25.0	A
USGS	11406880	1991-09-26	20.0	A
USGS	11406880	1991-09-27	19.0	A
USGS	11406880	1991-09-28	20.0	A
USGS	11406880	1991-09-29	20.0	A
USGS	11406880	1991-09-30	20.0	A
USGS	11406880	1991-10-01	22.0	A
USGS	11406880	1991-10-02	40.0	A
USGS	11406880	1991-10-03	64.0	A
USGS	11406880	1991-10-04	89.0	A
USGS	11406880	1991-10-05	114	A
USGS	11406880	1991-10-06	138	A
USGS	11406880	1991-10-07	141	A
USGS	11406880	1991-10-08	138	A
USGS	11406880	1991-10-09	145	A
USGS	11406880	1991-10-10	148	A
USGS	11406880	1991-10-11	148	A
USGS	11406880	1991-10-12	149	A
USGS	11406880	1991-10-13	150	A
USGS	11406880	1991-10-14	149	A
USGS	11406880	1991-10-15	149	A
USGS	11406880	1991-10-16	165	A
USGS	11406880	1991-10-17	183	A
USGS	11406880	1991-10-18	197	A
USGS	11406880	1991-10-19	241	A
USGS	11406880	1991-10-20	279	A
USGS	11406880	1991-10-21	286	A
USGS	11406880	1991-10-22	279	A
USGS	11406880	1991-10-23	279	A
USGS	11406880	1991-10-24	279	A
USGS	11406880	1991-10-25	274	A
USGS	11406880	1991-10-26	269	A
USGS	11406880	1991-10-27	255	A
USGS	11406880	1991-10-28	243	A
USGS	11406880	1991-10-29	257	A
USGS	11406880	1991-10-30	269	A
USGS	11406880	1991-10-31	269	A
USGS	11406880	1991-11-01	303	A
USGS	11406880	1991-11-02	380	A
USGS	11406880	1991-11-03	433	A
USGS	11406880	1991-11-04	433	A
USGS	11406880	1991-11-05	347	A
USGS	11406880	1991-11-06	299	A
USGS	11406880	1991-11-07	298	A
USGS	11406880	1991-11-08	299	A
USGS	11406880	1991-11-09	299	A
USGS	11406880	1991-11-10	298	A
USGS	11406880	1991-11-11	293	A
USGS	11406880	1991-11-12	289	A
USGS	11406880	1991-11-13	288	A
USGS	11406880	1991-11-14	288	A
USGS	11406880	1991-11-15	278	A
USGS	11406880	1991-11-16	270	A
USGS	11406880	1991-11-17	259	A
USGS	11406880	1991-11-18	238	A
USGS	11406880	1991-11-19	229	A
USGS	11406880	1991-11-20	217	A
USGS	11406880	1991-11-21	209	A
USGS	11406880	1991-11-22	210	A
USGS	11406880	1991-11-23	208	A
USGS	11406880	1991-11-24	208	A
USGS	11406880	1991-11-25	208	A
USGS	11406880	1991-11-26	209	A
USGS	11406880	1991-11-27	207	A
USGS	11406880	1991-11-28	208	A
USGS	11406880	1991-11-29	209	A
USGS	11406880	1991-11-30	209	A
USGS	11406880	1991-12-01	197	A
USGS	11406880	1991-12-02	185	A
USGS	11406880	1991-12-03	184	A
USGS	11406880	1991-12-04	183	A
USGS	11406880	1991-12-05	185	A
USGS	11406880	1991-12-06	184	A
USGS	11406880	1991-12-07	184	A
USGS	11406880	1991-12-08	182	A
USGS	11406880	1991-12-09	184	A
USGS	11406880	1991-12-10	181	A
USGS	11406880	1991-12-11	174	A
USGS	11406880	1991-12-12	173	A
USGS	11406880	1991-12-13	172	A
USGS	11406880	1991-12-14	173	A
USGS	11406880	1991-12-15	173	A
USGS	11406880	1991-12-16	168	A
USGS	11406880	1991-12-17	163	A
USGS	11406880	1991-12-18	163	A
USGS	11406880	1991-12-19	155	A
USGS	11406880	1991-12-20	136	A
USGS	11406880	1991-12-21	128	A
USGS	11406880	1991-12-22	133	A
USGS	11406880	1991-12-23	134	A
USGS	11406880	1991-12-24	134	A
USGS	11406880	1991-12-25	133	A
USGS	11406880	1991-12-26	133	A
USGS	11406880	1991-12-27	134	A
USGS	11406880	1991-12-28	133	A
USGS	11406880	1991-12-29	122	A
USGS	11406880	1991-12-30	73.0	A
USGS	11406880	1991-12-31	22.0	A
USGS	11406880	1992-01-01	0.00	A
USGS	11406880	1992-01-02	0.00	A
USGS	11406880	1992-01-03	0.00	A
USGS	11406880	1992-01-04	0.00	A
USGS	11406880	1992-01-05	0.00	A
USGS	11406880	1992-01-06	0.00	A
USGS	11406880	1992-01-07	0.00	A
USGS	11406880	1992-01-08	0.00	A
USGS	11406880	1992-01-09	0.00	A
USGS	11406880	1992-01-10	0.00	A
USGS	11406880	1992-01-11	0.00	A
USGS	11406880	1992-01-12	0.00	A
USGS	11406880	1992-01-13	0.00	A
USGS	11406880	1992-01-14	0.00	A
USGS	11406880	1992-01-15	0.00	A
USGS	11406880	1992-01-16	0.00	A
USGS	11406880	1992-01-17	0.00	A
USGS	11406880	1992-01-18	0.00	A
USGS	11406880	1992-01-19	0.00	A
USGS	11406880	1992-01-20	0.00	A
USGS	11406880	1992-01-21	0.00	A
USGS	11406880	1992-01-22	0.00	A
USGS	11406880	1992-01-23	0.00	A
USGS	11406880	1992-01-24	0.00	A
USGS	11406880	1992-01-25	0.00	A
USGS	11406880	1992-01-26	0.00	A
USGS	11406880	1992-01-27	0.00	A
USGS	11406880	1992-01-28	0.00	A
USGS	11406880	1992-01-29	0.00	A
USGS	11406880	1992-01-30	0.00	A
USGS	11406880	1992-01-31	0.00	A
USGS	11406880	1992-02-01	0.00	A
USGS	11406880	1992-02-02	0.00	A
USGS	11406880	1992-02-03	0.00	A
USGS	11406880	1992-02-04	0.00	A
USGS	11406880	1992-02-05	0.00	A
USGS	11406880	1992-02-06	0.00	A
USGS	11406880	1992-02-07	0.00	A
USGS	11406880	1992-02-08	0.00	A
USGS	11406880	1992-02-09	0.00	A
USGS	11406880	1992-02-10	0.00	A
USGS	11406880	1992-02-11	0.00	A
USGS	11406880	1992-02-12	0.00	A
USGS	11406880	1992-02-13	0.00	A
USGS	11406880	1992-02-14	0.00	A
USGS	11406880	1992-02-15	0.00	A
USGS	11406880	1992-02-16	0.00	A
USGS	11406880	1992-02-17	0.00	A
USGS	11406880	1992-02-18	0.00	A
USGS	11406880	1992-02-19	0.00	A
USGS	11406880	1992-02-20	0.00	A
USGS	11406880	1992-02-21	0.00	A
USGS	11406880	1992-02-22	0.00	A
USGS	11406880	1992-02-23	0.00	A
USGS	11406880	1992-02-24	0.00	A
USGS	11406880	1992-02-25	0.00	A
USGS	11406880	1992-02-26	0.00	A
USGS	11406880	1992-02-27	0.00	A
USGS	11406880	1992-02-28	0.00	A
USGS	11406880	1992-02-29	0.00	A
USGS	11406880	1992-03-01	0.00	A
USGS	11406880	1992-03-02	0.00	A
USGS	11406880	1992-03-03	0.00	A
USGS	11406880	1992-03-04	0.00	A
USGS	11406880	1992-03-05	0.00	A
USGS	11406880	1992-03-06	0.00	A
USGS	11406880	1992-03-07	0.00	A
USGS	11406880	1992-03-08	0.00	A
USGS	11406880	1992-03-09	0.00	A
USGS	11406880	1992-03-10	0.00	A
USGS	11406880	1992-03-11	0.00	A
USGS	11406880	1992-03-12	0.00	A
USGS	11406880	1992-03-13	0.00	A
USGS	11406880	1992-03-14	0.00	A
USGS	11406880	1992-03-15	0.00	A
USGS	11406880	1992-03-16	0.00	A
USGS	11406880	1992-03-17	0.00	A
USGS	11406880	1992-03-18	0.00	A
USGS	11406880	1992-03-19	0.00	A
USGS	11406880	1992-03-20	0.00	A
USGS	11406880	1992-03-21	0.00	A
USGS	11406880	1992-03-22	0.00	A
USGS	11406880	1992-03-23	0.00	A
USGS	11406880	1992-03-24	0.00	A
