# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-07-23 16:16:38 EDT       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11406910 SUTTER BUTTE CN A INTAKE NR OROVILLE CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11406910
#            TS   parameter     statistic     Description
#        217957       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	217957_00060_00003	217957_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11406910	1991-01-01	199	A
USGS	11406910	1991-01-02	191	A
USGS	11406910	1991-01-03	65.0	A
USGS	11406910	1991-01-04	0.00	A
USGS	11406910	1991-01-05	0.00	A
USGS	11406910	1991-01-06	0.00	A
USGS	11406910	1991-01-07	0.00	A
USGS	11406910	1991-01-08	0.00	A
USGS	11406910	1991-01-09	0.00	A
USGS	11406910	1991-01-10	0.00	A
USGS	11406910	1991-01-11	0.00	A
USGS	11406910	1991-01-12	0.00	A
USGS	11406910	1991-01-13	0.00	A
USGS	11406910	1991-01-14	0.00	A
USGS	11406910	1991-01-15	0.00	A
USGS	11406910	1991-01-16	0.00	A
USGS	11406910	1991-01-17	0.00	A
USGS	11406910	1991-01-18	0.00	A
USGS	11406910	1991-01-19	0.00	A
USGS	11406910	1991-01-20	0.00	A
USGS	11406910	1991-01-21	0.00	A
USGS	11406910	1991-01-22	0.00	A
USGS	11406910	1991-01-23	0.00	A
USGS	11406910	1991-01-24	0.00	A
USGS	11406910	1991-01-25	0.00	A
USGS	11406910	1991-01-26	0.00	A
USGS	11406910	1991-01-27	0.00	A
USGS	11406910	1991-01-28	0.00	A
USGS	11406910	1991-01-29	0.00	A
USGS	11406910	1991-01-30	0.00	A
USGS	11406910	1991-01-31	0.00	A
USGS	11406910	1991-02-01	0.00	A
USGS	11406910	1991-02-02	0.00	A
USGS	11406910	1991-02-03	0.00	A
USGS	11406910	1991-02-04	0.00	A
USGS	11406910	1991-02-05	0.00	A
USGS	11406910	1991-02-06	0.00	A
USGS	11406910	1991-02-07	0.00	A
USGS	11406910	1991-02-08	0.00	A
USGS	11406910	1991-02-09	0.00	A
USGS	11406910	1991-02-10	0.00	A
USGS	11406910	1991-02-11	0.00	A
USGS	11406910	1991-02-12	0.00	A
USGS	11406910	1991-02-13	0.00	A
USGS	11406910	1991-02-14	136	A
USGS	11406910	1991-02-15	120	A
USGS	11406910	1991-02-16	48.0	A
USGS	11406910	1991-02-17	67.0	A
USGS	11406910	1991-02-18	96.0	A
USGS	11406910	1991-02-19	139	A
USGS	11406910	1991-02-20	189	A
USGS	11406910	1991-02-21	202	A
USGS	11406910	1991-02-22	206	A
USGS	11406910	1991-02-23	236	A
USGS	11406910	1991-02-24	235	A
USGS	11406910	1991-02-25	243	A
USGS	11406910	1991-02-26	279	A
USGS	11406910	1991-02-27	252	A
USGS	11406910	1991-02-28	163	A
USGS	11406910	1991-03-01	4.90	A
USGS	11406910	1991-03-02	0.00	A
USGS	11406910	1991-03-03	0.00	A
USGS	11406910	1991-03-04	0.00	A
USGS	11406910	1991-03-05	0.00	A
USGS	11406910	1991-03-06	0.00	A
USGS	11406910	1991-03-07	0.00	A
USGS	11406910	1991-03-08	0.00	A
USGS	11406910	1991-03-09	0.00	A
USGS	11406910	1991-03-10	0.00	A
USGS	11406910	1991-03-11	0.00	A
USGS	11406910	1991-03-12	0.00	A
USGS	11406910	1991-03-13	0.00	A
USGS	11406910	1991-03-14	0.00	A
USGS	11406910	1991-03-15	0.00	A
USGS	11406910	1991-03-16	0.00	A
USGS	11406910	1991-03-17	0.00	A
USGS	11406910	1991-03-18	0.00	A
USGS	11406910	1991-03-19	0.00	A
USGS	11406910	1991-03-20	0.00	A
USGS	11406910	1991-03-21	0.00	A
USGS	11406910	1991-03-22	0.00	A
USGS	11406910	1991-03-23	0.00	A
