# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-07-23 16:14:05 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11406920 THERMALITO AFTERBAY REL TO FEATHER R NR OROVILLE
# -----------------------------------------------------------------------------------
#
# Data provided for site 11406920
#            TS   parameter     statistic     Description
#        217958       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	217958_00060_00003	217958_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11406920	1991-01-01	2400	A
USGS	11406920	1991-01-02	2410	A
USGS	11406920	1991-01-03	2410	A
USGS	11406920	1991-01-04	2400	A
USGS	11406920	1991-01-05	1910	A
USGS	11406920	1991-01-06	1680	A
USGS	11406920	1991-01-07	1510	A
USGS	11406920	1991-01-08	1310	A
USGS	11406920	1991-01-09	1300	A
USGS	11406920	1991-01-10	1310	A
USGS	11406920	1991-01-11	1120	A
USGS	11406920	1991-01-12	940	A
USGS	11406920	1991-01-13	922	A
USGS	11406920	1991-01-14	916	A
USGS	11406920	1991-01-15	921	A
USGS	11406920	1991-01-16	921	A
USGS	11406920	1991-01-17	910	A
USGS	11406920	1991-01-18	915	A
USGS	11406920	1991-01-19	698	A
USGS	11406920	1991-01-20	520	A
USGS	11406920	1991-01-21	522	A
USGS	11406920	1991-01-22	528	A
USGS	11406920	1991-01-23	531	A
USGS	11406920	1991-01-24	530	A
USGS	11406920	1991-01-25	521	A
USGS	11406920	1991-01-26	524	A
USGS	11406920	1991-01-27	516	A
USGS	11406920	1991-01-28	519	A
USGS	11406920	1991-01-29	524	A
USGS	11406920	1991-01-30	354	A
USGS	11406920	1991-01-31	357	A
USGS	11406920	1991-02-01	355	A
USGS	11406920	1991-02-02	369	A
USGS	11406920	1991-02-03	368	A
USGS	11406920	1991-02-04	370	A
USGS	11406920	1991-02-05	374	A
USGS	11406920	1991-02-06	371	A
USGS	11406920	1991-02-07	362	A
USGS	11406920	1991-02-08	355	A
USGS	11406920	1991-02-09	350	A
USGS	11406920	1991-02-10	355	A
USGS	11406920	1991-02-11	359	A
USGS	11406920	1991-02-12	358	A
USGS	11406920	1991-02-13	350	A
USGS	11406920	1991-02-14	346	A
USGS	11406920	1991-02-15	365	A
USGS	11406920	1991-02-16	355	A
USGS	11406920	1991-02-17	350	A
USGS	11406920	1991-02-18	356	A
USGS	11406920	1991-02-19	370	A
USGS	11406920	1991-02-20	373	A
USGS	11406920	1991-02-21	374	A
USGS	11406920	1991-02-22	375	A
USGS	11406920	1991-02-23	373	A
USGS	11406920	1991-02-24	354	A
USGS	11406920	1991-02-25	372	A
USGS	11406920	1991-02-26	372	A
USGS	11406920	1991-02-27	353	A
USGS	11406920	1991-02-28	351	A
USGS	11406920	1991-03-01	365	A
USGS	11406920	1991-03-02	371	A
USGS	11406920	1991-03-03	370	A
USGS	11406920	1991-03-04	373	A
USGS	11406920	1991-03-05	220	A
USGS	11406920	1991-03-06	228	A
USGS	11406920	1991-03-07	226	A
USGS	11406920	1991-03-08	228	A
USGS	11406920	1991-03-09	226	A
USGS	11406920	1991-03-10	222	A
USGS	11406920	1991-03-11	221	A
USGS	11406920	1991-03-12	228	A
USGS	11406920	1991-03-13	226	A
USGS	11406920	1991-03-14	209	A
USGS	11406920	1991-03-15	205	A
USGS	11406920	1991-03-16	217	A
USGS	11406920	1991-03-17	236	A
USGS	11406920	1991-03-18	234	A
USGS	11406920	1991-03-19	234	A
USGS	11406920	1991-03-20	229	A
USGS	11406920	1991-03-21	232	A
USGS	11406920	1991-03-22	231	A
USGS	11406920	1991-03-23	230	A
USGS	11406920	1991-03-24	227	A
USGS	11406920	1991-03-25	228	A
USGS	11406920	1991-03-26	229	A
USGS	11406920	1991-03-27	228	A
USGS	11406920	1991-03-28	211	A
USGS	11406920	1991-03-29	221	A
USGS	11406920	1991-03-30	222	A
USGS	11406920	1991-03-31	218	A
USGS	11406920	1991-04-01	233	A
USGS	11406920	1991-04-02	235	A
USGS	11406920	1991-04-03	236	A
USGS	11406920	1991-04-04	234	A
USGS	11406920	1991-04-05	232	A
USGS	11406920	1991-04-06	226	A
USGS	11406920	1991-04-07	226	A
USGS	11406920	1991-04-08	217	A
USGS	11406920	1991-04-09	223	A
USGS	11406920	1991-04-10	227	A
USGS	11406920	1991-04-11	227	A
USGS	11406920	1991-04-12	229	A
USGS	11406920	1991-04-13	229	A
USGS	11406920	1991-04-14	231	A
USGS	11406920	1991-04-15	229	A
USGS	11406920	1991-04-16	231	A
USGS	11406920	1991-04-17	232	A
USGS	11406920	1991-04-18	232	A
USGS	11406920	1991-04-19	229	A
USGS	11406920	1991-04-20	230	A
USGS	11406920	1991-04-21	225	A
USGS	11406920	1991-04-22	247	A
USGS	11406920	1991-04-23	270	A
USGS	11406920	1991-04-24	312	A
USGS	11406920	1991-04-25	320	A
USGS	11406920	1991-04-26	321	A
USGS	11406920	1991-04-27	312	A
USGS	11406920	1991-04-28	307	A
USGS	11406920	1991-04-29	315	A
USGS	11406920	1991-04-30	308	A
USGS	11406920	1991-05-01	558	A
USGS	11406920	1991-05-02	801	A
USGS	11406920	1991-05-03	801	A
USGS	11406920	1991-05-04	789	A
USGS	11406920	1991-05-05	794	A
USGS	11406920	1991-05-06	801	A
USGS	11406920	1991-05-07	802	A
USGS	11406920	1991-05-08	804	A
USGS	11406920	1991-05-09	809	A
USGS	11406920	1991-05-10	705	A
USGS	11406920	1991-05-11	491	A
USGS	11406920	1991-05-12	411	A
USGS	11406920	1991-05-13	410	A
USGS	11406920	1991-05-14	413	A
USGS	11406920	1991-05-15	415	A
USGS	11406920	1991-05-16	414	A
USGS	11406920	1991-05-17	411	A
USGS	11406920	1991-05-18	408	A
USGS	11406920	1991-05-19	405	A
USGS	11406920	1991-05-20	406	A
USGS	11406920	1991-05-21	406	A
USGS	11406920	1991-05-22	595	A
USGS	11406920	1991-05-23	895	A
USGS	11406920	1991-05-24	1140	A
USGS	11406920	1991-05-25	1340	A
USGS	11406920	1991-05-26	1370	A
